ID,県,市区町村,普通世帯総数,25歳未満,25〜34歳,35〜44,45〜54,55〜64,65歳以上,自営業主,農林・漁業業主,商工・その他の業主,雇用者,会社・団体・公社又は個人に雇われている者,官公庁,労働者派遣事業所の派遣社員,パート・アルバイト・その他,無職,学生,その他,300万円未満,300〜500,500〜700,700〜1000,1000万円以上
201,三重県,津市,114530 ,3480 ,8840 ,15580 ,16170 ,18340 ,34720 ,9200 ,1740 ,7460 ,52060 ,35180 ,6100 ,2540 ,8240 ,30880 ,2570 ,28310 ,34780 ,27780 ,16660 ,11030 ,7700 
202,三重県,四日市市,120210 ,1950 ,12070 ,20180 ,22290 ,20670 ,36320 ,10480 ,1040 ,9440 ,56700 ,43010 ,3010 ,1970 ,8720 ,26310 ,130 ,26180 ,34650 ,33710 ,21790 ,15490 ,8480 
203,三重県,伊勢市,49820 ,540 ,3780 ,7730 ,7550 ,9640 ,17880 ,6210 ,1070 ,5150 ,23730 ,16540 ,2190 ,640 ,4360 ,13600 ,130 ,13470 ,18070 ,14640 ,8020 ,4630 ,2240 
204,三重県,松阪市,64450 ,1080 ,4920 ,10040 ,10660 ,13220 ,21380 ,8290 ,2340 ,5950 ,31630 ,21320 ,3170 ,1270 ,5870 ,16160 ,10 ,16140 ,24490 ,17040 ,9740 ,7120 ,3130 
205,三重県,桑名市,51040 ,180 ,3220 ,8320 ,8070 ,9150 ,17080 ,5540 ,940 ,4600 ,26810 ,19850 ,1970 ,830 ,4170 ,12440 ,30 ,12410 ,14410 ,12480 ,8710 ,6950 ,3720 
207,三重県,鈴鹿市,72290 ,1660 ,6480 ,12570 ,13250 ,13550 ,20500 ,7460 ,1510 ,5950 ,38190 ,27900 ,2320 ,2130 ,5840 ,16830 ,520 ,16310 ,20100 ,20360 ,13530 ,9410 ,4710 
208,三重県,名張市,29990 ,270 ,2170 ,4070 ,4690 ,6760 ,10080 ,2740 ,430 ,2310 ,16620 ,11390 ,1510 ,600 ,3120 ,8720 ,20 ,8690 ,9080 ,8740 ,4960 ,3560 ,1760 
209,三重県,尾鷲市,8720 ,50 ,430 ,790 ,1020 ,1590 ,4460 ,1280 ,360 ,920 ,3460 ,2160 ,530 ,50 ,710 ,3590 ,0 ,3590 ,4610 ,2000 ,980 ,500 ,270 
210,三重県,亀山市,19310 ,200 ,2040 ,2910 ,3310 ,3400 ,5330 ,1360 ,440 ,920 ,10220 ,8120 ,550 ,430 ,1120 ,4400 ,0 ,4400 ,4730 ,5190 ,3650 ,2400 ,1180 
211,三重県,鳥羽市,8150 ,480 ,410 ,570 ,1450 ,1820 ,3290 ,1950 ,1020 ,930 ,3770 ,2310 ,390 ,160 ,920 ,2300 ,0 ,2300 ,4140 ,1830 ,990 ,690 ,430 
212,三重県,熊野市,8650 ,110 ,350 ,750 ,1150 ,1620 ,4480 ,1230 ,260 ,970 ,3070 ,1810 ,560 ,100 ,600 ,4180 ,0 ,4180 ,5210 ,1790 ,720 ,520 ,220 
214,三重県,いなべ市,14880 ,190 ,1220 ,2320 ,2850 ,3330 ,4570 ,1670 ,230 ,1440 ,9070 ,6550 ,460 ,390 ,1660 ,3040 ,0 ,3040 ,4080 ,4070 ,3050 ,2050 ,1210 
215,三重県,志摩市,20810 ,140 ,660 ,2130 ,3210 ,3860 ,9650 ,4370 ,1400 ,2970 ,7640 ,4540 ,690 ,270 ,2140 ,7420 ,0 ,7420 ,10560 ,5050 ,2450 ,1230 ,430 
216,三重県,伊賀市,33890 ,640 ,2520 ,3800 ,5110 ,7350 ,12110 ,4510 ,1460 ,3040 ,15860 ,10480 ,1160 ,960 ,3250 ,8440 ,0 ,8440 ,11640 ,9490 ,4830 ,3770 ,1990 
324,三重県,東員町,8600 ,100 ,480 ,1110 ,1290 ,2080 ,3240 ,670 ,40 ,630 ,4980 ,3900 ,290 ,170 ,620 ,2410 ,0 ,2410 ,2060 ,2710 ,1590 ,1260 ,810 
341,三重県,菰野町,13710 ,220 ,1040 ,2740 ,2610 ,2340 ,4070 ,1900 ,260 ,1640 ,7890 ,6030 ,350 ,420 ,1090 ,2950 ,0 ,2950 ,3510 ,4030 ,2820 ,1710 ,970 
441,三重県,多気町,5110 ,80 ,300 ,590 ,770 ,1280 ,2050 ,1110 ,540 ,570 ,2210 ,1510 ,350 ,40 ,310 ,1440 ,20 ,1420 ,2110 ,1520 ,720 ,550 ,210 
442,三重県,明和町,7160 ,90 ,260 ,1290 ,1380 ,1610 ,2530 ,1140 ,470 ,670 ,3930 ,2790 ,420 ,50 ,680 ,1930 ,0 ,1930 ,2200 ,2310 ,1300 ,930 ,420 
461,三重県,玉城町,5270 ,0 ,530 ,1050 ,850 ,1300 ,1450 ,740 ,180 ,560 ,2930 ,2140 ,310 ,50 ,420 ,1020 ,0 ,1020 ,1690 ,1710 ,920 ,550 ,340 
543,三重県,紀北町,7670 ,0 ,190 ,680 ,880 ,1690 ,4010 ,1400 ,330 ,1070 ,2630 ,1610 ,400 ,50 ,570 ,3240 ,10 ,3220 ,4020 ,2000 ,800 ,510 ,140 
