ID,県,市区町村,普通世帯総数,25歳未満,25〜34歳,35〜44,45〜54,55〜64,65歳以上,自営業主,農林・漁業業主,商工・その他の業主,雇用者,会社・団体・公社又は個人に雇われている者,官公庁,労働者派遣事業所の派遣社員,パート・アルバイト・その他,無職,学生,その他,300万円未満,300〜500,500〜700,700〜1000,1000万円以上
100,京都府,京都市,694210 ,55120 ,68130 ,93980 ,91350 ,99580 ,205200 ,65390 ,1860 ,63520 ,230890 ,158810 ,15580 ,7090 ,49410 ,145360 ,23720 ,121640 ,299410 ,158640 ,79900 ,49860 ,30910 
101,京都府,北区,58390 ,9960 ,4390 ,6070 ,7000 ,7300 ,17150 ,6380 ,270 ,6120 ,18980 ,12890 ,1430 ,540 ,4120 ,14830 ,4960 ,9880 ,28490 ,10780 ,6330 ,3830 ,3160 
102,京都府,上京区,42720 ,8550 ,4230 ,4440 ,4670 ,5380 ,11890 ,4160 ,10 ,4150 ,11310 ,7120 ,870 ,440 ,2880 ,10220 ,3600 ,6620 ,22970 ,8210 ,3760 ,2370 ,2070 
103,京都府,左京区,84120 ,13300 ,8560 ,8940 ,8470 ,11720 ,22480 ,7880 ,200 ,7680 ,22250 ,15440 ,1650 ,610 ,4550 ,18660 ,6540 ,12110 ,38050 ,16370 ,8300 ,6210 ,4880 
104,京都府,中京区,58570 ,3470 ,8420 ,8950 ,8000 ,8430 ,15870 ,5200 ,20 ,5180 ,18180 ,13240 ,1160 ,450 ,3330 ,8920 ,1230 ,7690 ,23100 ,13950 ,7970 ,4980 ,3520 
105,京都府,東山区,21600 ,2660 ,1240 ,1910 ,2040 ,2860 ,7340 ,2500 ,30 ,2470 ,5530 ,3420 ,370 ,180 ,1560 ,5860 ,1410 ,4460 ,11470 ,3700 ,1470 ,1040 ,700 
106,京都府,下京区,46040 ,3380 ,7810 ,7090 ,5670 ,5010 ,10450 ,3760 ,30 ,3730 ,13450 ,9800 ,740 ,340 ,2570 ,6720 ,930 ,5790 ,18760 ,10860 ,5250 ,3280 ,1700 
107,京都府,南区,44560 ,1630 ,4670 ,6220 ,6170 ,6740 ,13710 ,3450 ,220 ,3230 ,14820 ,10270 ,840 ,540 ,3160 ,7700 ,110 ,7590 ,18230 ,11680 ,5590 ,2880 ,1160 
108,京都府,右京区,91050 ,4520 ,8420 ,13290 ,14240 ,12800 ,28780 ,9380 ,400 ,8980 ,34020 ,23750 ,2110 ,1380 ,6790 ,19330 ,1220 ,18110 ,38030 ,22970 ,11030 ,7330 ,3500 
109,京都府,伏見区,125480 ,5070 ,8550 ,17330 ,17810 ,18900 ,35580 ,9040 ,260 ,8780 ,43800 ,29310 ,3440 ,1320 ,9740 ,25030 ,2430 ,22590 ,49890 ,27090 ,14320 ,8270 ,4640 
110,京都府,山科区,59450 ,1260 ,5530 ,9180 ,7080 ,9520 ,22540 ,6890 ,100 ,6790 ,21710 ,14370 ,1470 ,650 ,5200 ,14340 ,570 ,13780 ,26960 ,15660 ,7150 ,3940 ,1840 
111,京都府,西京区,62240 ,1320 ,6310 ,10560 ,10190 ,10900 ,19400 ,6750 ,330 ,6420 ,26840 ,19200 ,1510 ,630 ,5500 ,13750 ,720 ,13030 ,23460 ,17390 ,8720 ,5720 ,3730 
201,京都府,福知山市,31620 ,690 ,2930 ,5180 ,4600 ,6470 ,11030 ,3760 ,1180 ,2580 ,16150 ,10750 ,1900 ,630 ,2860 ,8090 ,110 ,7980 ,12370 ,9510 ,5070 ,2870 ,1270 
