ID,県,市区町村,普通世帯総数,25歳未満,25〜34歳,35〜44,45〜54,55〜64,65歳以上,自営業主,農林・漁業業主,商工・その他の業主,雇用者,会社・団体・公社又は個人に雇われている者,官公庁,労働者派遣事業所の派遣社員,パート・アルバイト・その他,無職,学生,その他,300万円未満,300〜500,500〜700,700〜1000,1000万円以上
201 ,佐賀県,佐賀市,88450 ,3890 ,7410 ,11850 ,13980 ,16120 ,26890 ,10730 ,3540 ,7190 ,44310 ,29550 ,5700 ,970 ,8090 ,22820 ,2850 ,19970 ,33850 ,22360 ,11550 ,8090 ,4680 
202 ,佐賀県,唐津市,43920 ,360 ,2780 ,4690 ,7090 ,11120 ,16890 ,7510 ,3070 ,4440 ,20310 ,13770 ,1790 ,420 ,4320 ,13890 ,60 ,13830 ,19260 ,12190 ,5980 ,3420 ,2120 
203 ,佐賀県,鳥栖市,26430 ,700 ,2780 ,5310 ,3960 ,4940 ,7480 ,1900 ,270 ,1630 ,15080 ,10160 ,1280 ,590 ,3060 ,6120 ,140 ,5980 ,9250 ,7260 ,5070 ,2440 ,1130 
204 ,佐賀県,多久市,6960 ,40 ,440 ,710 ,1060 ,1770 ,2870 ,1070 ,400 ,670 ,3320 ,2150 ,290 ,100 ,780 ,2340 ,10 ,2320 ,3330 ,1830 ,820 ,570 ,310 
205 ,佐賀県,伊万里市,18820 ,190 ,1350 ,2400 ,3000 ,4700 ,7010 ,3250 ,1440 ,1810 ,9710 ,6660 ,1020 ,180 ,1850 ,5140 ,10 ,5130 ,8060 ,5650 ,2640 ,1640 ,690 
206 ,佐賀県,武雄市,16710 ,30 ,1130 ,2110 ,2640 ,4000 ,6020 ,2790 ,840 ,1940 ,7960 ,5590 ,820 ,270 ,1280 ,4250 ,0 ,4250 ,6220 ,4940 ,2460 ,1390 ,930 
207 ,佐賀県,鹿島市,9600 ,80 ,730 ,1060 ,1530 ,2460 ,3680 ,2490 ,1170 ,1320 ,4520 ,3150 ,450 ,130 ,800 ,2270 ,0 ,2270 ,3850 ,2770 ,1430 ,950 ,550 
208 ,佐賀県,小城市,14600 ,40 ,1090 ,1850 ,2810 ,3660 ,4840 ,2370 ,1020 ,1340 ,7700 ,5360 ,810 ,240 ,1300 ,3330 ,0 ,3330 ,5180 ,4410 ,2380 ,1610 ,700 
209 ,佐賀県,嬉野市,9030 ,90 ,420 ,950 ,1540 ,2590 ,3270 ,1910 ,620 ,1290 ,4530 ,3100 ,380 ,190 ,860 ,2270 ,10 ,2260 ,3960 ,2440 ,1270 ,780 ,410 
210 ,佐賀県,神埼市,11230 ,590 ,990 ,1420 ,1860 ,2750 ,3550 ,1810 ,820 ,980 ,5990 ,3830 ,680 ,190 ,1290 ,3070 ,370 ,2700 ,4710 ,3120 ,1910 ,1030 ,390 
327 ,佐賀県,吉野ヶ里町,5920 ,100 ,340 ,720 ,900 ,1450 ,2130 ,730 ,380 ,340 ,2800 ,1810 ,260 ,0 ,730 ,1440 ,0 ,1440 ,2410 ,1830 ,550 ,630 ,230 
341 ,佐賀県,基山町,6400 ,280 ,670 ,650 ,800 ,1610 ,2200 ,680 ,250 ,430 ,3160 ,2070 ,300 ,100 ,680 ,2330 ,220 ,2110 ,2490 ,1770 ,980 ,660 ,320 
346 ,佐賀県,みやき町,8620 ,20 ,230 ,680 ,1080 ,2180 ,4410 ,1580 ,620 ,960 ,3690 ,2250 ,450 ,140 ,850 ,3200 ,0 ,3200 ,3330 ,2560 ,1390 ,950 ,390 
401 ,佐賀県,有田町,6820 ,0 ,300 ,690 ,1110 ,1810 ,2800 ,1310 ,280 ,1030 ,3250 ,2410 ,360 ,20 ,450 ,2090 ,0 ,2090 ,2920 ,2000 ,790 ,750 ,240 
425 ,佐賀県,白石町,7510 ,50 ,280 ,610 ,1330 ,2180 ,3030 ,2720 ,1960 ,750 ,3080 ,2080 ,360 ,30 ,610 ,1600 ,0 ,1600 ,2890 ,2030 ,990 ,930 ,640 
