ID,県,市区町村,普通世帯総数,25歳未満,25〜34歳,35〜44,45〜54,55〜64,65歳以上,自営業主,農林・漁業業主,商工・その他の業主,雇用者,会社・団体・公社又は個人に雇われている者,官公庁,労働者派遣事業所の派遣社員,パート・アルバイト・その他,無職,学生,その他,300万円未満,300〜500,500〜700,700〜1000,1000万円以上
100,兵庫県,神戸市,718630 ,24150 ,57800 ,97900 ,101480 ,115770 ,231450 ,53490 ,2360 ,51130 ,289970 ,201700 ,23860 ,9220 ,55190 ,191130 ,8600 ,182540 ,263160 ,167650 ,88400 ,68530 ,40310 
101,兵庫県,東灘区,97740 ,3480 ,8020 ,14590 ,14260 ,12970 ,26350 ,6860 ,0 ,6860 ,42400 ,32380 ,2980 ,920 ,6130 ,23670 ,1940 ,21730 ,27920 ,19700 ,12590 ,10920 ,8910 
102,兵庫県,灘区,66700 ,4840 ,6300 ,9170 ,9040 ,8930 ,18850 ,4950 ,20 ,4930 ,25850 ,18110 ,1710 ,900 ,5140 ,17020 ,2440 ,14580 ,25480 ,13340 ,8360 ,5830 ,3490 
105,兵庫県,兵庫区,56400 ,1430 ,5600 ,7450 ,7680 ,8230 ,20640 ,4980 ,110 ,4870 ,19270 ,12160 ,1130 ,1050 ,4940 ,16040 ,180 ,15860 ,26760 ,14290 ,4850 ,2700 ,1290 
106,兵庫県,長田区,50450 ,600 ,2460 ,5040 ,5360 ,7380 ,19040 ,4350 ,40 ,4310 ,16460 ,10350 ,1020 ,860 ,4230 ,17550 ,140 ,17410 ,23260 ,9630 ,4030 ,2030 ,1050 
107,兵庫県,須磨区,77920 ,2300 ,6440 ,9570 ,10990 ,12960 ,28090 ,5910 ,190 ,5720 ,32420 ,21770 ,3120 ,1280 ,6250 ,23440 ,570 ,22870 ,30020 ,20100 ,9320 ,7130 ,4030 
108,兵庫県,垂水区,98040 ,1870 ,6420 ,13930 ,14260 ,17640 ,34120 ,6110 ,50 ,6060 ,42510 ,29770 ,3840 ,1160 ,7750 ,27850 ,470 ,27380 ,36140 ,23520 ,12950 ,10330 ,5520 
109,兵庫県,北区,87930 ,1370 ,5950 ,13340 ,14920 ,16200 ,32880 ,7480 ,700 ,6790 ,40730 ,27980 ,3450 ,1240 ,8050 ,27070 ,420 ,26640 ,30030 ,24570 ,14180 ,10360 ,5330 
110,兵庫県,中央区,84180 ,4010 ,10730 ,10170 ,8970 ,10880 ,22420 ,5290 ,0 ,5290 ,23300 ,16030 ,1700 ,640 ,4920 ,14440 ,1060 ,13380 ,32480 ,17800 ,7330 ,6420 ,3050 
111,兵庫県,西区,99270 ,4240 ,5880 ,14640 ,15990 ,20580 ,29060 ,7560 ,1250 ,6310 ,47030 ,33160 ,4920 ,1170 ,7780 ,24060 ,1370 ,22690 ,31080 ,24710 ,14780 ,12800 ,7640 
201,兵庫県,姫路市,216870 ,4450 ,16300 ,33070 ,35940 ,36290 ,71640 ,22880 ,1610 ,21270 ,100830 ,72470 ,6770 ,3120 ,18480 ,57720 ,1360 ,56360 ,78760 ,56110 ,31650 ,21610 ,10860 
202,兵庫県,尼崎市,218980 ,4480 ,15960 ,28740 ,29100 ,33670 ,66930 ,16740 ,290 ,16450 ,86160 ,60520 ,3700 ,3910 ,18020 ,55430 ,860 ,54570 ,84780 ,48510 ,25170 ,14890 ,7060 
203,兵庫県,明石市,124760 ,890 ,9300 ,17670 ,18340 ,21090 ,39950 ,8470 ,840 ,7630 ,59670 ,42010 ,4760 ,2210 ,10700 ,35650 ,190 ,35460 ,41970 ,31130 ,17590 ,11030 ,5840 
204,兵庫県,西宮市,233500 ,9530 ,18580 ,35550 ,34900 ,36060 ,69870 ,17060 ,180 ,16880 ,97750 ,73850 ,5630 ,2420 ,15860 ,49540 ,2400 ,47140 ,71090 ,54860 ,33700 ,26190 ,19780 
205,兵庫県,洲本市,17950 ,200 ,810 ,2160 ,2640 ,3590 ,7460 ,3550 ,1490 ,2060 ,7560 ,4780 ,930 ,170 ,1680 ,5290 ,10 ,5290 ,7890 ,4370 ,2500 ,1490 ,550 
206,兵庫県,芦屋市,41200 ,150 ,1850 ,4760 ,6710 ,5760 ,12760 ,4130 ,20 ,4110 ,17080 ,13140 ,820 ,320 ,2800 ,10110 ,50 ,10060 ,9070 ,7690 ,5090 ,4950 ,5420 
207,兵庫県,伊丹市,82150 ,880 ,6780 ,13690 ,13490 ,12800 ,26460 ,6470 ,290 ,6180 ,39980 ,28590 ,2980 ,1540 ,6880 ,20490 ,110 ,20380 ,25150 ,22890 ,13830 ,8380 ,4020 
208,兵庫県,相生市,11790 ,270 ,760 ,1370 ,1490 ,2280 ,5210 ,1010 ,70 ,940 ,5520 ,3890 ,470 ,170 ,990 ,4570 ,40 ,4530 ,4820 ,3280 ,1670 ,1000 ,590 
209,兵庫県,豊岡市,28570 ,150 ,2000 ,3920 ,4510 ,6600 ,11260 ,5430 ,1690 ,3740 ,14480 ,9500 ,1970 ,420 ,2600 ,7330 ,0 ,7330 ,10860 ,8850 ,3990 ,3040 ,1390 
