id,県,市町村区,普通世帯総数,25歳未満,25〜34歳,35〜44歳,45〜54歳,55〜64歳,65歳以上,自営業主,農林・漁業業主,商工・その他の業主,雇用者,会社・団体・公社又は個人に雇われている者,官公庁,労働者派遣事業所の派遣社員,パート・アルバイト・その他,無職,学生,その他,300万円未満,300〜500万円,500〜700万円,700〜1000万円,1000万円以上
100,北海道,札幌市,863550 ,33430 ,83760 ,125710 ,135880 ,155430 ,235720 ,57120 ,810 ,56310 ,380270 ,262380 ,31840 ,12540 ,73510 ,189010 ,11040 ,177960 ,346350 ,223910 ,107820 ,67390 ,30620 
101,北海道,中央区,116680 ,5070 ,13830 ,14360 ,17860 ,16220 ,26560 ,8140 ,60 ,8080 ,43870 ,30530 ,4230 ,1000 ,8120 ,20240 ,1500 ,18730 ,39320 ,23470 ,13460 ,10410 ,8190 
102,北海道,北区,121860 ,8290 ,11680 ,19150 ,19270 ,21150 ,29970 ,8240 ,60 ,8180 ,51350 ,35410 ,4790 ,1580 ,9570 ,26100 ,3570 ,22530 ,48280 ,32150 ,16850 ,9100 ,3950 
103,北海道,東区,116520 ,3690 ,11980 ,20160 ,15540 ,20340 ,30260 ,7990 ,80 ,7900 ,52660 ,36780 ,3380 ,1610 ,10890 ,23750 ,910 ,22840 ,48760 ,30340 ,13190 ,7970 ,2590 
104,北海道,白石区,102470 ,3900 ,12810 ,16210 ,17150 ,16610 ,25590 ,6640 ,100 ,6540 ,43850 ,31180 ,2040 ,1780 ,8850 ,19010 ,800 ,18210 ,47360 ,27560 ,10250 ,5800 ,1940 
105,北海道,豊平区,106080 ,5940 ,13210 ,16250 ,18420 ,17460 ,27220 ,6270 ,70 ,6200 ,46940 ,31640 ,3580 ,2150 ,9580 ,20570 ,1890 ,18680 ,47790 ,28170 ,12520 ,7450 ,3150 
106,北海道,南区,60170 ,1760 ,3190 ,6690 ,8690 ,13040 ,22490 ,5020 ,230 ,4780 ,25960 ,16280 ,3300 ,990 ,5390 ,18210 ,700 ,17510 ,25540 ,16760 ,7730 ,4600 ,1790 
107,北海道,西区,91870 ,1800 ,8500 ,14030 ,15650 ,17860 ,27990 ,6070 ,110 ,5950 ,43830 ,29700 ,4830 ,1470 ,7830 ,22830 ,190 ,22640 ,38010 ,25020 ,12400 ,7660 ,3470 
108,北海道,厚別区,52920 ,500 ,3070 ,6040 ,7480 ,9830 ,16300 ,2280 ,863550 ,2280 ,24500 ,17400 ,1890 ,720 ,4490 ,14350 ,110 ,14240 ,16740 ,13200 ,6780 ,4840 ,2120 
109,北海道,手稲区,52600 ,1060 ,3090 ,6700 ,7930 ,12710 ,16580 ,3080 ,30 ,3050 ,25220 ,17150 ,2240 ,850 ,4970 ,13840 ,530 ,13310 ,19400 ,15420 ,7160 ,4840 ,1490 
110,北海道,清田区,42380 ,1430 ,2390 ,6100 ,7890 ,10200 ,12780 ,3410 ,60 ,3350 ,22100 ,16310 ,1570 ,400 ,3820 ,10120 ,840 ,9280 ,15140 ,11820 ,7470 ,4720 ,1940 
202,北海道,函館市,122130 ,3070 ,6580 ,13350 ,16300 ,23090 ,43680 ,11080 ,1820 ,9260 ,50410 ,31890 ,4840 ,1530 ,12160 ,41140 ,2160 ,38990 ,56790 ,27860 ,12210 ,6870 ,3060 
203,北海道,小樽市,53080 ,1090 ,2750 ,5880 ,6600 ,10770 ,25180 ,4600 ,310 ,4290 ,21700 ,13900 ,2070 ,330 ,5400 ,22770 ,670 ,22100 ,29560 ,13180 ,5450 ,2840 ,1080 
204,北海道,旭川市,152480 ,4210 ,14220 ,23340 ,26140 ,32640 ,51570 ,12570 ,1260 ,11310 ,75970 ,48730 ,9650 ,2570 ,15010 ,47320 ,1450 ,45880 ,73700 ,41310 ,19690 ,10880 ,4200 
205,北海道,室蘭市,43410 ,2780 ,2960 ,5050 ,4910 ,7530 ,16920 ,2540 ,30 ,2510 ,18210 ,12230 ,2220 ,410 ,3370 ,16230 ,1480 ,14750 ,21060 ,10360 ,5040 ,2650 ,1110 
206,北海道,釧路市,80210 ,2250 ,6090 ,10850 ,11650 ,16000 ,28790 ,6470 ,400 ,6070 ,33670 ,21370 ,4200 ,820 ,7280 ,25120 ,850 ,24270 ,38730 ,20390 ,9470 ,4890 ,1700 
207,北海道,帯広市,72860 ,2500 ,7460 ,11690 ,12270 ,14180 ,22670 ,7190 ,1250 ,5940 ,42510 ,27340 ,4890 ,2000 ,8280 ,20870 ,960 ,19910 ,34390 ,20660 ,8850 ,4490 ,2380 
208,北海道,北見市,52740 ,1240 ,4540 ,7610 ,8240 ,10680 ,18000 ,5220 ,1100 ,4120 ,26010 ,16580 ,2460 ,1050 ,5920 ,14760 ,580 ,14170 ,24590 ,14460 ,6640 ,3360 ,1230 
209,北海道,夕張市,4700 ,20 ,110 ,360 ,490 ,930 ,2800 ,510 ,220 ,290 ,1630 ,860 ,190 ,40 ,530 ,2540 ,0 ,2540 ,3100 ,1030 ,360 ,110 ,90 
