ID,県,市区町村,普通世帯総数,25歳未満,25〜34歳,35〜44,45〜54,55〜64,65歳以上,自営業主,農林・漁業業主,商工・その他の業主,雇用者,会社・団体・公社又は個人に雇われている者,官公庁,労働者派遣事業所の派遣社員,パート・アルバイト・その他,無職,学生,その他,300万円未満,300〜500,500〜700,700〜1000,1000万円以上
100,千葉県,千葉市,402540 ,11050 ,35080 ,63890 ,64560 ,67350 ,128390 ,27780 ,1460 ,26320 ,184590 ,134290 ,14110 ,6440 ,29760 ,97910 ,4300 ,93610 ,113870 ,113010 ,63900 ,50160 ,30420 
101,千葉県,中央区,92510 ,4920 ,10760 ,14990 ,12840 ,15800 ,24990 ,6270 ,100 ,6170 ,39370 ,29100 ,3430 ,1030 ,5810 ,19550 ,1350 ,18190 ,29580 ,25190 ,13750 ,10020 ,6650 
102,千葉県,花見川区,78600 ,1790 ,7350 ,13020 ,14310 ,13120 ,26290 ,4590 ,190 ,4400 ,35920 ,26750 ,1660 ,1440 ,6070 ,18650 ,290 ,18360 ,23370 ,25190 ,13390 ,9070 ,4870 
103,千葉県,稲毛区,65970 ,3370 ,6900 ,10840 ,10210 ,10850 ,21290 ,4690 ,100 ,4590 ,30800 ,21710 ,3440 ,1020 ,4630 ,17640 ,2440 ,15200 ,19830 ,19090 ,10840 ,8990 ,4740 
104,千葉県,若葉区,57850 ,350 ,2000 ,6480 ,7230 ,9060 ,25270 ,6160 ,550 ,5610 ,22480 ,15470 ,2030 ,570 ,4400 ,18230 ,110 ,18120 ,15650 ,16360 ,8860 ,6480 ,3560 
105,千葉県,緑区,44000 ,470 ,4920 ,8580 ,9610 ,8310 ,11620 ,3120 ,460 ,2660 ,23570 ,18150 ,2030 ,630 ,2770 ,8170 ,0 ,8170 ,9140 ,12430 ,8670 ,7780 ,4650 
106,千葉県,美浜区,63600 ,150 ,3150 ,9970 ,10360 ,10210 ,18940 ,2940 ,60 ,2870 ,32460 ,23110 ,1520 ,1750 ,6070 ,15670 ,100 ,15570 ,16300 ,14750 ,8390 ,7810 ,5950 
202,千葉県,銚子市,25560 ,620 ,1040 ,2310 ,4260 ,6170 ,9990 ,4860 ,1650 ,3210 ,10860 ,7290 ,800 ,360 ,2400 ,7590 ,220 ,7370 ,10770 ,6530 ,3370 ,2350 ,1420 
203,千葉県,市川市,220940 ,4900 ,29830 ,44620 ,35790 ,32890 ,57620 ,14270 ,620 ,13650 ,87000 ,66450 ,3870 ,3450 ,13230 ,31090 ,700 ,30390 ,55800 ,64810 ,37220 ,31350 ,16790 
204,千葉県,船橋市,267200 ,5210 ,23140 ,43630 ,37610 ,36190 ,72230 ,16520 ,1070 ,15440 ,122160 ,92830 ,6250 ,4220 ,18850 ,57680 ,2250 ,55440 ,67600 ,63190 ,40010 ,31260 ,17630 
205,千葉県,館山市,19630 ,170 ,1240 ,2150 ,2470 ,4380 ,8700 ,3110 ,860 ,2250 ,8350 ,4910 ,1170 ,200 ,2080 ,7200 ,0 ,7200 ,8670 ,5830 ,2380 ,1490 ,710 
206,千葉県,木更津市,50600 ,440 ,4830 ,9600 ,7980 ,9580 ,15500 ,5290 ,930 ,4360 ,26900 ,19700 ,2420 ,970 ,3820 ,11740 ,30 ,11700 ,14830 ,14340 ,9440 ,5920 ,2970 
207,千葉県,松戸市,210280 ,5030 ,22600 ,36640 ,37980 ,34570 ,65860 ,17380 ,810 ,16570 ,95760 ,68360 ,6350 ,3630 ,17420 ,46130 ,850 ,45280 ,66980 ,57310 ,33460 ,23680 ,15350 
