ID,県,市区町村,普通世帯総数,25歳未満,25〜34歳,35〜44,45〜54,55〜64,65歳以上,自営業主,農林・漁業業主,商工・その他の業主,雇用者,会社・団体・公社又は個人に雇われている者,官公庁,労働者派遣事業所の派遣社員,パート・アルバイト・その他,無職,学生,その他,300万円未満,300〜500,500〜700,700〜1000,1000万円以上
201,和歌山県,和歌山市,153290 ,4290 ,9880 ,21910 ,21820 ,29030 ,57430 ,16930 ,1720 ,15210 ,62210 ,42880 ,6140 ,2010 ,11190 ,42660 ,870 ,41790 ,65820 ,41000 ,18240 ,13220 ,6460 
202,和歌山県,海南市,20480 ,140 ,1070 ,2530 ,3230 ,3870 ,9240 ,3690 ,1120 ,2570 ,8190 ,5670 ,710 ,180 ,1620 ,7340 ,20 ,7320 ,9390 ,5390 ,2450 ,1840 ,950 
203,和歌山県,橋本市,22860 ,80 ,1290 ,3600 ,3810 ,5870 ,7130 ,3130 ,690 ,2440 ,12460 ,8630 ,1250 ,340 ,2250 ,6050 ,40 ,6010 ,7620 ,6660 ,3620 ,2550 ,1350 
204,和歌山県,有田市,10440 ,70 ,630 ,1420 ,1690 ,2290 ,4210 ,2480 ,1020 ,1460 ,4220 ,3000 ,400 ,120 ,700 ,3240 ,0 ,3240 ,4690 ,2830 ,1580 ,760 ,480 
205,和歌山県,御坊市,9570 ,300 ,870 ,1610 ,1460 ,1900 ,3370 ,1830 ,550 ,1280 ,4100 ,2750 ,590 ,70 ,690 ,2930 ,70 ,2850 ,4910 ,2290 ,1160 ,700 ,440 
206,和歌山県,田辺市,30930 ,430 ,2360 ,4290 ,5060 ,5250 ,12000 ,5540 ,1880 ,3660 ,13750 ,8470 ,1770 ,340 ,3170 ,9610 ,0 ,9610 ,15070 ,8480 ,3190 ,1870 ,800 
207,和歌山県,新宮市,13810 ,100 ,710 ,1710 ,2030 ,2530 ,6250 ,2170 ,120 ,2040 ,5520 ,3240 ,560 ,200 ,1520 ,5280 ,0 ,5280 ,7910 ,3250 ,1290 ,630 ,270 
208,和歌山県,紀の川市,23210 ,540 ,1270 ,2950 ,4250 ,4980 ,9070 ,5120 ,2750 ,2370 ,10260 ,6970 ,1180 ,210 ,1890 ,6460 ,250 ,6220 ,10020 ,6420 ,3570 ,1850 ,1180 
209,和歌山県,岩出市,20580 ,380 ,1410 ,3410 ,4000 ,4240 ,6410 ,2160 ,310 ,1850 ,9580 ,6640 ,970 ,270 ,1700 ,4720 ,130 ,4590 ,8200 ,6250 ,3020 ,1680 ,700 
341,和歌山県,かつらぎ町,6290 ,30 ,260 ,670 ,1140 ,1330 ,2830 ,1460 ,640 ,820 ,2640 ,1690 ,390 ,50 ,510 ,1880 ,10 ,1870 ,2770 ,1900 ,910 ,500 ,180 
366,和歌山県,有田川町,9670 ,130 ,640 ,1160 ,1460 ,1980 ,4030 ,3090 ,1920 ,1170 ,3570 ,2250 ,570 ,70 ,680 ,2480 ,10 ,2470 ,4610 ,2460 ,1020 ,900 ,460 
401,和歌山県,白浜町,9330 ,630 ,470 ,740 ,1210 ,1530 ,4570 ,1400 ,240 ,1160 ,3400 ,2050 ,420 ,50 ,870 ,4000 ,490 ,3500 ,5670 ,2220 ,760 ,320 ,220 
421,和歌山県,那智勝浦町,7520 ,40 ,240 ,490 ,1000 ,1690 ,3980 ,1310 ,320 ,990 ,2500 ,1400 ,460 ,80 ,560 ,3580 ,0 ,3580 ,4590 ,1690 ,560 ,420 ,160 
428,和歌山県,串本町,8180 ,40 ,340 ,450 ,910 ,1800 ,4480 ,1410 ,340 ,1080 ,2710 ,1200 ,580 ,90 ,840 ,3760 ,0 ,3760 ,4910 ,1920 ,650 ,440 ,100 
