ID,県,市区町村,普通世帯総数,25歳未満,25〜34歳,35〜44,45〜54,55〜64,65歳以上,自営業主,農林・漁業業主,商工・その他の業主,雇用者,会社・団体・公社又は個人に雇われている者,官公庁,労働者派遣事業所の派遣社員,パート・アルバイト・その他,無職,学生,その他,300万円未満,300〜500,500〜700,700〜1000,1000万円以上
100,埼玉県,さいたま市,513530 ,14600 ,52670 ,91830 ,90240 ,87970 ,144480 ,37920 ,2100 ,35820 ,254720 ,191810 ,18560 ,6990 ,37370 ,105140 ,5430 ,99720 ,139280 ,134580 ,90700 ,73860 ,45070 
101,埼玉県,西区,32160 ,570 ,2840 ,5930 ,4860 ,5740 ,11000 ,2770 ,190 ,2580 ,15940 ,11580 ,1220 ,430 ,2710 ,7700 ,30 ,7670 ,9030 ,9760 ,6430 ,3840 ,1900 
102,埼玉県,北区,60830 ,1350 ,6670 ,11950 ,12130 ,10460 ,15350 ,3530 ,130 ,3400 ,31260 ,22520 ,3370 ,900 ,4470 ,11190 ,190 ,10990 ,16160 ,15880 ,12070 ,9260 ,4620 
103,埼玉県,大宮区,48430 ,840 ,5560 ,9470 ,8450 ,8060 ,12900 ,3450 ,0 ,3450 ,23280 ,17970 ,1520 ,710 ,3090 ,8500 ,180 ,8320 ,11820 ,12180 ,8340 ,8380 ,4730 
104,埼玉県,見沼区,64450 ,1980 ,5250 ,10210 ,10530 ,12110 ,20960 ,5010 ,420 ,4590 ,32210 ,23330 ,2400 ,700 ,5780 ,15150 ,740 ,14410 ,20070 ,17520 ,11410 ,7620 ,4470 
105,埼玉県,中央区,42100 ,1260 ,5660 ,8250 ,7840 ,6730 ,10460 ,2720 ,80 ,2650 ,21350 ,16700 ,1430 ,510 ,2710 ,7580 ,120 ,7460 ,9870 ,11530 ,7840 ,6570 ,4650 
106,埼玉県,桜区,43590 ,4700 ,4030 ,6520 ,6790 ,6560 ,10650 ,3180 ,110 ,3070 ,17910 ,13100 ,1120 ,650 ,3030 ,9870 ,3370 ,6500 ,15380 ,10500 ,6640 ,4520 ,2460 
107,埼玉県,浦和区,64490 ,2080 ,6870 ,10450 ,12400 ,10640 ,17050 ,4020 ,50 ,3970 ,33970 ,26550 ,2460 ,750 ,4210 ,13240 ,430 ,12800 ,15420 ,14600 ,10090 ,10280 ,9100 
108,埼玉県,南区,72700 ,990 ,9160 ,14620 ,13830 ,12230 ,17970 ,4710 ,30 ,4680 ,38590 ,30570 ,2040 ,1240 ,4740 ,11650 ,150 ,11500 ,16230 ,19380 ,14110 ,11980 ,7480 
109,埼玉県,緑区,42770 ,390 ,4180 ,7900 ,7120 ,7160 ,12230 ,3800 ,440 ,3360 ,21710 ,16350 ,1860 ,430 ,3070 ,8820 ,80 ,8740 ,10360 ,10810 ,7180 ,7180 ,3520 
110,埼玉県,岩槻区,42000 ,430 ,2450 ,6550 ,6290 ,8280 ,15930 ,4740 ,670 ,4070 ,18490 ,13150 ,1140 ,660 ,3550 ,11450 ,140 ,11320 ,14930 ,12420 ,6600 ,4230 ,2160 
201,埼玉県,川越市,141790 ,4430 ,12080 ,24200 ,21230 ,25210 ,43780 ,11740 ,1450 ,10290 ,60020 ,43300 ,3810 ,1580 ,11330 ,30060 ,1350 ,28710 ,45020 ,38870 ,25090 ,15120 ,7730 
202,埼玉県,熊谷市,76130 ,1390 ,5500 ,10600 ,12260 ,17400 ,25330 ,8980 ,2120 ,6860 ,33710 ,23750 ,2420 ,1020 ,6510 ,17640 ,150 ,17490 ,26350 ,21470 ,12700 ,8250 ,3970 
203,埼玉県,川口市,244280 ,2840 ,19290 ,35640 ,35290 ,33280 ,56030 ,24730 ,570 ,24160 ,113140 ,85570 ,5240 ,3920 ,18410 ,42860 ,820 ,42040 ,58860 ,54280 ,33090 ,23250 ,14790 
206,埼玉県,行田市,30800 ,370 ,2010 ,4280 ,4910 ,7000 ,10610 ,3930 ,730 ,3190 ,15470 ,10680 ,1130 ,710 ,2950 ,8410 ,130 ,8280 ,10470 ,9050 ,5060 ,3360 ,1350 
207,埼玉県,秩父市,24040 ,240 ,1330 ,2730 ,3710 ,5770 ,9590 ,3050 ,370 ,2680 ,11630 ,7830 ,1150 ,260 ,2390 ,8300 ,0 ,8300 ,10370 ,6550 ,3500 ,1940 ,1000 
208,埼玉県,所沢市,145190 ,3130 ,12650 ,23250 ,22660 ,24730 ,43910 ,10920 ,740 ,10180 ,63700 ,45800 ,4950 ,1830 ,11120 ,33060 ,960 ,32100 ,40560 ,38460 ,24630 ,18550 ,8800 
209,埼玉県,飯能市,30290 ,570 ,1760 ,3850 ,4640 ,7220 ,10480 ,3180 ,250 ,2930 ,15260 ,10620 ,1210 ,460 ,2970 ,9290 ,310 ,8980 ,9980 ,8130 ,4960 ,3430 ,2110 
210,埼玉県,加須市,40140 ,560 ,2230 ,4770 ,6300 ,11310 ,13120 ,5440 ,1410 ,4040 ,20900 ,14920 ,1520 ,490 ,3970 ,9250 ,0 ,9250 ,12340 ,12040 ,6850 ,5210 ,2060 
211,埼玉県,本庄市,33080 ,560 ,2520 ,4670 ,5530 ,6810 ,11120 ,4620 ,930 ,3690 ,14200 ,10700 ,860 ,480 ,2170 ,7130 ,0 ,7130 ,12010 ,9570 ,5360 ,3320 ,1210 
212,埼玉県,東松山市,36330 ,1680 ,2840 ,4880 ,5290 ,7810 ,10880 ,3420 ,360 ,3050 ,17200 ,12410 ,1140 ,750 ,2910 ,9400 ,750 ,8650 ,11880 ,10370 ,5600 ,3840 ,1990 
214,埼玉県,春日部市,93870 ,860 ,6570 ,13270 ,14300 ,17080 ,32070 ,8240 ,800 ,7440 ,46980 ,33350 ,3140 ,1320 ,9180 ,24600 ,180 ,24420 ,30870 ,25930 ,13440 ,9010 ,5140 
215,埼玉県,狭山市,61780 ,430 ,4080 ,8380 ,7920 ,12190 ,19430 ,4960 ,290 ,4670 ,31320 ,20960 ,2640 ,990 ,6740 ,14940 ,70 ,14860 ,16720 ,16080 ,9280 ,6640 ,3750 
216,埼玉県,羽生市,19610 ,250 ,1530 ,2930 ,2800 ,4660 ,6840 ,2580 ,500 ,2080 ,10100 ,6920 ,860 ,470 ,1850 ,5120 ,20 ,5110 ,6750 ,5590 ,3500 ,2240 ,950 
217,埼玉県,鴻巣市,45240 ,710 ,3410 ,6110 ,7700 ,10050 ,15920 ,4190 ,970 ,3220 ,24370 ,17130 ,1870 ,810 ,4560 ,13200 ,100 ,13100 ,13820 ,13210 ,8160 ,5640 ,3040 
218,埼玉県,深谷市,52040 ,780 ,3540 ,8510 ,8350 ,11740 ,15730 ,7430 ,2700 ,4730 ,25990 ,19160 ,2040 ,810 ,3980 ,12040 ,210 ,11820 ,16050 ,14700 ,9000 ,6380 ,2820 
219,埼玉県,上尾市,88300 ,1550 ,7050 ,16270 ,13960 ,16270 ,28680 ,6670 ,440 ,6240 ,43700 ,31120 ,2970 ,1420 ,8190 ,21700 ,360 ,21330 ,26490 ,27260 ,14880 ,9910 ,5540 
221,埼玉県,草加市,103920 ,4590 ,10380 ,20310 ,16650 ,16920 ,27980 ,9490 ,60 ,9420 ,46270 ,35000 ,2430 ,1660 ,7190 ,19640 ,1480 ,18160 ,34250 ,29700 ,17830 ,10010 ,5370 
222,埼玉県,越谷市,131800 ,3500 ,13480 ,22800 ,21750 ,24130 ,40010 ,11470 ,460 ,11010 ,65960 ,48740 ,5020 ,1730 ,10470 ,28800 ,870 ,27930 ,40240 ,36840 ,23790 ,16870 ,8280 
223,埼玉県,蕨市,32980 ,1050 ,4650 ,5210 ,5370 ,4760 ,8700 ,2500 ,10 ,2490 ,14890 ,10740 ,780 ,650 ,2720 ,7020 ,330 ,6700 ,11720 ,8240 ,4440 ,3070 ,2110 
224,埼玉県,戸田市,55640 ,2070 ,8290 ,11910 ,10730 ,8110 ,10580 ,4340 ,40 ,4300 ,30970 ,24560 ,1910 ,570 ,3930 ,6340 ,370 ,5970 ,14450 ,14410 ,11480 ,6980 ,4400 
225,埼玉県,入間市,57640 ,570 ,2890 ,8210 ,9060 ,11220 ,18400 ,4740 ,250 ,4490 ,28310 ,19250 ,2620 ,860 ,5590 ,13490 ,270 ,13220 ,15770 ,15090 ,9420 ,6870 ,3620 
227,埼玉県,朝霞市,60080 ,810 ,5050 ,8660 ,8240 ,6840 ,11910 ,5150 ,430 ,4720 ,26890 ,20100 ,2080 ,1000 ,3700 ,8310 ,400 ,7910 ,11450 ,11420 ,8850 ,6310 ,3870 
228,埼玉県,志木市,29620 ,700 ,2430 ,4600 ,4510 ,4030 ,8200 ,2540 ,90 ,2450 ,13740 ,10390 ,850 ,410 ,2090 ,6410 ,290 ,6120 ,7550 ,6560 ,4940 ,3590 ,2050 
229,埼玉県,和光市,38350 ,1680 ,5820 ,6730 ,6090 ,4830 ,7520 ,2580 ,130 ,2440 ,17660 ,11660 ,3220 ,510 ,2280 ,4820 ,500 ,4320 ,8200 ,9630 ,6940 ,5870 ,2230 
230,埼玉県,新座市,65890 ,1600 ,6140 ,12260 ,10850 ,11270 ,19790 ,6650 ,350 ,6290 ,32060 ,22430 ,2930 ,960 ,5730 ,13140 ,310 ,12830 ,19900 ,19690 ,11900 ,7420 ,3290 
231,埼玉県,桶川市,28540 ,110 ,1850 ,5050 ,4480 ,5730 ,10060 ,2540 ,270 ,2270 ,14790 ,10970 ,940 ,380 ,2500 ,7490 ,20 ,7470 ,8650 ,8070 ,5610 ,3460 ,1720 
232,埼玉県,久喜市,58500 ,630 ,3560 ,8520 ,8930 ,13970 ,20140 ,5890 ,980 ,4910 ,30030 ,21450 ,2290 ,950 ,5350 ,16310 ,220 ,16090 ,19980 ,14590 ,9870 ,7540 ,3840 
233,埼玉県,北本市,26070 ,280 ,1610 ,3520 ,4050 ,5360 ,10000 ,2100 ,190 ,1900 ,12670 ,8860 ,850 ,290 ,2670 ,7710 ,40 ,7670 ,8520 ,7730 ,4290 ,2460 ,1840 
234,埼玉県,八潮市,33760 ,360 ,3160 ,5790 ,4440 ,5200 ,10120 ,4210 ,240 ,3970 ,14420 ,10800 ,720 ,610 ,2300 ,5560 ,10 ,5550 ,9180 ,10050 ,5610 ,2910 ,1270 
235,埼玉県,富士見市,46340 ,2720 ,4270 ,7310 ,7170 ,7450 ,13280 ,3740 ,430 ,3300 ,20020 ,14340 ,1010 ,830 ,3840 ,7750 ,310 ,7430 ,15810 ,11690 ,7470 ,4920 ,2420 
237,埼玉県,三郷市,53280 ,1120 ,4390 ,8890 ,8870 ,11190 ,17220 ,6510 ,240 ,6270 ,28340 ,20440 ,1050 ,900 ,5950 ,10800 ,70 ,10740 ,18260 ,16390 ,8430 ,5550 ,3310 
238,埼玉県,蓮田市,23500 ,270 ,1610 ,3000 ,3350 ,5210 ,9110 ,2570 ,590 ,1980 ,11550 ,8410 ,880 ,350 ,1900 ,7570 ,60 ,7520 ,6840 ,6930 ,4090 ,3040 ,1670 
239,埼玉県,坂戸市,44170 ,1700 ,2920 ,5480 ,5540 ,7000 ,13760 ,3330 ,350 ,2980 ,19950 ,14130 ,1140 ,740 ,3940 ,12420 ,1070 ,11350 ,14560 ,10780 ,5870 ,3610 ,1670 
240,埼玉県,幸手市,20600 ,240 ,850 ,2430 ,2970 ,5030 ,7910 ,2400 ,410 ,1990 ,10640 ,6910 ,730 ,580 ,2420 ,6080 ,50 ,6030 ,7710 ,5510 ,3150 ,2040 ,1070 
241,埼玉県,鶴ヶ島市,29130 ,1770 ,2970 ,4780 ,4060 ,5750 ,9120 ,2270 ,170 ,2100 ,13130 ,9240 ,680 ,400 ,2810 ,7240 ,690 ,6550 ,10320 ,9520 ,4340 ,2460 ,1890 
242,埼玉県,日高市,21010 ,170 ,1290 ,3670 ,3150 ,4780 ,7880 ,2340 ,320 ,2010 ,9990 ,6950 ,750 ,290 ,2000 ,5810 ,0 ,5810 ,6690 ,6180 ,3940 ,2620 ,950 
243,埼玉県,吉川市,24430 ,420 ,2190 ,4580 ,4160 ,5260 ,7140 ,2450 ,330 ,2120 ,13370 ,9890 ,900 ,300 ,2290 ,4080 ,40 ,4040 ,7330 ,7130 ,4510 ,3200 ,1590 
245,埼玉県,ふじみ野市,43200 ,1620 ,4470 ,7270 ,7200 ,6890 ,14490 ,3740 ,210 ,3530 ,20770 ,15200 ,1240 ,860 ,3470 ,11070 ,350 ,10720 ,14260 ,12000 ,7370 ,5020 ,2350 
246,埼玉県,白岡市,18250 ,110 ,1410 ,2920 ,3110 ,3740 ,6010 ,1760 ,270 ,1490 ,10350 ,7690 ,890 ,260 ,1520 ,4940 ,30 ,4910 ,4760 ,5120 ,3360 ,2480 ,1590 
301,埼玉県,伊奈町,16670 ,480 ,1510 ,3690 ,2400 ,2600 ,4430 ,1490 ,150 ,1340 ,8950 ,6770 ,710 ,130 ,1330 ,3210 ,270 ,2950 ,4070 ,4820 ,2950 ,2190 ,920 
324,埼玉県,三芳町,13580 ,70 ,760 ,2790 ,2110 ,2870 ,4950 ,1490 ,140 ,1360 ,6820 ,4880 ,270 ,190 ,1470 ,3230 ,10 ,3220 ,4300 ,3970 ,2910 ,1420 ,810 
326,埼玉県,毛呂山町,16010 ,2040 ,1370 ,1990 ,2100 ,2920 ,5470 ,1910 ,170 ,1750 ,7110 ,4830 ,470 ,300 ,1500 ,5360 ,1370 ,4000 ,7100 ,4200 ,2380 ,1350 ,770 
341,埼玉県,滑川町,6840 ,220 ,830 ,1320 ,1020 ,1290 ,1700 ,580 ,120 ,460 ,4170 ,3000 ,480 ,190 ,500 ,1350 ,60 ,1290 ,1810 ,1770 ,1290 ,1110 ,380 
342,埼玉県,嵐山町,6820 ,50 ,200 ,470 ,1070 ,1830 ,2890 ,1020 ,280 ,740 ,2870 ,1540 ,330 ,130 ,880 ,2420 ,0 ,2420 ,2650 ,1590 ,1030 ,850 ,390 
343,埼玉県,小川町,11500 ,10 ,560 ,1260 ,1820 ,3230 ,4400 ,1360 ,160 ,1210 ,5890 ,4360 ,410 ,110 ,1000 ,3680 ,0 ,3680 ,3930 ,3050 ,1690 ,1940 ,710 
346,埼玉県,川島町,7310 ,40 ,250 ,940 ,940 ,2230 ,2880 ,1400 ,380 ,1010 ,3410 ,2060 ,550 ,150 ,650 ,1880 ,0 ,1880 ,2490 ,2020 ,1160 ,1090 ,520 
347,埼玉県,吉見町,6560 ,20 ,290 ,690 ,1010 ,2180 ,2280 ,1180 ,550 ,630 ,3630 ,2380 ,380 ,90 ,770 ,1290 ,0 ,1290 ,1660 ,2210 ,1050 ,1010 ,450 
348,埼玉県,鳩山町,5340 ,10 ,140 ,440 ,470 ,1620 ,2660 ,640 ,120 ,520 ,2450 ,1460 ,330 ,50 ,610 ,1910 ,10 ,1890 ,1760 ,1520 ,880 ,790 ,390 
385,埼玉県,上里町,10850 ,190 ,980 ,1520 ,1960 ,2790 ,3050 ,1440 ,420 ,1030 ,6310 ,4810 ,360 ,260 ,870 ,2330 ,0 ,2330 ,3520 ,3100 ,1940 ,1460 ,450 
408,埼玉県,寄居町,12700 ,150 ,650 ,1650 ,1850 ,2720 ,4470 ,1900 ,400 ,1500 ,5950 ,4510 ,270 ,180 ,1000 ,3370 ,0 ,3370 ,3960 ,4150 ,1830 ,1010 ,620 
442,埼玉県,宮代町,13280 ,1120 ,860 ,1710 ,1780 ,2580 ,5170 ,1470 ,330 ,1140 ,6540 ,4760 ,490 ,160 ,1120 ,5210 ,880 ,4320 ,5090 ,4210 ,1940 ,1320 ,670 
464,埼玉県,杉戸町,17060 ,200 ,800 ,2710 ,2800 ,3940 ,6500 ,1960 ,440 ,1520 ,8860 ,6430 ,490 ,200 ,1740 ,4880 ,80 ,4800 ,5750 ,4960 ,3330 ,1940 ,1020 
465,埼玉県,松伏町,10990 ,90 ,630 ,1700 ,1750 ,2320 ,3680 ,1760 ,180 ,1580 ,5250 ,3690 ,320 ,230 ,1010 ,2720 ,0 ,2720 ,3460 ,3010 ,1900 ,1350 ,450 
