ID,県,市区町村,普通世帯総数,25歳未満,25〜34歳,35〜44,45〜54,55〜64,65歳以上,自営業主,農林・漁業業主,商工・その他の業主,雇用者,会社・団体・公社又は個人に雇われている者,官公庁,労働者派遣事業所の派遣社員,パート・アルバイト・その他,無職,学生,その他,300万円未満,300〜500,500〜700,700〜1000,1000万円以上
201,大分県,大分市,198070 ,6550 ,16730 ,30900 ,26990 ,35580 ,56150 ,17640 ,1550 ,16080 ,91450 ,65260 ,8980 ,2390 ,14810 ,51050 ,4200 ,46850 ,72240 ,48510 ,27640 ,17340 ,7100 
202,大分県,別府市,59630 ,3580 ,3390 ,5810 ,8230 ,9690 ,23480 ,5110 ,300 ,4810 ,21940 ,13590 ,2250 ,870 ,5230 ,19970 ,1890 ,18080 ,32530 ,12740 ,4940 ,2480 ,1480 
203,大分県,中津市,33350 ,420 ,3400 ,4570 ,5380 ,6510 ,11850 ,4690 ,1350 ,3350 ,17060 ,12280 ,1280 ,680 ,2820 ,9620 ,20 ,9600 ,15540 ,9090 ,4160 ,2360 ,940 
204,大分県,日田市,25040 ,240 ,1740 ,2930 ,3990 ,6150 ,9470 ,4980 ,1590 ,3380 ,12020 ,8240 ,1100 ,250 ,2430 ,6900 ,40 ,6870 ,11970 ,7120 ,2940 ,1530 ,950 
205,大分県,佐伯市,28900 ,170 ,1530 ,2620 ,3780 ,6680 ,13130 ,4640 ,1620 ,3020 ,12030 ,8210 ,1230 ,340 ,2260 ,10810 ,10 ,10790 ,14820 ,7590 ,3140 ,1550 ,810 
206,大分県,臼杵市,14580 ,80 ,740 ,1420 ,1850 ,3530 ,6870 ,2250 ,830 ,1420 ,6340 ,4480 ,660 ,110 ,1090 ,5590 ,0 ,5590 ,6850 ,4200 ,1780 ,1090 ,530 
207,大分県,津久見市,7850 ,10 ,260 ,670 ,1020 ,1680 ,4140 ,1100 ,420 ,680 ,3040 ,2260 ,200 ,90 ,490 ,3550 ,20 ,3540 ,4060 ,2060 ,940 ,520 ,180 
208,大分県,竹田市,9120 ,90 ,490 ,650 ,990 ,2150 ,4610 ,2750 ,1830 ,920 ,3260 ,1930 ,670 ,30 ,640 ,2910 ,50 ,2860 ,4680 ,2340 ,1020 ,600 ,340 
209,大分県,豊後高田市,9240 ,80 ,510 ,1040 ,1220 ,1910 ,4480 ,1660 ,920 ,730 ,3880 ,2420 ,440 ,270 ,750 ,3450 ,0 ,3450 ,4980 ,2430 ,1010 ,550 ,200 
210,大分県,杵築市,11580 ,130 ,770 ,1280 ,1600 ,2390 ,5070 ,2760 ,1560 ,1200 ,4630 ,3180 ,500 ,110 ,830 ,3490 ,0 ,3490 ,5750 ,3130 ,1280 ,710 ,370 
211,大分県,宇佐市,21490 ,130 ,1280 ,2590 ,3350 ,4860 ,9260 ,3630 ,1880 ,1750 ,9440 ,6350 ,1140 ,270 ,1680 ,7590 ,10 ,7580 ,10870 ,5260 ,2870 ,1450 ,810 
212,大分県,豊後大野市,14560 ,160 ,660 ,1380 ,1830 ,3390 ,7140 ,3210 ,2020 ,1190 ,6140 ,3960 ,930 ,210 ,1040 ,5110 ,50 ,5060 ,7920 ,3660 ,1640 ,880 ,430 
213,大分県,由布市,13080 ,310 ,880 ,1340 ,1570 ,2980 ,5120 ,1900 ,810 ,1090 ,5370 ,3470 ,810 ,160 ,930 ,3470 ,70 ,3390 ,5810 ,3650 ,1560 ,710 ,440 
214,大分県,国東市,12200 ,150 ,580 ,1140 ,1790 ,2640 ,5820 ,2460 ,1510 ,950 ,4990 ,3250 ,680 ,100 ,950 ,4370 ,0 ,4370 ,7080 ,2710 ,1390 ,630 ,290 
341,大分県,日出町,10320 ,210 ,1060 ,1390 ,1260 ,2220 ,4190 ,1430 ,540 ,880 ,4960 ,3680 ,470 ,80 ,730 ,3510 ,0 ,3510 ,4860 ,2930 ,1350 ,770 ,310 
462,大分県,玖珠町,5810 ,40 ,210 ,440 ,990 ,1630 ,2490 ,1540 ,870 ,670 ,2780 ,1720 ,390 ,90 ,570 ,1480 ,0 ,1480 ,3030 ,1510 ,670 ,460 ,150 
