ID,県,市区町村,普通世帯総数,25歳未満,25〜34歳,35〜44,45〜54,55〜64,65歳以上,自営業主,農林・漁業業主,商工・その他の業主,雇用者,会社・団体・公社又は個人に雇われている者,官公庁,労働者派遣事業所の派遣社員,パート・アルバイト・その他,無職,学生,その他,300万円未満,300〜500,500〜700,700〜1000,1000万円以上
100,大阪府,大阪市,1344630 ,39050 ,156640 ,208910 ,203030 ,221930 ,413740 ,114170 ,740 ,113420 ,450880 ,305210 ,22070 ,20700 ,102890 ,267750 ,6190 ,261560 ,622930 ,327860 ,156150 ,89920 ,48510 
102,大阪府,都島区,51410 ,840 ,6300 ,8570 ,8540 ,9040 ,16130 ,4680 ,20 ,4660 ,18910 ,12300 ,1450 ,770 ,4400 ,10560 ,190 ,10370 ,23260 ,12910 ,6650 ,4170 ,2410 
103,大阪府,福島区,37540 ,730 ,5970 ,8610 ,5610 ,5130 ,9080 ,2700 ,10 ,2690 ,13170 ,9820 ,600 ,430 ,2320 ,4620 ,60 ,4550 ,13130 ,9990 ,5550 ,4290 ,2410 
104,大阪府,此花区,30050 ,440 ,2580 ,4310 ,5240 ,5990 ,9850 ,2130 ,10 ,2120 ,12050 ,8410 ,450 ,520 ,2670 ,7170 ,40 ,7130 ,14000 ,7960 ,3780 ,2080 ,700 
106,大阪府,西区,50600 ,2860 ,10130 ,9370 ,7320 ,7070 ,8990 ,3340 ,20 ,3320 ,12980 ,9570 ,400 ,710 ,2300 ,4640 ,340 ,4300 ,16530 ,16140 ,6630 ,4950 ,1790 
107,大阪府,港区,39830 ,740 ,4590 ,5920 ,6850 ,7090 ,13740 ,3710 ,20 ,3690 ,17980 ,11940 ,860 ,990 ,4180 ,10500 ,160 ,10350 ,20150 ,10860 ,4210 ,2510 ,1260 
108,大阪府,大正区,30050 ,370 ,1730 ,3490 ,4040 ,5640 ,11280 ,2740 ,20 ,2710 ,10950 ,7050 ,420 ,680 ,2800 ,6710 ,40 ,6660 ,14460 ,7240 ,3220 ,1310 ,610 
109,大阪府,天王寺区,37410 ,1340 ,5880 ,6270 ,6600 ,5570 ,8690 ,3610 ,30 ,3580 ,12190 ,9240 ,660 ,390 ,1890 ,5080 ,180 ,4900 ,13170 ,8840 ,5320 ,3520 ,3670 
111,大阪府,浪速区,44330 ,2660 ,8590 ,7710 ,4510 ,5640 ,8200 ,2020 ,0 ,2020 ,7640 ,4580 ,240 ,540 ,2290 ,4070 ,460 ,3610 ,22230 ,9220 ,2640 ,1490 ,960 
113,大阪府,西淀川区,43580 ,740 ,3970 ,6100 ,6690 ,7620 ,13540 ,2970 ,30 ,2940 ,14800 ,10740 ,410 ,660 ,2990 ,7930 ,60 ,7870 ,17740 ,11840 ,5780 ,2560 ,1130 
114,大阪府,東淀川区,93520 ,5570 ,12620 ,13620 ,12100 ,14190 ,25370 ,6340 ,70 ,6270 ,30980 ,19260 ,2010 ,2040 ,7660 ,19980 ,950 ,19030 ,47210 ,21830 ,8480 ,4760 ,1990 
115,大阪府,東成区,40540 ,950 ,4540 ,6340 ,6340 ,6370 ,13020 ,4420 ,30 ,4390 ,13250 ,9420 ,530 ,460 ,2850 ,6850 ,70 ,6780 ,19350 ,10780 ,4290 ,2140 ,1280 
116,大阪府,生野区,61550 ,1380 ,5240 ,7970 ,8640 ,10630 ,23810 ,8870 ,40 ,8830 ,21050 ,12960 ,510 ,1070 ,6520 ,16820 ,440 ,16380 ,35900 ,12440 ,5330 ,2590 ,1250 
117,大阪府,旭区,44270 ,1000 ,3940 ,5910 ,6150 ,8390 ,15460 ,4020 ,10 ,4010 ,13750 ,9160 ,720 ,860 ,3000 ,10350 ,400 ,9950 ,22270 ,10010 ,4840 ,2620 ,1360 
118,大阪府,城東区,76870 ,1120 ,8000 ,12390 ,12600 ,14500 ,23660 ,5990 ,0 ,5990 ,28690 ,20300 ,1620 ,1070 ,5690 ,15330 ,120 ,15220 ,33900 ,18940 ,10630 ,6310 ,3100 
119,大阪府,阿倍野区,51310 ,1180 ,4260 ,7640 ,8150 ,9720 ,18600 ,6190 ,0 ,6190 ,20700 ,14550 ,1990 ,540 ,3620 ,12460 ,350 ,12110 ,21340 ,11680 ,7290 ,5200 ,4260 
120,大阪府,住吉区,72440 ,1890 ,4770 ,10230 ,11400 ,12170 ,27220 ,6850 ,60 ,6800 ,23180 ,15190 ,1230 ,1110 ,5660 ,17950 ,370 ,17580 ,37930 ,15420 ,7500 ,4450 ,2790 
121,大阪府,東住吉区,59260 ,1160 ,5930 ,8060 ,9020 ,9710 ,21350 ,6180 ,30 ,6150 ,20150 ,13310 ,1410 ,900 ,4540 ,14430 ,270 ,14160 ,28190 ,14860 ,6610 ,3630 ,2400 
122,大阪府,西成区,70620 ,730 ,4130 ,5860 ,7790 ,13660 ,27520 ,5180 ,80 ,5100 ,16650 ,8980 ,390 ,1090 ,6180 ,19390 ,210 ,19170 ,45900 ,10100 ,3080 ,1950 ,620 
