ID,県,市区町村,普通世帯総数,25歳未満,25〜34歳,35〜44,45〜54,55〜64,65歳以上,自営業主,農林・漁業業主,商工・その他の業主,雇用者,会社・団体・公社又は個人に雇われている者,官公庁,労働者派遣事業所の派遣社員,パート・アルバイト・その他,無職,学生,その他,300万円未満,300〜500,500〜700,700〜1000,1000万円以上
201,奈良県,奈良市,148760 ,4710 ,8730 ,19480 ,23850 ,27130 ,54520 ,12550 ,1080 ,11470 ,62240 ,44410 ,5440 ,1380 ,11010 ,43610 ,2360 ,41250 ,51300 ,39240 ,22400 ,16340 ,10000 
202,奈良県,大和高田市,25270 ,240 ,1460 ,3280 ,4820 ,5400 ,9980 ,3210 ,240 ,2980 ,12820 ,8490 ,780 ,630 ,2930 ,8940 ,0 ,8940 ,11730 ,6640 ,3720 ,2220 ,930 
203,奈良県,大和郡山市,34460 ,400 ,2380 ,4680 ,5090 ,7230 ,13070 ,3310 ,610 ,2700 ,15430 ,10900 ,1250 ,360 ,2920 ,11100 ,20 ,11080 ,12880 ,9690 ,5310 ,3350 ,1630 
204,奈良県,天理市,23750 ,1150 ,2020 ,3430 ,3530 ,4630 ,7730 ,2720 ,760 ,1950 ,9970 ,7180 ,710 ,340 ,1740 ,5920 ,240 ,5680 ,10450 ,6690 ,2900 ,1660 ,800 
205,奈良県,橿原市,50620 ,880 ,4630 ,7490 ,6980 ,10760 ,17170 ,4270 ,170 ,4100 ,20680 ,14170 ,2410 ,490 ,3620 ,12110 ,220 ,11890 ,18490 ,14490 ,8200 ,4590 ,2350 
206,奈良県,桜井市,21690 ,200 ,1330 ,3140 ,3420 ,4790 ,7850 ,2710 ,330 ,2390 ,9910 ,6580 ,840 ,280 ,2200 ,6360 ,20 ,6340 ,9180 ,5870 ,3090 ,1740 ,920 
207,奈良県,五條市,11270 ,20 ,360 ,980 ,1850 ,2940 ,5120 ,2570 ,820 ,1750 ,4820 ,3000 ,490 ,140 ,1180 ,3880 ,0 ,3880 ,5080 ,3040 ,1560 ,1060 ,520 
208,奈良県,御所市,10160 ,20 ,220 ,790 ,1550 ,2190 ,4790 ,1560 ,290 ,1270 ,3990 ,2580 ,400 ,100 ,910 ,3870 ,0 ,3870 ,4820 ,2200 ,1300 ,790 ,480 
209,奈良県,生駒市,45970 ,570 ,3150 ,7600 ,7710 ,9180 ,16370 ,3830 ,260 ,3580 ,22030 ,17290 ,1910 ,390 ,2440 ,11790 ,130 ,11660 ,10810 ,12350 ,9280 ,7570 ,4560 
210,奈良県,香芝市,27730 ,260 ,2150 ,5640 ,4640 ,4740 ,7360 ,2450 ,40 ,2410 ,14330 ,10550 ,1440 ,300 ,2050 ,6160 ,100 ,6060 ,7120 ,6450 ,5230 ,3640 ,1880 
211,奈良県,葛城市,12030 ,20 ,820 ,1960 ,1970 ,2750 ,4030 ,1670 ,250 ,1420 ,6260 ,4290 ,640 ,140 ,1200 ,3260 ,0 ,3260 ,4350 ,3420 ,1860 ,1320 ,600 
212,奈良県,宇陀市,11790 ,40 ,330 ,980 ,1740 ,3130 ,5560 ,2330 ,770 ,1560 ,4790 ,2980 ,650 ,120 ,1030 ,4650 ,10 ,4640 ,5410 ,3110 ,1760 ,1010 ,500 
342,奈良県,平群町,7200 ,0 ,40 ,810 ,990 ,1290 ,3620 ,650 ,140 ,510 ,2560 ,1730 ,270 ,70 ,480 ,2890 ,0 ,2890 ,2370 ,2250 ,990 ,770 ,370 
343,奈良県,三郷町,9400 ,90 ,1370 ,1670 ,1180 ,1250 ,3720 ,610 ,10 ,600 ,4950 ,3530 ,500 ,100 ,820 ,3060 ,0 ,3060 ,2720 ,3200 ,1880 ,920 ,550 
344,奈良県,斑鳩町,10910 ,60 ,800 ,1740 ,1820 ,2130 ,4230 ,970 ,140 ,830 ,5390 ,3860 ,380 ,160 ,980 ,3580 ,0 ,3580 ,4160 ,3200 ,1840 ,1120 ,510 
363,奈良県,田原本町,11250 ,90 ,600 ,2320 ,1590 ,2190 ,4000 ,1180 ,190 ,990 ,6020 ,4420 ,550 ,150 ,910 ,3150 ,0 ,3150 ,3920 ,3320 ,1970 ,1000 ,600 
424,奈良県,上牧町,8720 ,30 ,590 ,880 ,1270 ,2100 ,3090 ,490 ,10 ,480 ,3030 ,2210 ,260 ,60 ,500 ,1670 ,0 ,1670 ,3140 ,2210 ,1510 ,810 ,290 
425,奈良県,王寺町,8410 ,50 ,650 ,1370 ,1050 ,2170 ,3120 ,820 ,10 ,800 ,4420 ,3190 ,490 ,130 ,610 ,2790 ,0 ,2790 ,2380 ,2440 ,1590 ,1290 ,670 
426,奈良県,広陵町,11250 ,150 ,430 ,1350 ,2300 ,2600 ,4190 ,1380 ,110 ,1270 ,5760 ,3710 ,690 ,90 ,1270 ,2900 ,0 ,2900 ,3380 ,2720 ,2120 ,1520 ,1300 
427,奈良県,河合町,6870 ,50 ,150 ,680 ,890 ,1390 ,3360 ,900 ,60 ,830 ,2630 ,1870 ,190 ,60 ,520 ,2750 ,20 ,2730 ,2320 ,1840 ,1180 ,750 ,420 
442,奈良県,大淀町,6670 ,30 ,290 ,870 ,1040 ,1700 ,2610 ,850 ,110 ,750 ,3150 ,1910 ,430 ,100 ,710 ,2180 ,0 ,2180 ,2830 ,1970 ,950 ,640 ,150 
