ID,県,市町村区,普通世帯総数,25歳未満,25〜34歳,35〜44歳,45〜54歳,55〜64歳,65歳以上,自営業主,農林・漁業業主,商工・その他の業主,雇用者,会社・団体・公社又は個人に雇われている者,官公庁,労働者派遣事業所の派遣社員,パート・アルバイト・その他,無職,学生,その他,300万円未満,300〜500万円,500〜700万円,700〜1000万円,1000万円以上
100,宮城県,仙台市,504690 ,30940 ,49510 ,73540 ,75080 ,77160 ,110300 ,35400 ,1870 ,33540 ,229540 ,161930 ,20810 ,8090 ,38710 ,111950 ,17730 ,94220 ,165230 ,117220 ,65680 ,45720 ,23730 
101,宮城県,青葉区,165740 ,18440 ,17190 ,19800 ,21060 ,20840 ,31600 ,9940 ,140 ,9800 ,65190 ,44310 ,7770 ,2430 ,10690 ,38990 ,12420 ,26570 ,58320 ,31330 ,18280 ,13370 ,8250 
102,宮城県,宮城野区,86840 ,3510 ,13160 ,16650 ,15870 ,15650 ,18060 ,6620 ,440 ,6180 ,43430 ,30310 ,3960 ,1530 ,7630 ,14660 ,760 ,13900 ,32520 ,24690 ,13910 ,8960 ,2790 
103,宮城県,若林区,60250 ,2020 ,5750 ,10010 ,9440 ,8960 ,12970 ,4340 ,490 ,3850 ,28770 ,20680 ,2210 ,1000 ,4880 ,11230 ,680 ,10550 ,19570 ,15080 ,7410 ,4480 ,2800 
104,宮城県,太白区,102040 ,3750 ,7010 ,13280 ,14600 ,15670 ,25180 ,7640 ,540 ,7090 ,45960 ,32710 ,3110 ,1850 ,8290 ,25690 ,2470 ,23220 ,30490 ,23270 ,13430 ,8110 ,4390 
105,宮城県,泉区,89820 ,3220 ,6400 ,13810 ,14110 ,16040 ,22480 ,6870 ,260 ,6610 ,46180 ,33920 ,3760 ,1290 ,7220 ,21380 ,1400 ,19980 ,24330 ,22850 ,12650 ,10800 ,5500 
202,宮城県,石巻市,54070 ,590 ,3990 ,6800 ,8740 ,13430 ,19210 ,8310 ,3270 ,5040 ,26530 ,18720 ,2110 ,1150 ,4550 ,15270 ,130 ,15140 ,24290 ,15000 ,7420 ,4220 ,1920 
203,宮城県,塩竃市,20780 ,170 ,1290 ,2460 ,3210 ,4720 ,8370 ,2270 ,110 ,2160 ,10180 ,6810 ,910 ,330 ,2120 ,7040 ,10 ,7030 ,8900 ,5800 ,3000 ,1730 ,770 
205,宮城県,気仙沼市,23600 ,260 ,870 ,2320 ,4030 ,6240 ,9090 ,3480 ,1280 ,2190 ,11240 ,7130 ,1200 ,310 ,2610 ,6760 ,0 ,6760 ,11030 ,6200 ,3470 ,1840 ,540 
206,宮城県,白石市,12710 ,170 ,720 ,1480 ,2050 ,3440 ,4640 ,1840 ,570 ,1270 ,6510 ,4460 ,600 ,230 ,1210 ,3810 ,0 ,3810 ,5280 ,3750 ,1930 ,1040 ,620 
