ID,県,市区町村,普通世帯総数,25歳未満,25〜34歳,35〜44,45〜54,55〜64,65歳以上,自営業主,農林・漁業業主,商工・その他の業主,雇用者,会社・団体・公社又は個人に雇われている者,官公庁,労働者派遣事業所の派遣社員,パート・アルバイト・その他,無職,学生,その他,300万円未満,300〜500,500〜700,700〜1000,1000万円以上
201,宮崎県,宮崎市,173200 ,6020 ,15380 ,28260 ,25770 ,33570 ,53890 ,20370 ,3670 ,16700 ,78900 ,51510 ,9210 ,2460 ,15710 ,45550 ,2250 ,43290 ,79770 ,44260 ,20560 ,13160 ,5430 
202,宮崎県,都城市,70190 ,1670 ,6070 ,8950 ,10290 ,16050 ,25960 ,10160 ,3260 ,6890 ,31710 ,22340 ,2990 ,1010 ,5370 ,21040 ,220 ,20830 ,39560 ,17710 ,6720 ,3690 ,1370 
203,宮崎県,延岡市,51700 ,1040 ,3530 ,6430 ,7510 ,11130 ,19790 ,7350 ,1830 ,5520 ,23200 ,16200 ,1830 ,670 ,4510 ,17090 ,510 ,16580 ,26570 ,13170 ,5610 ,2770 ,1400 
204,宮崎県,日南市,22010 ,300 ,1210 ,2250 ,2850 ,4830 ,10100 ,3090 ,1140 ,1950 ,9490 ,6540 ,870 ,300 ,1790 ,8870 ,30 ,8840 ,11990 ,5240 ,2430 ,1250 ,640 
205,宮崎県,小林市,19640 ,240 ,1330 ,1960 ,2770 ,4490 ,8390 ,4380 ,2480 ,1900 ,8110 ,5340 ,1100 ,180 ,1480 ,5660 ,0 ,5660 ,10840 ,4800 ,2010 ,1000 ,580 
206,宮崎県,日向市,24750 ,240 ,1790 ,3400 ,3600 ,5850 ,9140 ,3380 ,910 ,2480 ,12280 ,8720 ,720 ,420 ,2420 ,7160 ,0 ,7160 ,12150 ,6650 ,3100 ,1480 ,670 
207,宮崎県,串間市,7960 ,0 ,430 ,500 ,1020 ,1980 ,3930 ,2040 ,1340 ,700 ,2690 ,1620 ,410 ,60 ,590 ,3070 ,0 ,3070 ,4870 ,1820 ,620 ,340 ,230 
208,宮崎県,西都市,11940 ,210 ,740 ,1370 ,1740 ,2950 ,4750 ,2850 ,1580 ,1280 ,4830 ,2990 ,520 ,230 ,1100 ,3160 ,40 ,3130 ,6380 ,3090 ,1310 ,650 ,390 
209,宮崎県,えびの市,8760 ,40 ,410 ,690 ,1060 ,2090 ,4410 ,2240 ,1400 ,830 ,3130 ,1890 ,430 ,120 ,690 ,3310 ,0 ,3310 ,5610 ,1910 ,740 ,340 ,90 
341,宮崎県,三股町,9990 ,20 ,660 ,1270 ,1650 ,2670 ,3490 ,1470 ,490 ,990 ,4900 ,3520 ,470 ,150 ,760 ,3120 ,20 ,3100 ,5090 ,2510 ,1220 ,730 ,240 
382,宮崎県,国富町,7610 ,30 ,360 ,940 ,980 ,1940 ,3160 ,1970 ,1040 ,930 ,3220 ,1960 ,380 ,130 ,750 ,2160 ,0 ,2160 ,3960 ,1770 ,850 ,540 ,290 
401,宮崎県,高鍋町,8500 ,210 ,590 ,1360 ,1140 ,1930 ,3180 ,1650 ,560 ,1090 ,3990 ,2280 ,540 ,180 ,980 ,2570 ,0 ,2570 ,4430 ,2190 ,1230 ,360 ,210 
402,宮崎県,新富町,6420 ,0 ,650 ,920 ,860 ,1310 ,2680 ,1430 ,890 ,540 ,3350 ,1790 ,790 ,100 ,660 ,1540 ,0 ,1540 ,2870 ,2010 ,840 ,570 ,140 
405,宮崎県,川南町,5870 ,50 ,300 ,730 ,830 ,1710 ,2250 ,1650 ,1290 ,360 ,2650 ,1830 ,100 ,180 ,550 ,1430 ,0 ,1430 ,3100 ,1490 ,730 ,290 ,240 
421,宮崎県,門川町,7160 ,60 ,520 ,790 ,1190 ,1730 ,2870 ,1180 ,430 ,750 ,3320 ,2160 ,390 ,160 ,600 ,2450 ,0 ,2450 ,3880 ,1670 ,880 ,430 ,200 
