ID,県,市区町村,普通世帯総数,25歳未満,25〜34歳,35〜44,45〜54,55〜64,65歳以上,自営業主,農林・漁業業主,商工・その他の業主,雇用者,会社・団体・公社又は個人に雇われている者,官公庁,労働者派遣事業所の派遣社員,パート・アルバイト・その他,無職,学生,その他,300万円未満,300〜500,500〜700,700〜1000,1000万円以上
201,富山県,富山市,160910 ,6480 ,12620 ,23720 ,24650 ,31400 ,53040 ,14820 ,2280 ,12540 ,81290 ,58970 ,6600 ,2300 ,13420 ,41140 ,4180 ,36960 ,50200 ,42940 ,29550 ,19120 ,10730 
202,富山県,高岡市,61990 ,570 ,4010 ,9270 ,9410 ,12040 ,23710 ,8050 ,1130 ,6920 ,30930 ,23130 ,2140 ,890 ,4760 ,16350 ,120 ,16230 ,19360 ,18000 ,10390 ,6970 ,4390 
204,富山県,魚津市,16500 ,170 ,1020 ,2090 ,2490 ,3470 ,6330 ,1980 ,450 ,1530 ,8780 ,6500 ,480 ,410 ,1390 ,4450 ,30 ,4420 ,5290 ,4370 ,2890 ,1900 ,1130 
205,富山県,氷見市,15790 ,120 ,550 ,1870 ,2410 ,4000 ,6800 ,2240 ,680 ,1560 ,8240 ,6050 ,830 ,130 ,1240 ,4650 ,10 ,4640 ,4990 ,4500 ,2990 ,2230 ,990 
206,富山県,滑川市,10980 ,60 ,810 ,1640 ,2080 ,2180 ,4200 ,1510 ,500 ,1000 ,6120 ,4590 ,570 ,230 ,730 ,2860 ,0 ,2860 ,2870 ,3360 ,2240 ,1580 ,880 
207,富山県,黒部市,14220 ,120 ,970 ,1880 ,2470 ,3010 ,5660 ,1400 ,380 ,1020 ,7990 ,5580 ,670 ,450 ,1300 ,3910 ,0 ,3910 ,4240 ,4150 ,2550 ,1830 ,1120 
208,富山県,砺波市,15200 ,60 ,990 ,2500 ,2760 ,3640 ,5000 ,2340 ,660 ,1680 ,9360 ,6880 ,770 ,230 ,1480 ,3030 ,10 ,3020 ,3630 ,4430 ,3070 ,2500 ,1310 
209,富山県,小矢部市,8470 ,30 ,310 ,900 ,1350 ,2440 ,3410 ,1520 ,340 ,1180 ,4620 ,3360 ,320 ,160 ,790 ,2190 ,0 ,2190 ,2190 ,2230 ,1740 ,1300 ,990 
210,富山県,南砺市,16400 ,90 ,750 ,1460 ,2270 ,4250 ,7500 ,3290 ,1220 ,2070 ,7720 ,5490 ,730 ,180 ,1320 ,4730 ,0 ,4720 ,5000 ,4850 ,3100 ,1980 ,1400 
211,富山県,射水市,31080 ,710 ,2260 ,4520 ,4800 ,6360 ,10720 ,3450 ,430 ,3030 ,17050 ,12360 ,1150 ,530 ,3010 ,7930 ,500 ,7430 ,9160 ,9070 ,5530 ,3690 ,1920 
322,富山県,上市町,7150 ,0 ,140 ,1070 ,940 ,1930 ,3060 ,880 ,390 ,490 ,4020 ,2710 ,440 ,70 ,800 ,2250 ,0 ,2250 ,2130 ,2070 ,1350 ,1020 ,600 
323,富山県,立山町,8500 ,0 ,570 ,2060 ,1470 ,1870 ,2540 ,1380 ,650 ,730 ,5640 ,4490 ,300 ,70 ,770 ,1490 ,0 ,1490 ,2440 ,2360 ,2010 ,1180 ,510 
342,富山県,入善町,8140 ,30 ,320 ,830 ,1250 ,2250 ,3450 ,1300 ,520 ,780 ,4590 ,3160 ,450 ,170 ,810 ,2250 ,0 ,2250 ,1830 ,2340 ,1820 ,1320 ,840 
