ID,県,市区町村,普通世帯総数,25歳未満,25〜34歳,35〜44,45〜54,55〜64,65歳以上,自営業主,農林・漁業業主,商工・その他の業主,雇用者,会社・団体・公社又は個人に雇われている者,官公庁,労働者派遣事業所の派遣社員,パート・アルバイト・その他,無職,学生,その他,300万円未満,300〜500,500〜700,700〜1000,1000万円以上
201,山口県,下関市,117090 ,3770 ,8380 ,15040 ,15740 ,22770 ,47220 ,12850 ,3320 ,9530 ,53550 ,36910 ,4300 ,1130 ,11220 ,37520 ,1420 ,36090 ,50040 ,32260 ,15050 ,10560 ,4230 
202,山口県,宇部市,71130 ,3140 ,3180 ,8910 ,9100 ,12800 ,26680 ,6740 ,1210 ,5540 ,29450 ,21010 ,2210 ,710 ,5520 ,23540 ,2470 ,21070 ,28000 ,17960 ,8710 ,5730 ,3300 
203,山口県,山口市,82280 ,6520 ,6970 ,12070 ,12420 ,13890 ,25360 ,7610 ,2340 ,5260 ,40910 ,26910 ,6020 ,810 ,7170 ,24190 ,4040 ,20150 ,31530 ,20970 ,12750 ,8140 ,3760 
204,山口県,萩市,21380 ,360 ,1000 ,2020 ,2430 ,5050 ,10240 ,4190 ,1880 ,2310 ,8890 ,5740 ,1090 ,160 ,1900 ,7150 ,80 ,7080 ,10840 ,5370 ,2580 ,1310 ,860 
206,山口県,防府市,46520 ,1030 ,3590 ,6890 ,7770 ,8640 ,17330 ,4120 ,850 ,3270 ,23480 ,15770 ,2230 ,750 ,4720 ,12500 ,20 ,12480 ,17310 ,13850 ,7220 ,4660 ,2030 
207,山口県,下松市,23200 ,750 ,1880 ,3630 ,3250 ,4040 ,8430 ,1960 ,190 ,1780 ,11390 ,8670 ,1010 ,190 ,1520 ,7280 ,30 ,7250 ,7820 ,6720 ,3810 ,2420 ,1210 
208,山口県,岩国市,56960 ,760 ,3930 ,7410 ,7920 ,10320 ,24990 ,6140 ,1450 ,4690 ,25240 ,17120 ,2910 ,650 ,4560 ,18280 ,20 ,18270 ,23220 ,16200 ,8820 ,5050 ,1930 
210,山口県,光市,20750 ,360 ,1210 ,2850 ,2870 ,3910 ,8950 ,1950 ,350 ,1600 ,9570 ,7130 ,730 ,270 ,1450 ,7270 ,30 ,7240 ,7570 ,6570 ,3020 ,2020 ,980 
211,山口県,長門市,13880 ,130 ,630 ,1360 ,1730 ,3280 ,6520 ,2830 ,1420 ,1410 ,6010 ,3860 ,720 ,80 ,1350 ,4620 ,10 ,4610 ,6810 ,3600 ,1660 ,1110 ,470 
212,山口県,柳井市,14610 ,160 ,920 ,1610 ,1950 ,2700 ,6900 ,2110 ,820 ,1290 ,6480 ,4220 ,770 ,170 ,1330 ,5130 ,10 ,5120 ,6880 ,3580 ,2050 ,1230 ,480 
213,山口県,美祢市,10210 ,100 ,560 ,860 ,1200 ,2440 ,4920 ,1750 ,990 ,760 ,4960 ,3100 ,610 ,120 ,1120 ,3290 ,0 ,3290 ,4320 ,2860 ,1560 ,950 ,380 
215,山口県,周南市,61540 ,1050 ,4720 ,9160 ,9020 ,11180 ,23970 ,6500 ,1140 ,5360 ,28870 ,22260 ,1490 ,940 ,4170 ,17750 ,250 ,17500 ,24010 ,17670 ,8680 ,5990 ,2800 
216,山口県,山陽小野田市,25870 ,660 ,2030 ,2970 ,3280 ,5300 ,10750 ,2030 ,420 ,1610 ,11510 ,8450 ,810 ,250 ,2000 ,8940 ,90 ,8850 ,10520 ,7640 ,3590 ,2360 ,840 
305,山口県,周防大島町,8270 ,60 ,230 ,480 ,700 ,1480 ,5120 ,1590 ,930 ,660 ,2260 ,1250 ,410 ,10 ,590 ,4190 ,0 ,4190 ,5020 ,1810 ,560 ,520 ,180 
343,山口県,田布施町,6560 ,0 ,560 ,620 ,880 ,1190 ,3270 ,1190 ,460 ,740 ,2640 ,2030 ,270 ,30 ,310 ,2400 ,0 ,2400 ,2650 ,2030 ,990 ,650 ,190 
