ID,県,市町村区,普通世帯総数,25歳未満,25〜34歳,35〜44歳,45〜54歳,55〜64歳,65歳以上,自営業主,農林・漁業業主,商工・その他の業主,雇用者,会社・団体・公社又は個人に雇われている者,官公庁,労働者派遣事業所の派遣社員,パート・アルバイト・その他,無職,学生,その他,300万円未満,300〜500万円,500〜700万円,700〜1000万円,1000万円以上
201,山形県,山形市,99500 ,5390 ,8340 ,13870 ,15140 ,19720 ,29920 ,10430 ,1900 ,8530 ,47890 ,32500 ,6270 ,1060 ,8060 ,24770 ,2510 ,22260 ,34220 ,26850 ,16130 ,10180 ,5340 
202,山形県,米沢市,32730 ,1940 ,2030 ,4270 ,5420 ,6500 ,9260 ,3690 ,670 ,3020 ,15670 ,11320 ,1190 ,450 ,2710 ,9240 ,1760 ,7470 ,12000 ,8640 ,4270 ,2970 ,1620 
203,山形県,鶴岡市,41340 ,510 ,1940 ,4370 ,7150 ,10730 ,15180 ,7660 ,2940 ,4720 ,20400 ,14550 ,1920 ,620 ,3310 ,11750 ,310 ,11440 ,15110 ,11870 ,6460 ,3930 ,2530 
204,山形県,酒田市,37720 ,440 ,1900 ,4910 ,6500 ,9660 ,13550 ,6690 ,2670 ,4020 ,19970 ,14560 ,1390 ,610 ,3410 ,10110 ,120 ,9980 ,15220 ,11090 ,5630 ,3420 ,1610 
205,山形県,新庄市,12210 ,150 ,680 ,1400 ,2270 ,3260 ,4050 ,2400 ,860 ,1530 ,6090 ,4130 ,790 ,200 ,970 ,2910 ,0 ,2910 ,4870 ,3410 ,1750 ,1060 ,690 
206,山形県,寒河江市,12780 ,120 ,1080 ,1420 ,2280 ,3410 ,4460 ,2470 ,1000 ,1470 ,6690 ,4410 ,1000 ,200 ,1080 ,2990 ,0 ,2990 ,4070 ,4120 ,2240 ,1470 ,740 
207,山形県,上山市,10710 ,120 ,510 ,1120 ,1730 ,2800 ,4310 ,1990 ,730 ,1270 ,5340 ,3680 ,450 ,140 ,1070 ,3150 ,0 ,3150 ,4140 ,3100 ,1680 ,1050 ,610 
208,山形県,村山市,7610 ,80 ,220 ,740 ,1270 ,2180 ,3110 ,1980 ,960 ,1020 ,3550 ,2420 ,480 ,90 ,560 ,1970 ,0 ,1970 ,2810 ,2200 ,1210 ,920 ,470 
209,山形県,長井市,9250 ,100 ,540 ,960 ,1710 ,2540 ,3370 ,1810 ,600 ,1210 ,4920 ,3450 ,520 ,150 ,800 ,2390 ,0 ,2390 ,3370 ,2430 ,1550 ,1130 ,730 
210,山形県,天童市,20450 ,310 ,1530 ,2960 ,3410 ,4820 ,6870 ,3800 ,1400 ,2400 ,11060 ,7450 ,1230 ,440 ,1930 ,4630 ,20 ,4610 ,7200 ,6320 ,3410 ,1860 ,1150 
211,山形県,東根市,14440 ,80 ,1590 ,2480 ,2800 ,3090 ,4140 ,2570 ,1340 ,1230 ,8280 ,5330 ,1620 ,240 ,1100 ,2450 ,0 ,2450 ,4490 ,4600 ,2820 ,1600 ,670 
212,山形県,尾花沢市,5080 ,30 ,190 ,540 ,840 ,1690 ,1770 ,1730 ,1030 ,690 ,2390 ,1670 ,290 ,100 ,330 ,880 ,10 ,870 ,1950 ,1590 ,750 ,470 ,290 
213,山形県,南陽市,10460 ,110 ,800 ,1220 ,1700 ,2850 ,3680 ,2330 ,790 ,1540 ,5080 ,3590 ,550 ,130 ,800 ,2510 ,10 ,2500 ,3860 ,3120 ,1620 ,1150 ,620 
301,山形県,山辺町,4500 ,0 ,140 ,550 ,860 ,1240 ,1710 ,800 ,120 ,680 ,2430 ,1730 ,260 ,30 ,420 ,1140 ,0 ,1140 ,1630 ,1000 ,1060 ,450 ,330 
321,山形県,河北町,5790 ,30 ,270 ,440 ,840 ,1880 ,2340 ,1500 ,600 ,890 ,2880 ,2000 ,390 ,110 ,380 ,1380 ,0 ,1380 ,1840 ,1710 ,1080 ,860 ,300 
381,山形県,高畠町,7090 ,120 ,430 ,860 ,1310 ,2250 ,2100 ,1830 ,950 ,870 ,3730 ,2640 ,340 ,110 ,630 ,1510 ,0 ,1510 ,2560 ,1970 ,1240 ,780 ,520 
382,山形県,川西町,4780 ,10 ,140 ,470 ,830 ,1710 ,1560 ,1180 ,660 ,530 ,2580 ,1790 ,330 ,90 ,360 ,920 ,0 ,920 ,1630 ,1320 ,920 ,620 ,230 
402,山形県,白鷹町,4630 ,0 ,170 ,310 ,820 ,1670 ,1620 ,1130 ,420 ,700 ,2420 ,1780 ,280 ,40 ,310 ,1070 ,0 ,1070 ,1670 ,1240 ,840 ,530 ,310 
428,山形県,庄内町,6410 ,0 ,160 ,630 ,1200 ,1870 ,2540 ,1530 ,850 ,680 ,3200 ,2400 ,310 ,100 ,390 ,1670 ,0 ,1670 ,1990 ,1930 ,1160 ,900 ,430 
461,山形県,遊佐町,4640 ,0 ,160 ,600 ,1090 ,1270 ,1520 ,910 ,410 ,500 ,2420 ,1640 ,180 ,60 ,550 ,1220 ,0 ,1220 ,2060 ,1020 ,800 ,480 ,270 
