ID,県,市区町村,普通世帯総数,25歳未満,25〜34歳,35〜44,45〜54,55〜64,65歳以上,自営業主,農林・漁業業主,商工・その他の業主,雇用者,会社・団体・公社又は個人に雇われている者,官公庁,労働者派遣事業所の派遣社員,パート・アルバイト・その他,無職,学生,その他,300万円未満,300〜500,500〜700,700〜1000,1000万円以上
201,山梨県,甲府市,84960 ,4290 ,5410 ,10970 ,13050 ,13400 ,26060 ,10290 ,950 ,9340 ,35990 ,23750 ,3870 ,900 ,7460 ,23520 ,3430 ,20090 ,33180 ,18840 ,10280 ,7050 ,3760 
202,山梨県,富士吉田市,17580 ,240 ,1210 ,2470 ,3300 ,3680 ,5630 ,3110 ,70 ,3040 ,9570 ,6290 ,790 ,480 ,2000 ,3840 ,20 ,3820 ,6650 ,4670 ,2810 ,1400 ,1040 
204,山梨県,都留市,13770 ,2120 ,720 ,1460 ,2270 ,2470 ,3720 ,1790 ,90 ,1700 ,5730 ,4040 ,570 ,120 ,1000 ,4450 ,1620 ,2830 ,5790 ,3440 ,1890 ,1080 ,610 
205,山梨県,山梨市,13220 ,70 ,660 ,2040 ,2500 ,2820 ,5000 ,3030 ,1790 ,1250 ,6870 ,4390 ,1000 ,190 ,1290 ,3130 ,10 ,3120 ,5140 ,3940 ,2070 ,1280 ,660 
206,山梨県,大月市,10120 ,420 ,360 ,830 ,1580 ,2650 ,4190 ,1270 ,50 ,1210 ,4800 ,3280 ,520 ,140 ,870 ,3750 ,240 ,3510 ,4580 ,2630 ,1400 ,990 ,450 
207,山梨県,韮崎市,11350 ,230 ,790 ,1820 ,1780 ,2830 ,3810 ,1960 ,790 ,1170 ,6230 ,4200 ,590 ,200 ,1250 ,2800 ,10 ,2780 ,4430 ,3240 ,1870 ,1200 ,520 
208,山梨県,南アルプス市,24770 ,170 ,1800 ,4470 ,4650 ,5790 ,7610 ,4870 ,2050 ,2830 ,14390 ,10390 ,1110 ,410 ,2480 ,4910 ,10 ,4900 ,8800 ,7150 ,4780 ,2680 ,1100 
209,山梨県,北杜市,18250 ,110 ,490 ,1520 ,2970 ,4540 ,8360 ,4720 ,1970 ,2740 ,7150 ,4590 ,720 ,150 ,1690 ,5550 ,10 ,5540 ,7770 ,5470 ,2320 ,1550 ,870 
210,山梨県,甲斐市,28870 ,430 ,3000 ,4960 ,4970 ,6040 ,8250 ,3780 ,480 ,3300 ,15050 ,10550 ,1130 ,490 ,2880 ,6090 ,20 ,6070 ,10540 ,9050 ,3890 ,2820 ,1380 
211,山梨県,笛吹市,24860 ,160 ,1160 ,3430 ,4740 ,5170 ,7960 ,6140 ,3070 ,3070 ,11920 ,8270 ,850 ,300 ,2500 ,4910 ,20 ,4890 ,8490 ,6940 ,4030 ,2120 ,1040 
212,山梨県,上野原市,9810 ,570 ,390 ,1200 ,1530 ,2510 ,3320 ,1120 ,60 ,1060 ,5160 ,3390 ,580 ,160 ,1030 ,3170 ,430 ,2740 ,3840 ,2300 ,1530 ,1260 ,600 
213,山梨県,甲州市,11390 ,30 ,370 ,1220 ,2000 ,2690 ,5080 ,3510 ,2170 ,1330 ,4650 ,3050 ,610 ,70 ,920 ,2830 ,0 ,2830 ,4620 ,3190 ,1790 ,1190 ,570 
214,山梨県,中央市,12720 ,640 ,1250 ,1960 ,2170 ,2770 ,3120 ,1820 ,610 ,1220 ,6190 ,4260 ,500 ,230 ,1190 ,2680 ,450 ,2230 ,4560 ,3470 ,1930 ,1090 ,770 
346,山梨県,市川三郷町,5630 ,10 ,80 ,860 ,940 ,1140 ,2590 ,880 ,190 ,700 ,2620 ,1790 ,320 ,50 ,470 ,2080 ,0 ,2080 ,2190 ,1630 ,670 ,870 ,260 
368,山梨県,富士川町,5990 ,0 ,420 ,660 ,780 ,1170 ,2840 ,970 ,180 ,790 ,2540 ,1600 ,240 ,90 ,620 ,2060 ,0 ,2060 ,2430 ,1750 ,760 ,690 ,260 
384,山梨県,昭和町,8890 ,310 ,1270 ,2140 ,1690 ,1570 ,1720 ,1250 ,190 ,1070 ,4570 ,3360 ,130 ,390 ,690 ,1290 ,10 ,1280 ,3380 ,2750 ,1160 ,550 ,700 
430,山梨県,富士河口湖町,9650 ,1070 ,880 ,1010 ,1710 ,2040 ,2500 ,1290 ,160 ,1130 ,4570 ,3150 ,350 ,140 ,940 ,1800 ,470 ,1330 ,3300 ,2880 ,1600 ,890 ,590 
