ID,県,市区町村,普通世帯総数,25歳未満,25〜34歳,35〜44,45〜54,55〜64,65歳以上,自営業主,農林・漁業業主,商工・その他の業主,雇用者,会社・団体・公社又は個人に雇われている者,官公庁,労働者派遣事業所の派遣社員,パート・アルバイト・その他,無職,学生,その他,300万円未満,300〜500,500〜700,700〜1000,1000万円以上
201,岐阜県,岐阜市,164720 ,5550 ,11990 ,24910 ,27890 ,27850 ,54810 ,20550 ,1660 ,18890 ,76970 ,53360 ,6880 ,2060 ,14670 ,42250 ,2900 ,39360 ,60640 ,41730 ,23130 ,16440 ,11470 
202,岐阜県,大垣市,60300 ,1690 ,6070 ,9270 ,10140 ,10840 ,18800 ,6280 ,660 ,5620 ,31420 ,23260 ,1970 ,1030 ,5160 ,14470 ,260 ,14210 ,19230 ,17530 ,10000 ,6500 ,3540 
203,岐阜県,高山市,31900 ,150 ,1890 ,5040 ,5850 ,6760 ,11570 ,6360 ,1530 ,4830 ,16910 ,11580 ,1770 ,320 ,3240 ,7580 ,30 ,7550 ,10320 ,10370 ,5420 ,3240 ,1930 
204,岐阜県,多治見市,41820 ,320 ,2720 ,5840 ,7910 ,9260 ,14180 ,4390 ,40 ,4350 ,23010 ,17620 ,1600 ,380 ,3410 ,11130 ,0 ,11130 ,12310 ,12000 ,7180 ,5410 ,3190 
205,岐阜県,関市,32620 ,2060 ,2220 ,4570 ,4940 ,7490 ,10430 ,4890 ,490 ,4400 ,17020 ,12110 ,1370 ,440 ,3100 ,9020 ,1410 ,7620 ,12800 ,9020 ,4770 ,3510 ,1560 
206,岐阜県,中津川市,27720 ,460 ,1910 ,3790 ,4330 ,5520 ,10840 ,3900 ,800 ,3100 ,13950 ,10140 ,1190 ,290 ,2340 ,8090 ,90 ,8000 ,9570 ,8290 ,4600 ,3050 ,1330 
207,岐阜県,美濃市,7200 ,40 ,290 ,870 ,1100 ,1940 ,2860 ,1290 ,130 ,1160 ,3700 ,2430 ,500 ,100 ,670 ,2040 ,0 ,2040 ,2500 ,1820 ,1500 ,810 ,450 
208,岐阜県,瑞浪市,13600 ,360 ,1200 ,1980 ,2220 ,2840 ,4880 ,1560 ,150 ,1410 ,7370 ,5220 ,640 ,250 ,1260 ,3850 ,100 ,3750 ,4720 ,4220 ,2390 ,1300 ,840 
209,岐阜県,羽島市,22560 ,110 ,1270 ,3640 ,4040 ,4980 ,7230 ,2730 ,410 ,2320 ,11820 ,8490 ,720 ,270 ,2340 ,4250 ,10 ,4240 ,6620 ,6700 ,4130 ,2660 ,1190 
210,岐阜県,恵那市,18430 ,200 ,1010 ,2070 ,2870 ,4460 ,7410 ,2930 ,750 ,2180 ,9530 ,6510 ,930 ,330 ,1750 ,5350 ,0 ,5350 ,6860 ,4890 ,2970 ,2290 ,1000 
211,岐阜県,美濃加茂市,20180 ,1470 ,2180 ,3280 ,3540 ,3840 ,5320 ,2620 ,480 ,2140 ,11690 ,8140 ,860 ,850 ,1840 ,4060 ,260 ,3800 ,7350 ,5730 ,3160 ,2280 ,1080 
212,岐阜県,土岐市,20910 ,160 ,1180 ,2580 ,3870 ,4220 ,8140 ,3090 ,40 ,3050 ,10920 ,7730 ,670 ,340 ,2180 ,5620 ,10 ,5610 ,7340 ,5740 ,3500 ,2450 ,1070 
213,岐阜県,各務原市,52990 ,560 ,5050 ,9430 ,9600 ,9400 ,17160 ,5310 ,320 ,4990 ,29640 ,21610 ,3020 ,890 ,4130 ,13490 ,130 ,13360 ,15420 ,15460 ,9710 ,6730 ,3970 
214,岐阜県,可児市,34960 ,340 ,3630 ,5920 ,6050 ,7200 ,10630 ,3400 ,340 ,3060 ,19120 ,13920 ,1130 ,850 ,3220 ,8640 ,30 ,8610 ,9310 ,11370 ,6730 ,4280 ,2130 
215,岐阜県,山県市,9700 ,130 ,450 ,1220 ,1390 ,2600 ,3810 ,1870 ,260 ,1610 ,4970 ,3170 ,510 ,100 ,1190 ,2570 ,60 ,2510 ,3820 ,2660 ,1470 ,1010 ,640 
216,岐阜県,瑞穂市,20310 ,1530 ,2970 ,3720 ,3320 ,3440 ,4360 ,2130 ,220 ,1910 ,10810 ,8230 ,830 ,230 ,1520 ,4170 ,900 ,3270 ,6470 ,5990 ,3780 ,2050 ,1050 
217,岐阜県,飛騨市,8430 ,50 ,340 ,960 ,1420 ,1970 ,3660 ,1350 ,380 ,960 ,4180 ,2860 ,450 ,70 ,800 ,2520 ,0 ,2520 ,2690 ,2410 ,1580 ,1130 ,540 
218,岐阜県,本巣市,11080 ,150 ,600 ,1930 ,1810 ,2380 ,3850 ,1830 ,680 ,1150 ,6220 ,4380 ,750 ,60 ,1030 ,2460 ,20 ,2450 ,2970 ,3600 ,2170 ,1270 ,710 
219,岐阜県,郡上市,13450 ,80 ,670 ,1550 ,2580 ,3480 ,5050 ,2650 ,700 ,1950 ,7490 ,5190 ,900 ,130 ,1260 ,3100 ,10 ,3100 ,4450 ,4030 ,2570 ,1590 ,770 
220,岐阜県,下呂市,11770 ,170 ,580 ,1290 ,1870 ,2760 ,4800 ,1760 ,320 ,1440 ,6280 ,4050 ,730 ,140 ,1370 ,3310 ,20 ,3300 ,4360 ,3100 ,2080 ,1290 ,660 
221,岐阜県,海津市,11280 ,100 ,510 ,1430 ,2120 ,3000 ,3910 ,2010 ,650 ,1360 ,6300 ,4520 ,530 ,130 ,1120 ,2420 ,0 ,2420 ,3170 ,3440 ,2240 ,1480 ,740 
302,岐阜県,岐南町,8880 ,60 ,920 ,1800 ,1270 ,1650 ,2990 ,1400 ,190 ,1210 ,4820 ,3440 ,350 ,110 ,920 ,2160 ,40 ,2110 ,3100 ,2360 ,1490 ,1070 ,710 
303,岐阜県,笠松町,8340 ,30 ,1120 ,1250 ,1020 ,1530 ,2930 ,1110 ,180 ,930 ,4000 ,2930 ,390 ,40 ,650 ,2170 ,0 ,2170 ,3110 ,2180 ,1170 ,880 ,570 
