ID,県,市区町村,普通世帯総数,25歳未満,25〜34歳,35〜44,45〜54,55〜64,65歳以上,自営業主,農林・漁業業主,商工・その他の業主,雇用者,会社・団体・公社又は個人に雇われている者,官公庁,労働者派遣事業所の派遣社員,パート・アルバイト・その他,無職,学生,その他,300万円未満,300〜500,500〜700,700〜1000,1000万円以上
100,岡山県,岡山市,294690 ,14380 ,29410 ,46500 ,43340 ,47760 ,86270 ,29790 ,5250 ,24540 ,131300 ,93690 ,12190 ,3680 ,21740 ,69990 ,6110 ,63880 ,102760 ,77140 ,44090 ,28280 ,16280 
101,岡山県,北区,136130 ,11720 ,15540 ,21170 ,18480 ,19330 ,37350 ,12840 ,2050 ,10800 ,56480 ,39360 ,6250 ,1680 ,9190 ,33050 ,5330 ,27730 ,52190 ,33200 ,18510 ,12360 ,8130 
102,岡山県,中区,59770 ,1840 ,6320 ,9920 ,8980 ,9610 ,15790 ,5490 ,530 ,4950 ,28290 ,20820 ,2030 ,1000 ,4430 ,13430 ,610 ,12820 ,19200 ,15300 ,8100 ,6260 ,3290 
103,岡山県,東区,36440 ,410 ,2600 ,5130 ,5690 ,6810 ,13740 ,4070 ,1280 ,2790 ,16630 ,11880 ,1600 ,420 ,2720 ,10000 ,110 ,9890 ,11470 ,11550 ,5920 ,3650 ,1730 
104,岡山県,南区,62340 ,410 ,4960 ,10280 ,10190 ,12000 ,19390 ,7390 ,1390 ,6000 ,29910 ,21630 ,2300 ,570 ,5400 ,13510 ,60 ,13440 ,19900 ,17090 ,11550 ,6010 ,3120 
202,岡山県,倉敷市,180650 ,5610 ,17110 ,28500 ,24380 ,34020 ,59300 ,16350 ,2540 ,13810 ,79230 ,60710 ,4780 ,1520 ,12220 ,42040 ,2130 ,39910 ,61040 ,55680 ,28730 ,16180 ,8580 
203,岡山県,津山市,41390 ,1060 ,3590 ,5490 ,5080 ,8280 ,13330 ,5310 ,1720 ,3590 ,18350 ,12820 ,1860 ,550 ,3120 ,10780 ,270 ,10520 ,15640 ,11200 ,5270 ,3170 ,1520 
204,岡山県,玉野市,24130 ,210 ,1380 ,2660 ,3160 ,5240 ,10880 ,2720 ,430 ,2290 ,11260 ,8190 ,940 ,130 ,1980 ,9150 ,30 ,9120 ,9600 ,6940 ,3690 ,2240 ,1020 
205,岡山県,笠岡市,17560 ,90 ,950 ,2040 ,2570 ,4130 ,7760 ,1960 ,440 ,1520 ,8080 ,5840 ,680 ,200 ,1360 ,6380 ,10 ,6370 ,7400 ,4740 ,2890 ,1510 ,880 
207,岡山県,井原市,14470 ,30 ,710 ,1700 ,2090 ,3260 ,6570 ,2270 ,780 ,1490 ,6720 ,4880 ,640 ,50 ,1150 ,4760 ,10 ,4750 ,5970 ,3930 ,2150 ,1350 ,900 
208,岡山県,総社市,23620 ,790 ,1790 ,3720 ,3490 ,4620 ,8300 ,2300 ,870 ,1430 ,12780 ,9180 ,1330 ,350 ,1910 ,7280 ,400 ,6890 ,7680 ,7360 ,4040 ,2340 ,1390 
209,岡山県,高梁市,12980 ,1140 ,600 ,950 ,1760 ,2710 ,5570 ,2620 ,1560 ,1060 ,5290 ,3530 ,570 ,180 ,1000 ,4880 ,1130 ,3750 ,6460 ,3060 ,1540 ,1050 ,640 
210,岡山県,新見市,11760 ,420 ,580 ,1150 ,1630 ,2790 ,5170 ,2390 ,1250 ,1140 ,5320 ,3860 ,600 ,80 ,770 ,4020 ,380 ,3640 ,5340 ,3060 ,1750 ,950 ,630 
211,岡山県,備前市,13010 ,50 ,500 ,1180 ,1930 ,2610 ,6340 ,1640 ,390 ,1250 ,5400 ,3790 ,430 ,120 ,1060 ,5300 ,10 ,5300 ,5470 ,3610 ,1590 ,1210 ,740 
212,岡山県,瀬戸内市,13790 ,10 ,680 ,1940 ,2040 ,2610 ,6220 ,2100 ,970 ,1130 ,5750 ,4100 ,580 ,150 ,920 ,4740 ,-,4740 ,5020 ,4480 ,2000 ,1410 ,660 
213,岡山県,赤磐市,16010 ,80 ,810 ,1920 ,2110 ,3680 ,6980 ,2260 ,950 ,1310 ,7460 ,5190 ,710 ,230 ,1330 ,5140 ,-,5140 ,6030 ,4780 ,2600 ,1430 ,810 
214,岡山県,真庭市,15870 ,80 ,750 ,1520 ,2430 ,3970 ,6940 ,3620 ,1750 ,1870 ,7500 ,5070 ,1010 ,130 ,1280 ,4500 ,10 ,4490 ,6460 ,4420 ,2490 ,1470 ,860 
215,岡山県,美作市,10670 ,60 ,600 ,1110 ,1360 ,2530 ,5000 ,1920 ,820 ,1100 ,4960 ,3170 ,540 ,110 ,1150 ,3790 ,-,3790 ,4970 ,3120 ,1210 ,900 ,470 
216,岡山県,浅口市,12300 ,110 ,580 ,1220 ,1620 ,2810 ,5930 ,1520 ,600 ,920 ,5770 ,3960 ,550 ,130 ,1130 ,4620 ,110 ,4510 ,4630 ,3610 ,2110 ,1360 ,520 
346,岡山県,和気町,5380 ,80 ,110 ,330 ,720 ,1200 ,2890 ,810 ,330 ,490 ,2170 ,1350 ,230 ,70 ,520 ,2100 ,-,2100 ,2070 ,1610 ,760 ,590 ,300 
461,岡山県,矢掛町,4750 ,10 ,180 ,580 ,700 ,1080 ,2160 ,860 ,360 ,500 ,2150 ,1480 ,180 ,80 ,420 ,1660 ,-,1660 ,2040 ,1290 ,700 ,530 ,160 
666,岡山県,美咲町,5240 ,-,40 ,350 ,720 ,1220 ,2910 ,1280 ,660 ,620 ,2140 ,1420 ,210 ,60 ,440 ,1820 ,-,1820 ,2240 ,1520 ,830 ,430 ,220 
