ID,県,市区町村,普通世帯総数,25歳未満,25〜34歳,35〜44,45〜54,55〜64,65歳以上,自営業主,農林・漁業業主,商工・その他の業主,雇用者,会社・団体・公社又は個人に雇われている者,官公庁,労働者派遣事業所の派遣社員,パート・アルバイト・その他,無職,学生,その他,300万円未満,300〜500,500〜700,700〜1000,1000万円以上
201,岩手県,盛岡市,123460 ,6520 ,12460 ,18360 ,20780 ,23070 ,33890 ,12020 ,2090 ,9930 ,65150 ,45090 ,7080 ,1440 ,11540 ,32000 ,3360 ,28640 ,48520 ,32290 ,16520 ,11920 ,5960 
202,岩手県,宮古市,22170 ,370 ,1050 ,2460 ,3300 ,5030 ,9850 ,3510 ,1260 ,2260 ,10300 ,6440 ,1450 ,430 ,1990 ,7830 ,20 ,7810 ,12020 ,5710 ,2430 ,1270 ,610 
203,岩手県,大船渡市,14020 ,160 ,790 ,1510 ,2400 ,3320 ,5570 ,2150 ,840 ,1300 ,7440 ,4520 ,1310 ,350 ,1270 ,4100 ,10 ,4090 ,5930 ,3710 ,2220 ,1230 ,680 
205,岩手県,花巻市,32190 ,830 ,1950 ,3870 ,5650 ,7630 ,11750 ,5400 ,3010 ,2390 ,17040 ,11860 ,1410 ,450 ,3330 ,8450 ,280 ,8170 ,12970 ,9530 ,4940 ,2980 ,1230 
206,岩手県,北上市,34760 ,760 ,3180 ,6740 ,6520 ,7450 ,9840 ,4140 ,1580 ,2560 ,19380 ,14250 ,1280 ,830 ,3020 ,7990 ,20 ,7970 ,13600 ,10300 ,5780 ,3360 ,1370 
207,岩手県,久慈市,13610 ,150 ,980 ,1690 ,2630 ,3190 ,4960 ,2130 ,660 ,1480 ,7550 ,4900 ,780 ,310 ,1570 ,3910 ,0 ,3910 ,7370 ,3670 ,1560 ,710 ,300 
208,岩手県,遠野市,9580 ,0 ,370 ,630 ,1680 ,2570 ,4300 ,2100 ,1140 ,960 ,4430 ,2890 ,430 ,190 ,920 ,2820 ,0 ,2820 ,4790 ,2550 ,1130 ,720 ,340 
209,岩手県,一関市,41630 ,550 ,2590 ,3940 ,6960 ,11530 ,15450 ,8230 ,4250 ,3980 ,20750 ,14240 ,2110 ,690 ,3700 ,11010 ,90 ,10920 ,18390 ,11440 ,5480 ,3760 ,1920 
210,岩手県,陸前高田市,7010 ,30 ,220 ,650 ,1220 ,1860 ,3030 ,1100 ,670 ,430 ,3710 ,2460 ,300 ,210 ,740 ,2190 ,0 ,2190 ,3180 ,2210 ,770 ,610 ,240 
211,岩手県,釜石市,15400 ,110 ,970 ,1910 ,2470 ,3150 ,6690 ,1990 ,720 ,1270 ,7590 ,5030 ,890 ,130 ,1540 ,5630 ,0 ,5630 ,8270 ,3920 ,1780 ,880 ,450 
213,岩手県,二戸市,10070 ,90 ,540 ,960 ,1790 ,2510 ,4030 ,2030 ,1090 ,940 ,5080 ,3360 ,630 ,140 ,950 ,2810 ,0 ,2810 ,4950 ,2830 ,1260 ,550 ,340 
214,岩手県,八幡平市,9480 ,170 ,600 ,840 ,1520 ,2790 ,3560 ,2210 ,1360 ,840 ,4890 ,3350 ,310 ,170 ,1060 ,2380 ,0 ,2380 ,4750 ,2570 ,1100 ,710 ,340 
215,岩手県,奥州市,41050 ,310 ,2750 ,5040 ,6750 ,10010 ,15210 ,7640 ,4000 ,3640 ,21900 ,15030 ,2410 ,700 ,3760 ,9910 ,20 ,9880 ,16740 ,11670 ,6150 ,3510 ,1970 
301,岩手県,雫石町,5250 ,50 ,130 ,520 ,1170 ,1500 ,1890 ,1210 ,650 ,560 ,2880 ,2160 ,180 ,20 ,520 ,1040 ,0 ,1040 ,1880 ,1700 ,810 ,550 ,320 
305,岩手県,滝沢村,21070 ,1860 ,1730 ,3480 ,3880 ,4540 ,4800 ,2380 ,640 ,1740 ,11440 ,8200 ,1130 ,290 ,1820 ,5330 ,1230 ,4100 ,8150 ,6300 ,3430 ,1830 ,720 
321,岩手県,紫波町,10490 ,30 ,670 ,1400 ,2220 ,2670 ,3270 ,1900 ,1110 ,780 ,6120 ,4290 ,650 ,150 ,1040 ,2120 ,0 ,2120 ,3440 ,3300 ,1850 ,1280 ,410 
322,岩手県,矢巾町,9920 ,810 ,690 ,1540 ,1720 ,2490 ,2500 ,1250 ,620 ,630 ,5930 ,4240 ,680 ,150 ,860 ,2550 ,770 ,1780 ,3900 ,2830 ,1580 ,1150 ,300 
381,岩手県,金ケ崎町,4920 ,40 ,410 ,720 ,650 ,1410 ,1680 ,1040 ,730 ,300 ,2700 ,2060 ,130 ,110 ,390 ,1000 ,0 ,1000 ,1740 ,1420 ,730 ,760 ,240 
461,岩手県,大槌町,4610 ,10 ,360 ,440 ,900 ,810 ,2010 ,320 ,100 ,220 ,2120 ,1440 ,270 ,60 ,340 ,1940 ,0 ,1940 ,2340 ,1340 ,520 ,180 ,150 
482,岩手県,山田町,5710 ,0 ,190 ,560 ,1080 ,1300 ,2580 ,1280 ,550 ,730 ,2410 ,1640 ,100 ,80 ,590 ,2020 ,0 ,2020 ,3450 ,1460 ,550 ,180 ,70 
507,岩手県,洋野町,5730 ,30 ,290 ,530 ,1040 ,1570 ,2270 ,1120 ,650 ,470 ,2860 ,1790 ,270 ,190 ,610 ,1660 ,0 ,1660 ,3170 ,1580 ,700 ,200 ,80 
