ID,県,市区町村,普通世帯総数,25歳未満,25〜34歳,35〜44,45〜54,55〜64,65歳以上,自営業主,農林・漁業業主,商工・その他の業主,雇用者,会社・団体・公社又は個人に雇われている者,官公庁,労働者派遣事業所の派遣社員,パート・アルバイト・その他,無職,学生,その他,300万円未満,300〜500,500〜700,700〜1000,1000万円以上
100,広島県,広島市,507520 ,18400 ,60140 ,95610 ,82630 ,84780 ,148130 ,44230 ,2220 ,42010 ,238130 ,176280 ,17280 ,5870 ,38700 ,117420 ,4580 ,112830 ,171720 ,147070 ,81500 ,53490 ,28290 
101,広島県,中区,68830 ,2370 ,8840 ,12560 ,11400 ,11680 ,18370 ,6690 ,100 ,6590 ,28780 ,19910 ,2250 ,1050 ,5560 ,14420 ,340 ,14080 ,28210 ,17340 ,8560 ,5520 ,4720 
102,広島県,東区,53410 ,1760 ,5450 ,8480 ,9040 ,8770 ,16720 ,4580 ,20 ,4560 ,21770 ,16190 ,1560 ,460 ,3570 ,13170 ,360 ,12820 ,18220 ,13880 ,8120 ,5010 ,3170 
103,広島県,南区,66390 ,3610 ,10640 ,12430 ,11020 ,10090 ,18380 ,4900 ,110 ,4790 ,31930 ,23970 ,2560 ,780 ,4620 ,14150 ,950 ,13190 ,22740 ,19210 ,10910 ,7310 ,3830 
104,広島県,西区,85820 ,3870 ,12730 ,16920 ,15240 ,13000 ,21740 ,6550 ,80 ,6470 ,41450 ,30270 ,3170 ,1030 ,6970 ,16690 ,760 ,15930 ,30150 ,24270 ,13050 ,8990 ,5700 
105,広島県,安佐南区,94120 ,3360 ,10890 ,21830 ,15180 ,13680 ,23280 ,8000 ,560 ,7440 ,45470 ,35110 ,3210 ,990 ,6160 ,18130 ,1030 ,17100 ,25780 ,27890 ,18180 ,11720 ,4540 
106,広島県,安佐北区,56500 ,880 ,3770 ,8100 ,7780 ,12380 ,23380 ,5840 ,620 ,5220 ,27130 ,19370 ,1420 ,630 ,5700 ,18850 ,170 ,18680 ,21140 ,18960 ,8210 ,5170 ,2210 
107,広島県,安芸区,28320 ,380 ,2750 ,4820 ,4690 ,5060 ,10120 ,2290 ,210 ,2080 ,15010 ,10970 ,1320 ,350 ,2370 ,8240 ,80 ,8160 ,9070 ,9230 ,5040 ,3020 ,1260 
108,広島県,佐伯区,54140 ,2170 ,5060 ,10480 ,8280 ,10120 ,16140 ,5370 ,520 ,4850 ,26600 ,20500 ,1780 ,570 ,3750 ,13770 ,900 ,12870 ,16410 ,16280 ,9440 ,6750 ,2860 
202,広島県,呉市,100080 ,1350 ,7390 ,13090 ,12260 ,16550 ,41470 ,8670 ,1700 ,6970 ,45490 ,31900 ,5430 ,820 ,7340 ,34440 ,390 ,34040 ,38670 ,28000 ,13450 ,8420 ,3670 
203,広島県,竹原市,10650 ,80 ,300 ,890 ,1270 ,2490 ,5080 ,1350 ,380 ,960 ,4310 ,2990 ,310 ,100 ,910 ,4270 ,0 ,4270 ,4740 ,2790 ,1360 ,840 ,400 
204,広島県,三原市,38960 ,320 ,2250 ,4880 ,5310 ,7710 ,16250 ,4510 ,1160 ,3340 ,17880 ,13090 ,1260 ,350 ,3190 ,13840 ,90 ,13750 ,15240 ,11090 ,5110 ,3630 ,1750 
205,広島県,尾道市,56900 ,1260 ,3210 ,5960 ,6590 ,12170 ,25450 ,7390 ,1600 ,5790 ,23700 ,16760 ,1860 ,610 ,4480 ,21800 ,730 ,21070 ,24870 ,15410 ,7070 ,4980 ,2250 
207,広島県,福山市,178610 ,4870 ,17060 ,27840 ,25060 ,34350 ,55200 ,17570 ,1430 ,16150 ,87290 ,65860 ,5020 ,2160 ,14250 ,43720 ,1760 ,41960 ,63420 ,52470 ,26500 ,15230 ,8250 
208,広島県,府中市,14940 ,90 ,660 ,1700 ,2020 ,3360 ,6910 ,2200 ,320 ,1880 ,6670 ,4690 ,620 ,150 ,1210 ,5550 ,10 ,5540 ,5880 ,4660 ,2230 ,1280 ,740 
209,広島県,三次市,20270 ,240 ,1390 ,2640 ,2750 ,4440 ,8420 ,3910 ,1850 ,2060 ,9380 ,6530 ,770 ,150 ,1930 ,5260 ,20 ,5240 ,7780 ,6480 ,3180 ,1630 ,730 
210,広島県,庄原市,15370 ,880 ,750 ,1210 ,1660 ,3220 ,7480 ,3540 ,2330 ,1210 ,6330 ,4210 ,720 ,130 ,1260 ,5050 ,480 ,4570 ,7070 ,4060 ,1980 ,1340 ,770 
211,広島県,大竹市,11570 ,250 ,840 ,1080 ,1380 ,2570 ,5050 ,1020 ,130 ,890 ,4970 ,3630 ,350 ,140 ,850 ,4280 ,0 ,4280 ,4440 ,3590 ,1580 ,1100 ,510 
212,広島県,東広島市,80950 ,9980 ,9500 ,12430 ,12000 ,13100 ,20980 ,7210 ,2560 ,4650 ,37820 ,28270 ,2540 ,1220 ,5800 ,21370 ,5810 ,15570 ,31450 ,21670 ,12450 ,7870 ,3360 
213,広島県,廿日市市,44490 ,590 ,3730 ,6270 ,6680 ,9430 ,15900 ,3910 ,370 ,3540 ,22530 ,16290 ,1660 ,360 ,4210 ,12390 ,150 ,12240 ,14090 ,13430 ,7290 ,5340 ,2510 
214,広島県,安芸高田市,11040 ,100 ,530 ,890 ,1260 ,2450 ,5520 ,2420 ,1230 ,1190 ,4730 ,3160 ,470 ,160 ,940 ,3310 ,10 ,3300 ,4480 ,3280 ,1760 ,880 ,380 
