ID,県,市区町村,普通世帯総数,25歳未満,25〜34歳,35〜44,45〜54,55〜64,65歳以上,自営業主,農林・漁業業主,商工・その他の業主,雇用者,会社・団体・公社又は個人に雇われている者,官公庁,労働者派遣事業所の派遣社員,パート・アルバイト・その他,無職,学生,その他,300万円未満,300〜500,500〜700,700〜1000,1000万円以上
201,徳島県,徳島市,112640 ,6230 ,10260 ,15090 ,16060 ,20180 ,38050 ,12860 ,2130 ,10740 ,45710 ,31850 ,4880 ,1400 ,7590 ,31910 ,3080 ,28830 ,51050 ,28130 ,12610 ,8810 ,5540 
202,徳島県,鳴門市,22580 ,310 ,1360 ,2830 ,3070 ,5320 ,8930 ,3640 ,1500 ,2140 ,8810 ,6150 ,990 ,140 ,1540 ,7540 ,450 ,7100 ,9500 ,5540 ,3400 ,2330 ,1220 
203,徳島県,小松島市,15150 ,220 ,1160 ,1840 ,2240 ,3230 ,5990 ,2050 ,800 ,1250 ,6180 ,4160 ,820 ,150 ,1050 ,4150 ,0 ,4150 ,7100 ,4160 ,1870 ,1100 ,480 
204,徳島県,阿南市,26460 ,250 ,1660 ,3260 ,4070 ,6140 ,10240 ,4670 ,2250 ,2430 ,11800 ,8220 ,1290 ,360 ,1920 ,7420 ,30 ,7390 ,10400 ,7240 ,4020 ,2550 ,1370 
205,徳島県,吉野川市,15470 ,90 ,630 ,1320 ,2360 ,3910 ,6680 ,2510 ,560 ,1940 ,6260 ,4200 ,570 ,320 ,1160 ,5740 ,10 ,5730 ,7740 ,4020 ,1870 ,840 ,570 
206,徳島県,阿波市,12910 ,80 ,550 ,1420 ,2000 ,3400 ,5250 ,3130 ,1700 ,1440 ,5480 ,3710 ,700 ,190 ,890 ,3860 ,10 ,3850 ,6270 ,3030 ,1610 ,1080 ,700 
207,徳島県,美馬市,11730 ,10 ,350 ,1010 ,1740 ,3160 ,5310 ,1640 ,440 ,1210 ,4570 ,2770 ,680 ,100 ,1010 ,4470 ,10 ,4460 ,6370 ,2960 ,990 ,740 ,300 
208,徳島県,三好市,11850 ,50 ,410 ,820 ,1510 ,3050 ,5890 ,1820 ,500 ,1330 ,4400 ,2800 ,650 ,100 ,850 ,4910 ,20 ,4890 ,6580 ,2930 ,1140 ,740 ,370 
341,徳島県,石井町,8840 ,0 ,510 ,790 ,1090 ,2330 ,3720 ,1390 ,680 ,710 ,4160 ,2880 ,420 ,210 ,640 ,2780 ,0 ,2780 ,3250 ,2390 ,1300 ,960 ,530 
401,徳島県,松茂町,5650 ,20 ,470 ,900 ,1090 ,1080 ,1940 ,880 ,380 ,500 ,2660 ,1820 ,380 ,80 ,380 ,1140 ,0 ,1140 ,2170 ,1690 ,710 ,470 ,450 
402,徳島県,北島町,8880 ,220 ,470 ,1480 ,1180 ,1640 ,2620 ,720 ,20 ,700 ,3990 ,3060 ,270 ,170 ,500 ,1990 ,0 ,1990 ,2840 ,1910 ,1330 ,970 ,580 
403,徳島県,藍住町,12240 ,310 ,1260 ,2630 ,2010 ,2870 ,3130 ,1470 ,380 ,1090 ,6290 ,4500 ,740 ,130 ,920 ,2560 ,30 ,2530 ,4500 ,3360 ,2240 ,1090 ,660 
489,徳島県,東みよし町,5360 ,0 ,400 ,620 ,930 ,1360 ,2050 ,860 ,200 ,660 ,2270 ,1580 ,310 ,110 ,270 ,1560 ,0 ,1560 ,2420 ,1340 ,770 ,570 ,130 
