ID,県,市区町村,普通世帯総数,25歳未満,25〜34歳,35〜44,45〜54,55〜64,65歳以上,自営業主,農林・漁業業主,商工・その他の業主,雇用者,会社・団体・公社又は個人に雇われている者,官公庁,労働者派遣事業所の派遣社員,パート・アルバイト・その他,無職,学生,その他,300万円未満,300〜500,500〜700,700〜1000,1000万円以上
201,愛媛県,松山市,226350 ,11440 ,24540 ,35190 ,35720 ,44220 ,64740 ,21120 ,3250 ,17870 ,95370 ,67970 ,7650 ,2280 ,17460 ,55740 ,5030 ,50710 ,101710 ,62250 ,26950 ,16940 ,8680 
202,愛媛県,今治市,66570 ,810 ,4030 ,8520 ,9030 ,13800 ,30220 ,10070 ,2560 ,7510 ,28120 ,19390 ,2490 ,690 ,5550 ,22340 ,40 ,22300 ,34140 ,18490 ,7530 ,3850 ,1850 
203,愛媛県,宇和島市,31940 ,290 ,2010 ,3910 ,4790 ,7560 ,13220 ,7260 ,3570 ,3690 ,12400 ,7980 ,1520 ,310 ,2580 ,10030 ,30 ,9990 ,17420 ,7680 ,3660 ,1850 ,930 
204,愛媛県,八幡浜市,15580 ,90 ,680 ,1500 ,2230 ,3400 ,7240 ,3500 ,2020 ,1480 ,5740 ,3970 ,640 ,130 ,1000 ,5770 ,20 ,5750 ,7930 ,3830 ,1780 ,1050 ,550 
205,愛媛県,新居浜市,49350 ,690 ,3850 ,6840 ,7270 ,8960 ,18930 ,5000 ,590 ,4410 ,22860 ,17180 ,1430 ,560 ,3690 ,14630 ,90 ,14550 ,19930 ,13760 ,7010 ,4200 ,2030 
206,愛媛県,西条市,43780 ,360 ,2600 ,6370 ,6280 ,9810 ,15860 ,6090 ,2570 ,3520 ,21080 ,15460 ,1810 ,500 ,3300 ,12480 ,60 ,12420 ,18210 ,11750 ,5920 ,3800 ,1750 
207,愛媛県,大洲市,17660 ,210 ,1260 ,2260 ,2850 ,3800 ,7020 ,2820 ,1340 ,1490 ,8160 ,5680 ,980 ,120 ,1380 ,4970 ,10 ,4960 ,9100 ,4600 ,1940 ,1210 ,480 
210,愛媛県,伊予市,13890 ,70 ,700 ,1510 ,2030 ,3120 ,5280 ,2660 ,1360 ,1300 ,5870 ,4000 ,620 ,110 ,1140 ,3820 ,20 ,3810 ,5950 ,3690 ,1720 ,990 ,400 
213,愛媛県,四国中央市,33910 ,610 ,2540 ,4510 ,5060 ,7330 ,12490 ,4360 ,980 ,3390 ,17270 ,13460 ,940 ,400 ,2470 ,9440 ,10 ,9430 ,13160 ,9370 ,4970 ,3410 ,1620 
214,愛媛県,西予市,16320 ,80 ,770 ,1430 ,2330 ,3470 ,8200 ,3840 ,2260 ,1580 ,5920 ,3710 ,980 ,100 ,1130 ,6050 ,0 ,6050 ,9070 ,4090 ,1700 ,980 ,380 
215,愛媛県,東温市,13280 ,400 ,950 ,1920 ,2050 ,3000 ,4550 ,1780 ,760 ,1020 ,6410 ,4080 ,990 ,150 ,1190 ,3780 ,250 ,3540 ,5460 ,3740 ,1930 ,1110 ,580 
401,愛媛県,松前町,11520 ,20 ,690 ,1690 ,1910 ,2150 ,4700 ,1440 ,520 ,920 ,5080 ,3440 ,650 ,140 ,840 ,3890 ,0 ,3890 ,4910 ,3290 ,1630 ,1010 ,330 
402,愛媛県,砥部町,7980 ,240 ,570 ,1020 ,1200 ,1620 ,3170 ,1480 ,810 ,670 ,3630 ,2450 ,490 ,80 ,620 ,2330 ,210 ,2120 ,3230 ,2650 ,1120 ,530 ,270 
422,愛媛県,内子町,6670 ,20 ,210 ,540 ,860 ,1830 ,3150 ,1570 ,860 ,720 ,2400 ,1670 ,220 ,90 ,430 ,2320 ,0 ,2320 ,4100 ,1280 ,790 ,360 ,110 
506,愛媛県,愛南町,9150 ,0 ,300 ,1050 ,1210 ,2480 ,4040 ,1900 ,1040 ,870 ,3540 ,2030 ,480 ,100 ,930 ,3540 ,10 ,3530 ,5160 ,2110 ,1060 ,560 ,250 
