ID,県,市区町村,普通世帯総数,25歳未満,25〜34歳,35〜44,45〜54,55〜64,65歳以上,自営業主,農林・漁業業主,商工・その他の業主,雇用者,会社・団体・公社又は個人に雇われている者,官公庁,労働者派遣事業所の派遣社員,パート・アルバイト・その他,無職,学生,その他,300万円未満,300〜500,500〜700,700〜1000,1000万円以上
100,愛知県,名古屋市,1101830 ,38770 ,104790 ,159630 ,164230 ,164570 ,301750 ,92150 ,800 ,91350 ,470060 ,340210 ,31620 ,15310 ,82920 ,227610 ,11970 ,215640 ,357630 ,253870 ,148890 ,108780 ,71620 
101,愛知県,千種区,89840 ,7020 ,8830 ,11830 ,13770 ,12530 ,22430 ,6230 ,20 ,6220 ,36060 ,22850 ,6920 ,890 ,5400 ,17320 ,2930 ,14390 ,29890 ,16420 ,12310 ,10170 ,8560 
102,愛知県,東区,42260 ,1310 ,3710 ,5530 ,5590 ,5380 ,10750 ,4060 ,10 ,4050 ,14990 ,10620 ,1130 ,440 ,2790 ,7750 ,260 ,7500 ,12240 ,7750 ,4770 ,3940 ,3590 
103,愛知県,北区,81830 ,1570 ,9250 ,11150 ,11740 ,14070 ,25800 ,7720 ,50 ,7670 ,34990 ,22760 ,3860 ,1200 ,7170 ,16650 ,100 ,16550 ,31200 ,21020 ,11150 ,7130 ,3620 
104,愛知県,西区,67870 ,2150 ,6710 ,11500 ,10870 ,10950 ,19960 ,6880 ,20 ,6870 ,32130 ,23930 ,2190 ,1010 ,5000 ,13630 ,100 ,13530 ,23110 ,17580 ,11020 ,7290 ,3460 
105,愛知県,中村区,74850 ,3080 ,8760 ,9440 ,7780 ,10220 ,23020 ,5720 ,40 ,5680 ,22880 ,15280 ,1170 ,900 ,5530 ,15120 ,480 ,14640 ,30190 ,16990 ,7650 ,5110 ,2740 
106,愛知県,中区,59050 ,4500 ,9160 ,9520 ,10120 ,7440 ,12150 ,3710 ,10 ,3690 ,16280 ,12500 ,750 ,740 ,2300 ,6310 ,450 ,5860 ,21800 ,15810 ,6650 ,5660 ,3380 
107,愛知県,昭和区,57390 ,4740 ,3750 ,5710 ,6350 ,6370 ,12620 ,4650 ,0 ,4650 ,20020 ,15100 ,1350 ,590 ,2980 ,12110 ,2780 ,9330 ,15550 ,8660 ,5020 ,5090 ,5540 
108,愛知県,瑞穂区,51330 ,1180 ,3830 ,6150 ,7070 ,6700 ,13130 ,4630 ,30 ,4600 ,22610 ,17630 ,1060 ,540 ,3390 ,11490 ,760 ,10730 ,13070 ,9790 ,6050 ,5070 ,4560 
109,愛知県,熱田区,30970 ,600 ,2170 ,3690 ,4140 ,4780 ,9000 ,2980 ,20 ,2960 ,13540 ,9950 ,710 ,440 ,2430 ,7510 ,220 ,7290 ,9050 ,6360 ,4040 ,2880 ,2040 
110,愛知県,中川区,101080 ,2340 ,9580 ,15130 ,15470 ,16770 ,29060 ,8490 ,160 ,8340 ,44250 ,31930 ,1710 ,1330 ,9270 ,19980 ,340 ,19640 ,37380 ,26080 ,13150 ,7930 ,4380 
111,愛知県,港区,64410 ,1020 ,5830 ,8900 ,10350 ,11050 ,19760 ,4980 ,120 ,4860 ,29300 ,21310 ,1200 ,1230 ,5560 ,15060 ,60 ,15000 ,23770 ,16870 ,9570 ,4960 ,2210 
112,愛知県,南区,62620 ,1130 ,4990 ,7460 ,8850 ,12090 ,20410 ,6180 ,0 ,6180 ,27480 ,19020 ,1040 ,1320 ,6110 ,17370 ,180 ,17190 ,24210 ,14990 ,7800 ,5210 ,3180 
113,愛知県,守山区,68810 ,970 ,5530 ,12040 ,10480 ,9890 ,21580 ,5830 ,130 ,5700 ,33820 ,24290 ,1950 ,1580 ,6010 ,16610 ,240 ,16380 ,22330 ,17320 ,10990 ,6910 ,3610 
114,愛知県,緑区,93650 ,880 ,8810 ,17710 ,17000 ,14620 ,25550 ,7740 ,90 ,7650 ,50760 ,39250 ,2820 ,1310 ,7390 ,19920 ,200 ,19720 ,22320 ,25060 ,18100 ,12740 ,6890 
115,愛知県,名東区,78030 ,3800 ,7970 ,14250 ,14570 ,11700 ,20480 ,6430 ,0 ,6430 ,37650 ,28890 ,1970 ,750 ,6030 ,15770 ,1320 ,14440 ,24630 ,18740 ,11550 ,10420 ,7890 
