ID,県,市区町村,普通世帯総数,25歳未満,25〜34歳,35〜44,45〜54,55〜64,65歳以上,自営業主,農林・漁業業主,商工・その他の業主,雇用者,会社・団体・公社又は個人に雇われている者,官公庁,労働者派遣事業所の派遣社員,パート・アルバイト・その他,無職,学生,その他,300万円未満,300〜500,500〜700,700〜1000,1000万円以上
100,新潟県,新潟市,321980 ,16430 ,28170 ,46570 ,49020 ,64560 ,96480 ,30420 ,7050 ,23380 ,152730 ,110700 ,15600 ,3590 ,22830 ,87990 ,9570 ,78420 ,111360 ,88680 ,50850 ,33060 ,17440 
101,新潟県,北区,27170 ,1720 ,1790 ,3160 ,4050 ,6160 ,7830 ,2800 ,890 ,1910 ,12890 ,9260 ,860 ,580 ,2190 ,7690 ,1300 ,6390 ,9670 ,7160 ,4420 ,2320 ,1220 
102,新潟県,東区,58300 ,1380 ,5420 ,9190 ,9000 ,10770 ,18710 ,4180 ,240 ,3940 ,28500 ,20820 ,2450 ,700 ,4530 ,16060 ,410 ,15650 ,20420 ,17640 ,9210 ,4880 ,2370 
103,新潟県,中央区,87360 ,6000 ,9760 ,13200 ,13910 ,15400 ,23090 ,6480 ,120 ,6360 ,39350 ,27530 ,4940 ,850 ,6030 ,21640 ,2730 ,18910 ,32190 ,22100 ,12870 ,8980 ,5280 
104,新潟県,江南区,22910 ,210 ,1900 ,3740 ,3060 ,5360 ,7410 ,2410 ,910 ,1500 ,11750 ,8630 ,780 ,270 ,2060 ,5900 ,0 ,5900 ,7650 ,6600 ,3870 ,2490 ,1030 
105,新潟県,秋葉区,26140 ,580 ,2040 ,3510 ,3940 ,5590 ,9440 ,2310 ,750 ,1560 ,12640 ,9480 ,1390 ,160 ,1610 ,8600 ,420 ,8190 ,8480 ,8140 ,4190 ,2970 ,1390 
106,新潟県,南区,14650 ,180 ,930 ,1960 ,2930 ,4000 ,4300 ,2890 ,1400 ,1490 ,7810 ,6070 ,560 ,180 ,1010 ,3020 ,0 ,3020 ,4420 ,4570 ,2530 ,1790 ,980 
107,新潟県,西区,66140 ,6330 ,5240 ,9610 ,9110 ,11510 ,18880 ,5760 ,1170 ,4590 ,30120 ,21680 ,3560 ,720 ,4160 ,20350 ,4710 ,15640 ,22910 ,16820 ,9610 ,7380 ,3810 
108,新潟県,西蒲区,19300 ,40 ,1100 ,2210 ,3040 ,5760 ,6820 ,3600 ,1570 ,2030 ,9670 ,7240 ,1060 ,130 ,1240 ,4710 ,0 ,4710 ,5600 ,5640 ,4140 ,2240 ,1360 
202,新潟県,長岡市,98130 ,2830 ,8490 ,13850 ,16990 ,21400 ,31980 ,12350 ,3360 ,8990 ,53340 ,40850 ,3770 ,1050 ,7670 ,24130 ,1010 ,23120 ,31710 ,29840 ,16660 ,11250 ,5900 
204,新潟県,三条市,32710 ,380 ,1660 ,3950 ,5810 ,8750 ,11370 ,6050 ,1410 ,4640 ,17310 ,13160 ,1220 ,480 ,2460 ,7280 ,0 ,7280 ,10560 ,9500 ,5760 ,3970 ,2190 
205,新潟県,柏崎市,32710 ,850 ,2210 ,4520 ,6100 ,7620 ,10140 ,3520 ,940 ,2580 ,17720 ,13700 ,1460 ,340 ,2210 ,9220 ,330 ,8900 ,10150 ,9370 ,5850 ,4080 ,1960 
206,新潟県,新発田市,32990 ,780 ,2320 ,3650 ,5080 ,8260 ,12010 ,4030 ,1520 ,2510 ,16930 ,11870 ,1600 ,430 ,3030 ,9580 ,110 ,9480 ,12510 ,9360 ,5310 ,3530 ,1490 
208,新潟県,小千谷市,11620 ,110 ,730 ,1330 ,2260 ,3170 ,3890 ,1910 ,680 ,1230 ,6700 ,4980 ,610 ,110 ,1000 ,2770 ,0 ,2770 ,3430 ,3660 ,2110 ,1340 ,940 
209,新潟県,加茂市,9410 ,110 ,340 ,1110 ,1790 ,2580 ,3440 ,1360 ,450 ,910 ,4780 ,3570 ,350 ,130 ,730 ,2890 ,10 ,2880 ,3250 ,2600 ,1760 ,1190 ,550 
210,新潟県,十日町市,18320 ,100 ,750 ,2310 ,3300 ,5240 ,6490 ,3710 ,1400 ,2310 ,10380 ,7260 ,890 ,280 ,1950 ,3810 ,0 ,3810 ,6640 ,5400 ,3030 ,2080 ,1020 
211,新潟県,見附市,12890 ,60 ,670 ,1980 ,2620 ,3430 ,4130 ,1790 ,420 ,1370 ,7490 ,5440 ,770 ,90 ,1180 ,2870 ,0 ,2870 ,3360 ,4160 ,2520 ,1740 ,930 
212,新潟県,村上市,21460 ,570 ,940 ,2310 ,3510 ,5430 ,8640 ,3450 ,1350 ,2110 ,10290 ,7070 ,920 ,280 ,2020 ,7310 ,480 ,6830 ,9210 ,6180 ,3030 ,1980 ,930 
213,新潟県,燕市,26580 ,240 ,1390 ,4010 ,4570 ,6110 ,9470 ,5180 ,1030 ,4140 ,13780 ,10780 ,990 ,220 ,1790 ,6110 ,30 ,6090 ,8010 ,8120 ,4530 ,3070 ,2050 
216,新潟県,糸魚川市,16590 ,180 ,860 ,1740 ,2630 ,3650 ,7400 ,2060 ,720 ,1340 ,8530 ,6280 ,770 ,140 ,1350 ,5450 ,10 ,5440 ,6100 ,4740 ,2880 ,1960 ,740 
217,新潟県,妙高市,11300 ,70 ,500 ,1000 ,2050 ,2940 ,4740 ,1820 ,650 ,1170 ,5620 ,3790 ,540 ,150 ,1130 ,2970 ,0 ,2970 ,3660 ,3250 ,2070 ,1370 ,740 
218,新潟県,五泉市,16150 ,120 ,660 ,1560 ,2850 ,4580 ,6340 ,2920 ,1080 ,1840 ,8060 ,5880 ,670 ,180 ,1330 ,4630 ,0 ,4630 ,5880 ,4950 ,2680 ,1720 ,840 
