ID,県,市区町村,普通世帯総数,25歳未満,25〜34歳,35〜44,45〜54,55〜64,65歳以上,自営業主,農林・漁業業主,商工・その他の業主,雇用者,会社・団体・公社又は個人に雇われている者,官公庁,労働者派遣事業所の派遣社員,パート・アルバイト・その他,無職,学生,その他,300万円未満,300〜500,500〜700,700〜1000,1000万円以上
100,東京都,特別区部,4613570 ,160940 ,548720 ,736050 ,712320 ,649570 ,1240920 ,370710 ,2920 ,367790 ,1494560 ,1102490 ,83290 ,57170 ,251610 ,623290 ,36500 ,586790 ,1336500 ,1105980 ,664560 ,521910 ,439290 
101,東京都,千代田区,27590 ,530 ,4640 ,4720 ,4610 ,4460 ,6850 ,3050 ,0 ,3050 ,8390 ,5370 ,2400 ,130 ,480 ,2370 ,210 ,2160 ,3540 ,5290 ,5950 ,4910 ,6170 
102,東京都,中央区,76170 ,2170 ,13110 ,16270 ,15270 ,10320 ,15060 ,6390 ,60 ,6340 ,27950 ,23600 ,1320 ,630 ,2400 ,6370 ,210 ,6170 ,13750 ,17490 ,13430 ,12460 ,15320 
103,東京都,港区,111380 ,2150 ,12950 ,21420 ,18260 ,15280 ,28870 ,7850 ,70 ,7780 ,23040 ,18220 ,1400 ,480 ,2940 ,8340 ,340 ,8010 ,18700 ,19050 ,15420 ,19660 ,26310 
104,東京都,新宿区,195350 ,11590 ,24890 ,31780 ,28620 ,23600 ,48750 ,12050 ,120 ,11930 ,46460 ,32660 ,4750 ,1360 ,7690 ,22760 ,2460 ,20300 ,57820 ,43440 ,27350 ,21100 ,21120 
105,東京都,文京区,115210 ,6620 ,18690 ,18410 ,18090 ,15030 ,27160 ,10250 ,0 ,10250 ,41970 ,32700 ,3150 ,1310 ,4810 ,17460 ,3500 ,13960 ,29310 ,27590 ,16240 ,13660 ,17640 
106,東京都,台東区,100030 ,3060 ,10630 ,16150 ,15750 ,16130 ,29550 ,11250 ,60 ,11190 ,26720 ,19690 ,880 ,1130 ,5020 ,11670 ,520 ,11150 ,30240 ,24860 ,15160 ,12990 ,8360 
107,東京都,墨田区,124530 ,2970 ,16550 ,19920 ,18480 ,19330 ,33890 ,10960 ,0 ,10960 ,37940 ,28060 ,1780 ,1370 ,6720 ,13760 ,240 ,13520 ,39040 ,32670 ,20600 ,12960 ,6840 
108,東京都,江東区,234340 ,3220 ,25030 ,39690 ,42730 ,37290 ,69680 ,13160 ,90 ,13070 ,77520 ,57700 ,3700 ,3220 ,12890 ,29810 ,500 ,29310 ,67260 ,55280 ,40260 ,33430 ,22660 
109,東京都,品川区,198710 ,6420 ,26790 ,37340 ,29030 ,28590 ,52240 ,15270 ,80 ,15190 ,73440 ,57820 ,2050 ,2660 ,10910 ,27270 ,800 ,26460 ,52130 ,47130 ,30550 ,28000 ,23770 
