ID,県,市区町村,普通世帯総数,25歳未満,25〜34歳,35〜44,45〜54,55〜64,65歳以上,自営業主,農林・漁業業主,商工・その他の業主,雇用者,会社・団体・公社又は個人に雇われている者,官公庁,労働者派遣事業所の派遣社員,パート・アルバイト・その他,無職,学生,その他,300万円未満,300〜500,500〜700,700〜1000,1000万円以上
201,栃木県,宇都宮市,210280 ,6560 ,26070 ,37900 ,37180 ,35550 ,57850 ,20690 ,3080 ,17610 ,98720 ,73800 ,8080 ,3090 ,13740 ,42840 ,2110 ,40730 ,64260 ,54030 ,37270 ,26760 ,13310 
202,栃木県,足利市,58130 ,950 ,3820 ,8480 ,9540 ,12400 ,21450 ,7990 ,790 ,7210 ,29530 ,21010 ,1680 ,1130 ,5710 ,16690 ,430 ,16270 ,24310 ,16680 ,8930 ,4570 ,2260 
203,栃木県,栃木市,48780 ,610 ,2840 ,6980 ,8220 ,11800 ,16950 ,7910 ,1870 ,6040 ,24200 ,17960 ,1750 ,940 ,3540 ,11870 ,70 ,11800 ,16330 ,14640 ,8460 ,5300 ,2920 
204,栃木県,佐野市,44480 ,700 ,3600 ,6990 ,7540 ,10120 ,14770 ,6100 ,820 ,5280 ,23000 ,16880 ,1900 ,490 ,3720 ,12010 ,120 ,11890 ,16780 ,12650 ,7030 ,4920 ,2120 
205,栃木県,鹿沼市,33970 ,310 ,2440 ,5550 ,6180 ,8350 ,10920 ,5530 ,1470 ,4060 ,19160 ,13940 ,1520 ,590 ,3110 ,7970 ,20 ,7950 ,11490 ,9570 ,6330 ,3910 ,2280 
206,栃木県,日光市,31830 ,400 ,1670 ,3860 ,5240 ,7710 ,12270 ,4970 ,1080 ,3890 ,15920 ,10570 ,1430 ,560 ,3350 ,9200 ,30 ,9170 ,12630 ,8490 ,5010 ,3240 ,1720 
208,栃木県,小山市,62040 ,1570 ,6210 ,10730 ,10000 ,13200 ,17790 ,6970 ,1990 ,4980 ,31320 ,22920 ,1900 ,1400 ,5100 ,14530 ,1030 ,13500 ,20940 ,16810 ,10580 ,7500 ,3510 
209,栃木県,真岡市,26610 ,280 ,2350 ,4680 ,4740 ,7040 ,7050 ,4820 ,1940 ,2880 ,15160 ,10590 ,1200 ,800 ,2570 ,5160 ,0 ,5160 ,8110 ,7530 ,4760 ,3710 ,2050 
210,栃木県,大田原市,26640 ,1630 ,2440 ,3610 ,4820 ,6570 ,6740 ,4510 ,2080 ,2430 ,13490 ,9380 ,1000 ,970 ,2140 ,6530 ,1490 ,5040 ,9970 ,6890 ,4210 ,2930 ,1820 
211,栃木県,矢板市,11800 ,100 ,640 ,1810 ,1840 ,3100 ,3800 ,1430 ,540 ,890 ,5650 ,4000 ,610 ,230 ,810 ,3330 ,20 ,3310 ,3800 ,3240 ,1890 ,1550 ,710 
213,栃木県,那須塩原市,43640 ,810 ,5250 ,6570 ,7970 ,10490 ,11600 ,5890 ,1590 ,4300 ,23780 ,16480 ,1510 ,1020 ,4770 ,9250 ,0 ,9250 ,14870 ,13030 ,7110 ,4790 ,2520 
214,栃木県,さくら市,14410 ,110 ,1230 ,2520 ,2240 ,3260 ,3840 ,2380 ,1000 ,1380 ,7550 ,5530 ,680 ,280 ,1050 ,2940 ,0 ,2940 ,3870 ,4260 ,2360 ,1840 ,780 
215,栃木県,那須烏山市,9470 ,30 ,340 ,1030 ,1370 ,2860 ,3720 ,2140 ,820 ,1320 ,4440 ,2950 ,440 ,140 ,920 ,2530 ,0 ,2530 ,3970 ,2230 ,1730 ,900 ,510 
216,栃木県,下野市,21490 ,610 ,2240 ,3630 ,4450 ,4440 ,5510 ,2400 ,870 ,1520 ,12420 ,9740 ,840 ,250 ,1590 ,4320 ,60 ,4260 ,6110 ,5970 ,3410 ,3030 ,2050 
301,栃木県,上三川町,9410 ,50 ,700 ,1560 ,1940 ,2760 ,2280 ,1600 ,810 ,790 ,5870 ,4500 ,350 ,190 ,820 ,1490 ,0 ,1490 ,2350 ,2570 ,2090 ,1620 ,690 
342,栃木県,益子町,7720 ,20 ,380 ,850 ,1290 ,2400 ,2780 ,1490 ,400 ,1100 ,4010 ,3000 ,240 ,50 ,730 ,1610 ,0 ,1610 ,2360 ,2550 ,1420 ,800 ,530 
343,栃木県,茂木町,4910 ,30 ,30 ,280 ,580 ,1770 ,2220 ,1130 ,470 ,660 ,2180 ,1360 ,140 ,50 ,640 ,1600 ,0 ,1600 ,2430 ,1010 ,760 ,440 ,260 
345,栃木県,芳賀町,4760 ,0 ,410 ,500 ,800 ,1380 ,1680 ,1140 ,680 ,460 ,2440 ,1830 ,150 ,70 ,390 ,1110 ,0 ,1110 ,1330 ,1510 ,1090 ,450 ,350 
361,栃木県,壬生町,14800 ,640 ,1180 ,2350 ,2250 ,3620 ,4130 ,2590 ,750 ,1830 ,7450 ,5250 ,700 ,270 ,1230 ,3550 ,530 ,3020 ,5270 ,4110 ,2020 ,1720 ,1010 
364,栃木県,野木町,9610 ,220 ,630 ,1300 ,1450 ,2890 ,3090 ,800 ,170 ,630 ,5490 ,4060 ,470 ,220 ,740 ,2890 ,0 ,2890 ,3140 ,2710 ,1710 ,1200 ,740 
