ID,県,市区町村,普通世帯総数,25歳未満,25〜34歳,35〜44,45〜54,55〜64,65歳以上,自営業主,農林・漁業業主,商工・その他の業主,雇用者,会社・団体・公社又は個人に雇われている者,官公庁,労働者派遣事業所の派遣社員,パート・アルバイト・その他,無職,学生,その他,300万円未満,300〜500,500〜700,700〜1000,1000万円以上
201,沖縄県,那覇市,132280 ,2570 ,13320 ,22160 ,22340 ,25760 ,33870 ,11760 ,360 ,11390 ,61420 ,35810 ,6070 ,2670 ,16860 ,30880 ,830 ,30040 ,70760 ,25940 ,12660 ,6550 ,4220 
205,沖縄県,宜野湾市,37970 ,1900 ,5000 ,6760 ,6100 ,6340 ,8030 ,3000 ,60 ,2930 ,15880 ,9830 ,1720 ,880 ,3450 ,7040 ,530 ,6510 ,20460 ,8730 ,3030 ,1520 ,740 
207,沖縄県,石垣市,19960 ,260 ,2360 ,3220 ,3660 ,4240 ,4690 ,3660 ,1170 ,2490 ,10420 ,5560 ,1490 ,320 ,3060 ,3910 ,0 ,3910 ,11780 ,4140 ,1470 ,940 ,260 
208,沖縄県,浦添市,43760 ,700 ,4380 ,7620 ,8030 ,9010 ,9630 ,3970 ,90 ,3880 ,22220 ,14050 ,2130 ,960 ,5080 ,8010 ,270 ,7740 ,22110 ,10350 ,3320 ,2500 ,1080 
209,沖縄県,名護市,26070 ,2310 ,3340 ,4180 ,3770 ,5270 ,6140 ,2950 ,1130 ,1820 ,11380 ,6580 ,1050 ,600 ,3160 ,6150 ,570 ,5570 ,17320 ,5010 ,1810 ,660 ,250 
210,沖縄県,糸満市,19880 ,320 ,2390 ,3490 ,3310 ,4430 ,4700 ,2740 ,950 ,1780 ,10950 ,5760 ,1620 ,530 ,3050 ,4320 ,20 ,4300 ,11700 ,4440 ,1720 ,660 ,210 
211,沖縄県,沖縄市,50040 ,880 ,4090 ,9050 ,8870 ,9000 ,11100 ,3720 ,140 ,3580 ,21070 ,12630 ,2120 ,940 ,5390 ,8770 ,20 ,8750 ,26260 ,9930 ,3780 ,2310 ,1110 
212,沖縄県,豊見城市,21100 ,220 ,2650 ,4560 ,3490 ,4440 ,4660 ,2330 ,530 ,1800 ,10860 ,7010 ,1660 ,300 ,1880 ,3550 ,60 ,3490 ,9610 ,6200 ,2330 ,1220 ,640 
213,沖縄県,うるま市,41350 ,400 ,5310 ,7070 ,7090 ,7530 ,11470 ,4320 ,860 ,3460 ,19780 ,11500 ,1980 ,1140 ,5150 ,10590 ,30 ,10550 ,25230 ,8930 ,2850 ,1440 ,520 
214,沖縄県,宮古島市,21710 ,260 ,1890 ,3270 ,3800 ,4830 ,6300 ,4950 ,2710 ,2230 ,9500 ,5440 ,1590 ,290 ,2180 ,4430 ,20 ,4410 ,13870 ,4030 ,1290 ,800 ,380 
215,沖縄県,南城市,13100 ,60 ,960 ,1900 ,2490 ,3420 ,4160 ,2190 ,1010 ,1190 ,6560 ,3790 ,770 ,250 ,1740 ,3510 ,0 ,3510 ,7760 ,3380 ,1140 ,510 ,160 
324,沖縄県,読谷村,12180 ,60 ,1210 ,2310 ,2330 ,2580 ,2970 ,1430 ,210 ,1220 ,6420 ,4110 ,330 ,300 ,1680 ,2550 ,0 ,2550 ,6830 ,2660 ,1260 ,590 ,160 
326,沖縄県,北谷町,10250 ,110 ,790 ,1660 ,1610 ,1840 ,2350 ,640 ,0 ,640 ,3830 ,2160 ,450 ,270 ,940 ,1830 ,0 ,1830 ,4330 ,2270 ,960 ,510 ,290 
327,沖縄県,北中城村,6010 ,50 ,470 ,730 ,990 ,1450 ,1880 ,540 ,40 ,510 ,2530 ,1600 ,290 ,40 ,600 ,1580 ,0 ,1580 ,3090 ,1240 ,730 ,390 ,150 
328,沖縄県,中城村,6740 ,540 ,1070 ,1450 ,1030 ,1180 ,1390 ,760 ,190 ,570 ,3070 ,1980 ,360 ,100 ,630 ,1390 ,260 ,1130 ,3780 ,1740 ,720 ,290 ,140 
329,沖縄県,西原町,11940 ,810 ,1380 ,1970 ,1860 ,2710 ,2480 ,910 ,120 ,790 ,6440 ,3970 ,750 ,180 ,1540 ,2930 ,520 ,2400 ,6870 ,2570 ,850 ,660 ,310 
348,沖縄県,与那原町,6520 ,150 ,610 ,1000 ,1230 ,1830 ,1390 ,530 ,20 ,510 ,3330 ,2270 ,250 ,20 ,790 ,1550 ,20 ,1530 ,3840 ,1360 ,560 ,290 ,180 
350,沖縄県,南風原町,11600 ,100 ,1430 ,2000 ,2280 ,2340 ,3000 ,1460 ,320 ,1140 ,6430 ,3950 ,580 ,350 ,1550 ,2200 ,10 ,2190 ,5790 ,2910 ,1310 ,790 ,300 
362,沖縄県,八重瀬町,8940 ,110 ,1050 ,1720 ,1570 ,2120 ,2350 ,1410 ,620 ,800 ,4850 ,2980 ,390 ,150 ,1330 ,1920 ,0 ,1920 ,5460 ,2070 ,780 ,410 ,90 
