ID,県,市区町村,普通世帯総数,25歳未満,25〜34歳,35〜44,45〜54,55〜64,65歳以上,自営業主,農林・漁業業主,商工・その他の業主,雇用者,会社・団体・公社又は個人に雇われている者,官公庁,労働者派遣事業所の派遣社員,パート・アルバイト・その他,無職,学生,その他,300万円未満,300〜500,500〜700,700〜1000,1000万円以上
201,滋賀県,大津市,133190 ,3500 ,9950 ,20450 ,23060 ,26690 ,42160 ,11060 ,580 ,10480 ,59120 ,41650 ,5790 ,1750 ,9930 ,32260 ,1000 ,31260 ,42040 ,36570 ,21240 ,17030 ,9370 
202,滋賀県,彦根市,45170 ,2720 ,3730 ,7750 ,7480 ,9180 ,12430 ,4420 ,580 ,3840 ,21810 ,15410 ,1680 ,920 ,3810 ,10260 ,1200 ,9060 ,15790 ,12890 ,6920 ,4830 ,2860 
203,滋賀県,長浜市,41840 ,750 ,3020 ,7110 ,7090 ,8970 ,12770 ,5120 ,1080 ,4040 ,20910 ,15130 ,1700 ,1100 ,2980 ,9680 ,250 ,9430 ,13680 ,11900 ,6940 ,4600 ,2860 
204,滋賀県,近江八幡市,29080 ,380 ,2200 ,4350 ,4710 ,5820 ,9420 ,3640 ,880 ,2760 ,14730 ,10690 ,970 ,560 ,2510 ,7130 ,60 ,7070 ,8460 ,8280 ,5040 ,3570 ,1580 
206,滋賀県,草津市,60060 ,8780 ,6230 ,9300 ,9280 ,8680 ,13720 ,3960 ,380 ,3580 ,27830 ,20640 ,1360 ,1240 ,4580 ,15170 ,4830 ,10330 ,21280 ,13680 ,9180 ,7100 ,4850 
207,滋賀県,守山市,27460 ,370 ,2770 ,5330 ,4990 ,5830 ,7520 ,2520 ,510 ,2010 ,16070 ,11590 ,1550 ,480 ,2450 ,5390 ,10 ,5380 ,6080 ,8080 ,5900 ,4460 ,2290 
208,滋賀県,栗東市,22990 ,430 ,2930 ,6100 ,4060 ,3740 ,5100 ,2090 ,400 ,1690 ,14390 ,11590 ,720 ,540 ,1540 ,3670 ,30 ,3640 ,4830 ,7450 ,5050 ,3590 ,1470 
209,滋賀県,甲賀市,30730 ,630 ,2670 ,5540 ,5630 ,6810 ,8990 ,3940 ,860 ,3090 ,18600 ,13690 ,1280 ,910 ,2710 ,6680 ,40 ,6640 ,8540 ,9360 ,6040 ,4190 ,2150 
210,滋賀県,野洲市,17470 ,190 ,1820 ,3180 ,3020 ,3500 ,5430 ,1890 ,480 ,1410 ,9150 ,6860 ,700 ,280 ,1310 ,4000 ,10 ,3990 ,4170 ,5380 ,3650 ,2580 ,1360 
211,滋賀県,湖南市,20370 ,310 ,3380 ,3580 ,3660 ,3920 ,4980 ,1660 ,60 ,1600 ,11980 ,9170 ,550 ,690 ,1580 ,4160 ,10 ,4150 ,5620 ,7050 ,3780 ,2330 ,1040 
212,滋賀県,高島市,18300 ,170 ,1510 ,1820 ,2650 ,4530 ,7220 ,3160 ,1210 ,1950 ,8420 ,5590 ,1050 ,160 ,1610 ,5080 ,10 ,5070 ,7070 ,5730 ,2670 ,1640 ,870 
213,滋賀県,東近江市,38010 ,530 ,2980 ,5840 ,6810 ,8970 ,11280 ,5220 ,1570 ,3650 ,20350 ,14670 ,1400 ,930 ,3350 ,8350 ,110 ,8240 ,11000 ,11580 ,6840 ,4250 ,2850 
214,滋賀県,米原市,12670 ,190 ,920 ,1650 ,2170 ,3060 ,4530 ,1420 ,390 ,1030 ,7060 ,5110 ,680 ,210 ,1060 ,3250 ,0 ,3250 ,3650 ,3860 ,2170 ,1880 ,970 
383,滋賀県,日野町,7870 ,100 ,940 ,1020 ,1060 ,1980 ,2740 ,1120 ,400 ,720 ,4430 ,2990 ,340 ,180 ,920 ,2000 ,0 ,2000 ,2710 ,2230 ,1470 ,980 ,440 
425,滋賀県,愛荘町,6810 ,60 ,580 ,1180 ,1130 ,1430 ,1870 ,950 ,170 ,780 ,3610 ,2720 ,190 ,200 ,500 ,1190 ,0 ,1190 ,1800 ,1940 ,1250 ,760 ,460 
