ID,県,市区町村,普通世帯総数,25歳未満,25〜34歳,35〜44,45〜54,55〜64,65歳以上,自営業主,農林・漁業業主,商工・その他の業主,雇用者,会社・団体・公社又は個人に雇われている者,官公庁,労働者派遣事業所の派遣社員,パート・アルバイト・その他,無職,学生,その他,300万円未満,300〜500,500〜700,700〜1000,1000万円以上
100,熊本県,熊本市,307610 ,15250 ,32940 ,45730 ,48160 ,54690 ,86070 ,30980 ,4580 ,26400 ,139700 ,95960 ,16200 ,4330 ,23210 ,76190 ,6510 ,69670 ,128980 ,78750 ,39770 ,23600 ,13120 
101,熊本県,中央区,90350 ,8950 ,10400 ,11750 ,14110 ,14080 ,21920 ,7580 ,70 ,7510 ,35380 ,24130 ,3770 ,1070 ,6410 ,22970 ,4570 ,18390 ,41620 ,19130 ,8950 ,7180 ,4560 
102,熊本県,東区,77490 ,2110 ,9160 ,13850 ,12890 ,14570 ,19420 ,7670 ,500 ,7170 ,39420 ,27180 ,5350 ,1390 ,5510 ,16100 ,490 ,15610 ,29350 ,21300 ,11700 ,6380 ,3520 
103,熊本県,西区,39040 ,2740 ,2620 ,4790 ,5580 ,7210 ,12330 ,4180 ,1020 ,3160 ,15820 ,10340 ,1570 ,440 ,3470 ,10580 ,1190 ,9380 ,18520 ,9210 ,4020 ,2520 ,1420 
104,熊本県,南区,45340 ,420 ,5570 ,7390 ,6970 ,8770 ,13000 ,5540 ,1600 ,3940 ,22720 ,16200 ,2470 ,630 ,3420 ,10500 ,0 ,10500 ,16990 ,13190 ,7370 ,3160 ,1660 
105,熊本県,北区,55400 ,1030 ,5190 ,7950 ,8610 ,10060 ,19410 ,6010 ,1390 ,4620 ,26360 ,18110 ,3030 ,810 ,4420 ,16050 ,260 ,15790 ,22500 ,15910 ,7720 ,4350 ,1960 
202,熊本県,八代市,48160 ,610 ,2660 ,5690 ,7290 ,11400 ,18220 ,7660 ,2960 ,4690 ,21660 ,14870 ,1850 ,700 ,4240 ,15170 ,140 ,15030 ,22060 ,12640 ,5720 ,3580 ,1890 
203,熊本県,人吉市,13390 ,160 ,840 ,1360 ,2030 ,3280 ,5310 ,1980 ,540 ,1440 ,6510 ,4220 ,730 ,240 ,1320 ,4440 ,40 ,4400 ,7380 ,3160 ,1360 ,690 ,390 
204,熊本県,荒尾市,21160 ,270 ,1410 ,2270 ,2770 ,4770 ,9140 ,1880 ,530 ,1340 ,9420 ,6380 ,630 ,320 ,2090 ,8290 ,0 ,8290 ,10640 ,5900 ,2260 ,1260 ,480 
205,熊本県,水俣市,10870 ,90 ,620 ,990 ,1330 ,2670 ,5160 ,1550 ,500 ,1050 ,4670 ,3050 ,470 ,130 ,1010 ,4510 ,0 ,4510 ,6140 ,2690 ,1180 ,610 ,230 
206,熊本県,玉名市,24050 ,820 ,1560 ,2780 ,4330 ,5190 ,9060 ,4430 ,2320 ,2110 ,11270 ,7920 ,1020 ,300 ,2040 ,7850 ,530 ,7310 ,11270 ,6240 ,2890 ,2300 ,1000 
208,熊本県,山鹿市,19310 ,200 ,1180 ,2030 ,2830 ,4980 ,8090 ,4040 ,2110 ,1920 ,8420 ,5440 ,840 ,250 ,1890 ,5840 ,0 ,5840 ,9670 ,5490 ,1960 ,1350 ,690 
210,熊本県,菊池市,16450 ,210 ,1040 ,1950 ,2680 ,4420 ,5910 ,3310 ,1930 ,1380 ,7640 ,5150 ,700 ,200 ,1580 ,4780 ,0 ,4780 ,7200 ,4370 ,2310 ,1500 ,760 
211,熊本県,宇土市,13040 ,100 ,1230 ,2020 ,2400 ,2740 ,4540 ,2360 ,1030 ,1330 ,6240 ,4330 ,620 ,140 ,1150 ,3470 ,0 ,3470 ,5650 ,3800 ,1740 ,1170 ,490 
212,熊本県,上天草市,10570 ,90 ,430 ,940 ,1680 ,2620 ,4710 ,2050 ,900 ,1160 ,4250 ,2880 ,390 ,160 ,830 ,4000 ,10 ,3990 ,5960 ,2530 ,1200 ,470 ,300 
213,熊本県,宇城市,20660 ,310 ,1430 ,2180 ,3360 ,4880 ,8500 ,4030 ,2120 ,1910 ,9330 ,5850 ,1100 ,340 ,2030 ,6510 ,60 ,6450 ,9370 ,5760 ,2510 ,1720 ,1040 
214,熊本県,阿蘇市,9980 ,100 ,530 ,1120 ,1470 ,2600 ,4040 ,2140 ,970 ,1170 ,4640 ,3060 ,480 ,130 ,960 ,3020 ,0 ,3020 ,5040 ,2630 ,1030 ,800 ,360 
215,熊本県,天草市,33030 ,210 ,1650 ,3190 ,4910 ,7830 ,15170 ,6510 ,2710 ,3800 ,13410 ,8950 ,1640 ,350 ,2470 ,12780 ,20 ,12770 ,19310 ,7510 ,3510 ,1800 ,760 
216,熊本県,合志市,19390 ,140 ,2180 ,3140 ,3400 ,4380 ,6090 ,2070 ,530 ,1540 ,10850 ,7400 ,1550 ,360 ,1540 ,5290 ,30 ,5250 ,6740 ,6000 ,3170 ,2410 ,940 
368,熊本県,長洲町,5770 ,40 ,270 ,610 ,810 ,1540 ,2500 ,640 ,230 ,410 ,2850 ,2100 ,220 ,100 ,430 ,2010 ,10 ,2000 ,2440 ,1550 ,940 ,550 ,260 
403,熊本県,大津町,11770 ,470 ,1760 ,1780 ,2350 ,2090 ,2920 ,1430 ,580 ,850 ,6760 ,5060 ,620 ,270 ,790 ,2380 ,20 ,2360 ,4450 ,2940 ,2150 ,1130 ,520 
404,熊本県,菊陽町,15600 ,360 ,2410 ,3360 ,2810 ,2860 ,3460 ,1230 ,200 ,1020 ,7610 ,5550 ,970 ,320 ,760 ,3020 ,30 ,2980 ,4910 ,4180 ,2890 ,2110 ,610 
441,熊本県,御船町,5880 ,90 ,530 ,800 ,930 ,1360 ,2180 ,1130 ,450 ,690 ,2970 ,1860 ,430 ,160 ,520 ,1770 ,0 ,1770 ,2690 ,1650 ,820 ,590 ,130 
443,熊本県,益城町,10720 ,20 ,1160 ,2210 ,1840 ,2230 ,3230 ,1720 ,590 ,1130 ,5840 ,4210 ,990 ,90 ,560 ,2910 ,0 ,2910 ,3530 ,3620 ,1960 ,1070 ,490 
447,熊本県,山都町,5600 ,50 ,220 ,370 ,820 ,1680 ,2440 ,1890 ,1380 ,500 ,2060 ,1320 ,280 ,80 ,380 ,1590 ,0 ,1590 ,3020 ,1560 ,520 ,310 ,160 
482,熊本県,芦北町,6540 ,50 ,340 ,690 ,980 ,1620 ,2860 ,1320 ,820 ,500 ,2900 ,1900 ,320 ,70 ,610 ,2270 ,0 ,2270 ,3220 ,1790 ,870 ,480 ,180 
514,熊本県,あさぎり町,5290 ,10 ,220 ,560 ,1050 ,1510 ,1930 ,1230 ,700 ,530 ,2490 ,1580 ,300 ,120 ,490 ,1530 ,0 ,1530 ,2600 ,1340 ,730 ,370 ,240 
