ID,県,市区町村,普通世帯総数,25歳未満,25〜34歳,35〜44,45〜54,55〜64,65歳以上,自営業主,農林・漁業業主,商工・その他の業主,雇用者,会社・団体・公社又は個人に雇われている者,官公庁,労働者派遣事業所の派遣社員,パート・アルバイト・その他,無職,学生,その他,300万円未満,300〜500,500〜700,700〜1000,1000万円以上
201 ,石川県,金沢市,194940 ,14570 ,19900 ,30140 ,27030 ,30390 ,53470 ,19680 ,1490 ,18190 ,91650 ,65160 ,8170 ,2370 ,15940 ,50010 ,9870 ,40140 ,68340 ,48610 ,29950 ,17830 ,11290 
202 ,石川県,七尾市,20010 ,210 ,810 ,2010 ,3150 ,5160 ,8330 ,3660 ,870 ,2790 ,9650 ,6450 ,930 ,250 ,2010 ,5770 ,60 ,5710 ,8510 ,5060 ,3210 ,1910 ,990 
203 ,石川県,小松市,36680 ,250 ,2370 ,5470 ,7230 ,7880 ,12390 ,5290 ,620 ,4660 ,20600 ,14640 ,1820 ,650 ,3490 ,8420 ,20 ,8410 ,10620 ,10410 ,6780 ,4890 ,2920 
204 ,石川県,輪島市,10870 ,30 ,280 ,780 ,1450 ,2710 ,5580 ,2720 ,980 ,1740 ,3810 ,2430 ,540 ,70 ,770 ,4010 ,10 ,4000 ,5950 ,2870 ,1020 ,640 ,350 
205 ,石川県,珠洲市,5900 ,10 ,120 ,410 ,710 ,1390 ,3260 ,1330 ,700 ,630 ,2250 ,1390 ,370 ,50 ,440 ,2250 ,0 ,2250 ,3030 ,1390 ,750 ,510 ,210 
206 ,石川県,加賀市,25760 ,220 ,1320 ,3570 ,3910 ,5420 ,9950 ,4350 ,710 ,3640 ,11930 ,7970 ,820 ,430 ,2710 ,6850 ,10 ,6840 ,10110 ,6840 ,3800 ,2290 ,1330 
207 ,石川県,羽咋市,7730 ,50 ,300 ,910 ,1170 ,1930 ,3320 ,1430 ,400 ,1030 ,3690 ,2510 ,430 ,110 ,640 ,2400 ,0 ,2400 ,2650 ,2150 ,1300 ,960 ,620 
209 ,石川県,かほく市,11190 ,190 ,560 ,1910 ,1980 ,2400 ,4020 ,1540 ,150 ,1390 ,6090 ,4410 ,510 ,160 ,1020 ,3080 ,80 ,3010 ,3470 ,3320 ,2110 ,1420 ,770 
210 ,石川県,白山市,36570 ,520 ,2160 ,6540 ,6670 ,8250 ,11200 ,4390 ,810 ,3580 ,21880 ,15920 ,1740 ,360 ,3860 ,8250 ,300 ,7950 ,9150 ,11020 ,7250 ,5110 ,2790 
211 ,石川県,能美市,15980 ,180 ,1280 ,2900 ,3240 ,3330 ,4870 ,2000 ,260 ,1740 ,9350 ,7240 ,670 ,180 ,1260 ,3680 ,50 ,3630 ,4010 ,4630 ,3840 ,2110 ,1240 
212 ,石川県,野々市市,24300 ,4080 ,2730 ,3950 ,2900 ,3100 ,3930 ,1740 ,100 ,1640 ,11220 ,9020 ,600 ,300 ,1300 ,5910 ,3110 ,2810 ,8290 ,5620 ,3290 ,2330 ,1360 
361 ,石川県,津幡町,12010 ,70 ,770 ,2400 ,2770 ,2590 ,3120 ,1450 ,320 ,1140 ,7480 ,5490 ,740 ,230 ,1020 ,2310 ,40 ,2280 ,2920 ,3310 ,2720 ,1790 ,960 
365 ,石川県,内灘町,9580 ,260 ,580 ,1540 ,1740 ,1830 ,2520 ,880 ,20 ,860 ,5200 ,3950 ,490 ,170 ,590 ,2150 ,280 ,1870 ,2570 ,2430 ,1570 ,1290 ,590 
384 ,石川県,志賀町,6770 ,30 ,350 ,680 ,910 ,1880 ,2830 ,1080 ,460 ,630 ,3470 ,2490 ,330 ,40 ,600 ,2000 ,0 ,2000 ,2480 ,1830 ,1090 ,840 ,440 
407 ,石川県,中能登町,6420 ,10 ,270 ,670 ,1080 ,1620 ,2690 ,780 ,190 ,590 ,3250 ,2250 ,300 ,60 ,640 ,1790 ,0 ,1790 ,2480 ,1870 ,920 ,730 ,330 
463 ,石川県,能登町,7150 ,0 ,160 ,330 ,770 ,2160 ,3710 ,1650 ,700 ,950 ,2580 ,1810 ,240 ,120 ,400 ,2740 ,0 ,2740 ,3690 ,1690 ,750 ,620 ,400 
