ID,県,市区町村,普通世帯総数,25歳未満,25〜34歳,35〜44,45〜54,55〜64,65歳以上,自営業主,農林・漁業業主,商工・その他の業主,雇用者,会社・団体・公社又は個人に雇われている者,官公庁,労働者派遣事業所の派遣社員,パート・アルバイト・その他,無職,学生,その他,300万円未満,300〜500,500〜700,700〜1000,1000万円以上
100,神奈川県,横浜市,1588170 ,39040 ,157670 ,276580 ,288960 ,271340 ,469890 ,107470 ,3090 ,104380 ,713390 ,552120 ,37930 ,21650 ,101690 ,313550 ,9500 ,304050 ,413790 ,422540 ,282980 ,232160 ,159950 
101,神奈川県,鶴見区,125500 ,2050 ,14370 ,22860 ,21480 ,21920 ,33230 ,9350 ,120 ,9230 ,57280 ,45520 ,1870 ,1800 ,8100 ,18780 ,330 ,18450 ,34310 ,32660 ,22560 ,17910 ,9460 
102,神奈川県,神奈川区,113560 ,7140 ,16100 ,18530 ,18790 ,17960 ,27020 ,7060 ,230 ,6830 ,47320 ,36260 ,1920 ,2150 ,7000 ,20230 ,2770 ,17470 ,33810 ,30980 ,16980 ,15050 ,9110 
103,神奈川県,西区,50880 ,1860 ,7540 ,10070 ,8140 ,7330 ,11790 ,2590 ,10 ,2580 ,19860 ,15100 ,1220 ,730 ,2810 ,7300 ,180 ,7110 ,12580 ,13280 ,8610 ,7560 ,4710 
104,神奈川県,中区,70550 ,650 ,8200 ,14880 ,13620 ,10830 ,18940 ,5130 ,70 ,5060 ,25940 ,19940 ,1200 ,760 ,4040 ,9450 ,220 ,9230 ,20230 ,18260 ,10640 ,10420 ,7710 
105,神奈川県,南区,91170 ,2520 ,8280 ,14420 ,14980 ,16750 ,28140 ,6000 ,50 ,5950 ,38400 ,27830 ,2140 ,1770 ,6660 ,17430 ,230 ,17200 ,30600 ,25280 ,14550 ,10520 ,4800 
106,神奈川県,保土ケ谷区,90040 ,3930 ,9300 ,13010 ,16510 ,14900 ,28210 ,6380 ,100 ,6280 ,41510 ,30590 ,2380 ,1240 ,7290 ,20620 ,1100 ,19520 ,28300 ,25800 ,14490 ,10080 ,7610 
107,神奈川県,磯子区,70740 ,940 ,6420 ,10520 ,11430 ,13400 ,25400 ,4950 ,0 ,4950 ,32070 ,24210 ,1870 ,1200 ,4790 ,16150 ,90 ,16070 ,20810 ,20350 ,12240 ,9380 ,5850 
108,神奈川県,金沢区,86040 ,2750 ,4270 ,11280 ,14760 ,16210 ,29280 ,4510 ,40 ,4470 ,31170 ,21970 ,3070 ,810 ,5320 ,18520 ,740 ,17770 ,20420 ,22330 ,15560 ,12090 ,8550 
109,神奈川県,港北区,160910 ,6790 ,19840 ,31790 ,30300 ,22500 ,36640 ,9880 ,320 ,9560 ,72750 ,59210 ,2320 ,2470 ,8750 ,23520 ,1560 ,21950 ,37240 ,41060 ,28990 ,24550 ,16950 
110,神奈川県,戸塚区,110130 ,2280 ,10970 ,20530 ,19150 ,19400 ,33990 ,7210 ,230 ,6980 ,51520 ,41710 ,2170 ,1340 ,6300 ,24570 ,780 ,23790 ,27970 ,28690 ,20790 ,17510 ,11690 
111,神奈川県,港南区,91230 ,580 ,7960 ,14550 ,15930 ,16310 ,33140 ,5870 ,170 ,5700 ,44100 ,32420 ,3770 ,1220 ,6690 ,22660 ,0 ,22660 ,23100 ,26880 ,17140 ,13750 ,8150 
112,神奈川県,旭区,99980 ,1270 ,6680 ,15200 ,16560 ,18080 ,38030 ,7270 ,210 ,7060 ,42520 ,30870 ,3170 ,1320 ,7170 ,26090 ,90 ,26000 ,27030 ,30040 ,18110 ,13540 ,7900 
