ID,県,市区町村,普通世帯総数,25歳未満,25〜34歳,35〜44,45〜54,55〜64,65歳以上,自営業主,農林・漁業業主,商工・その他の業主,雇用者,会社・団体・公社又は個人に雇われている者,官公庁,労働者派遣事業所の派遣社員,パート・アルバイト・その他,無職,学生,その他,300万円未満,300〜500,500〜700,700〜1000,1000万円以上
201,福井県,福井市,93280 ,4210 ,8280 ,15960 ,15220 ,19250 ,29320 ,11730 ,1370 ,10350 ,47350 ,34040 ,4280 ,1160 ,7860 ,22170 ,2190 ,19980 ,30310 ,25950 ,15380 ,12010 ,7270 
202,福井県,敦賀市,26170 ,450 ,2240 ,4170 ,4870 ,5120 ,7770 ,2440 ,270 ,2160 ,14050 ,10320 ,1300 ,210 ,2220 ,5870 ,30 ,5850 ,7830 ,7860 ,4770 ,2970 ,1230 
204,福井県,小浜市,10990 ,220 ,820 ,1300 ,2010 ,2580 ,3730 ,1780 ,350 ,1430 ,5680 ,4090 ,490 ,120 ,970 ,2810 ,80 ,2730 ,3930 ,3090 ,1700 ,1310 ,620 
205,福井県,大野市,9890 ,40 ,340 ,860 ,1650 ,2690 ,4280 ,2370 ,890 ,1470 ,4790 ,3260 ,570 ,160 ,810 ,2370 ,0 ,2370 ,3190 ,2790 ,1720 ,1380 ,750 
206,福井県,勝山市,7440 ,20 ,250 ,760 ,1030 ,2000 ,3380 ,1300 ,460 ,850 ,3510 ,2460 ,360 ,70 ,620 ,2440 ,0 ,2440 ,2490 ,2020 ,1310 ,990 ,620 
207,福井県,鯖江市,20770 ,160 ,1550 ,3700 ,3500 ,4200 ,7260 ,3340 ,270 ,3070 ,11180 ,8350 ,820 ,180 ,1830 ,4830 ,10 ,4820 ,6010 ,6330 ,3580 ,2970 ,1440 
208,福井県,あわら市,9710 ,80 ,440 ,1100 ,1860 ,2650 ,3460 ,1430 ,470 ,970 ,5260 ,3560 ,450 ,130 ,1120 ,2090 ,0 ,2090 ,3070 ,2390 ,1700 ,1440 ,870 
209,福井県,越前市,28060 ,520 ,2360 ,4260 ,5220 ,6550 ,8920 ,4100 ,670 ,3420 ,15610 ,11460 ,1150 ,680 ,2320 ,6210 ,90 ,6120 ,8370 ,8200 ,5000 ,3970 ,2210 
210,福井県,坂井市,27080 ,120 ,1520 ,5010 ,5190 ,6560 ,8500 ,4340 ,1050 ,3300 ,15980 ,11800 ,1380 ,350 ,2450 ,5060 ,30 ,5030 ,6970 ,7760 ,5800 ,4030 ,2190 
322,福井県,永平寺町,6910 ,960 ,260 ,360 ,1430 ,1330 ,2450 ,1090 ,180 ,910 ,3120 ,2110 ,360 ,90 ,570 ,2450 ,1000 ,1460 ,2780 ,1550 ,990 ,1000 ,480 
423,福井県,越前町,6570 ,30 ,280 ,790 ,1320 ,1970 ,2170 ,1330 ,330 ,1000 ,3590 ,2650 ,280 ,50 ,620 ,1530 ,0 ,1530 ,1910 ,1830 ,1200 ,990 ,630 
501,福井県,若狭町,4750 ,20 ,330 ,550 ,860 ,1350 ,1640 ,940 ,370 ,580 ,2890 ,1950 ,350 ,50 ,540 ,920 ,0 ,920 ,1250 ,1370 ,880 ,790 ,460 
