ID,県,市区町村,普通世帯総数,25歳未満,25〜34歳,35〜44,45〜54,55〜64,65歳以上,自営業主,農林・漁業業主,商工・その他の業主,雇用者,会社・団体・公社又は個人に雇われている者,官公庁,労働者派遣事業所の派遣社員,パート・アルバイト・その他,無職,学生,その他,300万円未満,300〜500,500〜700,700〜1000,1000万円以上
100,福岡県,北九州市,424640 ,15730 ,35500 ,60540 ,59090 ,79990 ,155240 ,33850 ,1180 ,32670 ,178960 ,125150 ,12390 ,6390 ,35040 ,120640 ,5790 ,114850 ,192570 ,111780 ,55740 ,31770 ,16860 
101,福岡県,門司区,44000 ,330 ,2370 ,5370 ,5410 ,8980 ,19910 ,3340 ,110 ,3230 ,18720 ,12180 ,1330 ,700 ,4530 ,15360 ,30 ,15330 ,21460 ,11700 ,5470 ,2600 ,1520 
103,福岡県,若松区,33360 ,770 ,2580 ,4670 ,4650 ,6680 ,13140 ,2910 ,310 ,2600 ,15730 ,11510 ,1110 ,390 ,2720 ,11090 ,490 ,10600 ,13570 ,9230 ,4510 ,3410 ,1740 
105,福岡県,戸畑区,27790 ,1930 ,2230 ,3460 ,3670 ,5340 ,9610 ,2090 ,30 ,2060 ,11680 ,8130 ,670 ,430 ,2440 ,9190 ,1230 ,7960 ,13510 ,6530 ,3650 ,1840 ,910 
106,福岡県,小倉北区,88750 ,3880 ,7620 ,13060 ,12830 ,17350 ,28490 ,7610 ,70 ,7530 ,33790 ,21870 ,2180 ,1420 ,8330 ,20750 ,830 ,19920 ,43560 ,21210 ,9340 ,6250 ,3440 
107,福岡県,小倉南区,89220 ,4210 ,8090 ,15110 ,13270 ,16070 ,29630 ,7260 ,530 ,6740 ,41120 ,29670 ,3170 ,1430 ,6860 ,21600 ,1350 ,20250 ,37490 ,25240 ,13890 ,7010 ,3280 
108,福岡県,八幡東区,31780 ,1070 ,2160 ,3410 ,3830 ,6170 ,13950 ,2790 ,20 ,2760 ,11510 ,7710 ,790 ,370 ,2640 ,10810 ,300 ,10510 ,15390 ,8450 ,3470 ,2120 ,1280 
109,福岡県,八幡西区,109730 ,3540 ,10460 ,15470 ,15440 ,19390 ,40510 ,7850 ,110 ,7740 ,46410 ,34090 ,3150 ,1650 ,7520 ,31840 ,1550 ,30290 ,47600 ,29410 ,15410 ,8550 ,4680 
130,福岡県,福岡市,745940 ,61500 ,105300 ,129770 ,119410 ,117730 ,171910 ,53100 ,1810 ,51290 ,295390 ,210360 ,18730 ,10270 ,56030 ,143260 ,17370 ,125890 ,329970 ,189610 ,91940 ,62200 ,35070 
131,福岡県,東区,142130 ,13250 ,15960 ,24660 ,21340 ,23650 ,35840 ,8570 ,310 ,8260 ,59240 ,40080 ,5200 ,1590 ,12380 ,32760 ,5240 ,27520 ,62200 ,37890 ,18030 ,12210 ,5110 
132,福岡県,博多区,135730 ,15960 ,25310 ,21450 ,19470 ,18190 ,24150 ,6060 ,40 ,6020 ,45560 ,31010 ,1970 ,2270 ,10310 ,18210 ,2100 ,16110 ,69680 ,33230 ,13600 ,6730 ,2030 
133,福岡県,中央区,111100 ,6510 ,21800 ,20760 ,18580 ,16230 ,21970 ,8200 ,80 ,8130 ,39290 ,28710 ,1810 ,1740 ,7030 ,15860 ,1290 ,14570 ,48210 ,28410 ,12800 ,8840 ,8000 
134,福岡県,南区,115480 ,4930 ,15030 ,21390 ,19300 ,18370 ,29350 ,10350 ,150 ,10200 ,46570 ,33900 ,2230 ,1780 ,8660 ,21830 ,1100 ,20730 ,48460 ,30470 ,14400 ,10170 ,5180 
135,福岡県,西区,86280 ,7150 ,10190 ,15430 ,13070 ,14650 ,22740 ,6600 ,790 ,5810 ,35850 ,27270 ,2360 ,870 ,5350 ,20230 ,2630 ,17600 ,34630 ,22680 ,13390 ,8700 ,4070 
136,福岡県,城南区,63320 ,9150 ,6200 ,9580 ,9440 ,10400 ,15350 ,5050 ,110 ,4930 ,24810 ,17220 ,1760 ,890 ,4940 ,15790 ,3650 ,12130 ,31320 ,13920 ,6660 ,5070 ,3670 
137,福岡県,早良区,91890 ,4540 ,10820 ,16490 ,18220 ,16240 ,22520 ,8280 ,340 ,7940 ,44070 ,32170 ,3400 ,1130 ,7370 ,18590 ,1370 ,17220 ,35480 ,23010 ,13060 ,10490 ,7030 
202,福岡県,大牟田市,49120 ,840 ,3400 ,5560 ,6280 ,10080 ,20300 ,4540 ,410 ,4130 ,21570 ,15400 ,1270 ,550 ,4350 ,18450 ,10 ,18430 ,25220 ,11940 ,4820 ,3060 ,1690 
203,福岡県,久留米市,120080 ,4210 ,11710 ,18490 ,18550 ,23770 ,34260 ,14300 ,3480 ,10820 ,56590 ,39120 ,5540 ,1370 ,10560 ,27620 ,1330 ,26290 ,49350 ,31430 ,15020 ,9700 ,5850 
204,福岡県,直方市,21870 ,140 ,1710 ,2690 ,2890 ,4610 ,9290 ,2190 ,200 ,1990 ,9890 ,6840 ,790 ,260 ,2000 ,8000 ,0 ,8000 ,10560 ,6020 ,2740 ,1430 ,600 
205,福岡県,飯塚市,54250 ,2440 ,4780 ,6990 ,6840 ,11590 ,19230 ,4970 ,530 ,4450 ,25130 ,16610 ,2160 ,990 ,5370 ,19570 ,1860 ,17700 ,27500 ,13170 ,6100 ,3490 ,1660 
206,福岡県,田川市,21210 ,510 ,1480 ,2270 ,2820 ,4550 ,8920 ,2370 ,210 ,2150 ,8810 ,5610 ,770 ,340 ,2090 ,8010 ,260 ,7740 ,12540 ,4630 ,1650 ,1010 ,550 
207,福岡県,柳川市,22530 ,600 ,1150 ,2290 ,3900 ,5560 ,8800 ,4220 ,1940 ,2270 ,9840 ,6810 ,880 ,370 ,1780 ,6480 ,290 ,6190 ,9790 ,6690 ,3480 ,1590 ,780 
210,福岡県,八女市,22240 ,140 ,1240 ,2460 ,3650 ,5170 ,9190 ,6030 ,3090 ,2940 ,8930 ,6060 ,1070 ,220 ,1580 ,5710 ,0 ,5710 ,10560 ,5960 ,2510 ,1810 ,1010 
211,福岡県,筑後市,17240 ,210 ,1770 ,2700 ,2780 ,3850 ,5770 ,2480 ,720 ,1760 ,9070 ,6180 ,910 ,310 ,1670 ,4420 ,30 ,4390 ,7200 ,5140 ,2530 ,1530 ,680 
212,福岡県,大川市,11720 ,380 ,460 ,1200 ,1850 ,2960 ,4680 ,2590 ,630 ,1950 ,5140 ,3660 ,400 ,80 ,1000 ,3330 ,140 ,3190 ,5600 ,3240 ,1480 ,740 ,490 
213,福岡県,行橋市,28710 ,490 ,2600 ,3690 ,4790 ,5870 ,10970 ,2700 ,620 ,2080 ,13610 ,9130 ,1530 ,530 ,2420 ,9520 ,20 ,9500 ,11960 ,8770 ,4250 ,2530 ,890 
214,福岡県,豊前市,9950 ,60 ,380 ,1130 ,1290 ,2190 ,4670 ,1090 ,380 ,710 ,4400 ,3040 ,520 ,90 ,750 ,3970 ,0 ,3970 ,4360 ,2640 ,1470 ,860 ,430 
215,福岡県,中間市,18060 ,120 ,1090 ,1780 ,2200 ,3560 ,8400 ,1470 ,50 ,1430 ,7260 ,4860 ,460 ,240 ,1690 ,7440 ,10 ,7440 ,8770 ,4700 ,1990 ,1240 ,460 
216,福岡県,小郡市,21010 ,480 ,1170 ,2830 ,3440 ,5220 ,7200 ,1850 ,610 ,1250 ,10640 ,7350 ,1220 ,260 ,1810 ,6740 ,100 ,6640 ,7160 ,6370 ,3280 ,2470 ,1060 
217,福岡県,筑紫野市,40920 ,1110 ,4170 ,7200 ,6300 ,8460 ,11750 ,3240 ,410 ,2830 ,21470 ,15210 ,2460 ,440 ,3360 ,9490 ,120 ,9370 ,13240 ,12790 ,6450 ,4510 ,1990 
218,福岡県,春日市,42420 ,650 ,4440 ,6680 ,8410 ,9190 ,11740 ,4300 ,40 ,4260 ,21280 ,14990 ,2150 ,690 ,3450 ,9490 ,180 ,9310 ,14540 ,13090 ,6720 ,4780 ,1960 
219,福岡県,大野城市,38180 ,1070 ,4720 ,8210 ,7320 ,6640 ,9580 ,3210 ,50 ,3160 ,20630 ,14750 ,1990 ,690 ,3200 ,8510 ,190 ,8330 ,12690 ,11440 ,6510 ,4440 ,1880 
220,福岡県,宗像市,38420 ,2260 ,2970 ,4930 ,5650 ,8090 ,12880 ,3010 ,730 ,2280 ,17650 ,11960 ,2380 ,380 ,2930 ,11900 ,1040 ,10850 ,14190 ,10420 ,6250 ,4280 ,1770 
221,福岡県,太宰府市,28450 ,1140 ,2780 ,4300 ,4200 ,5110 ,9570 ,2280 ,60 ,2210 ,13290 ,9470 ,1100 ,310 ,2410 ,8110 ,360 ,7750 ,10410 ,8950 ,4240 ,2400 ,1260 
223,福岡県,古賀市,22260 ,310 ,1850 ,3580 ,3680 ,5420 ,6940 ,2060 ,180 ,1880 ,11790 ,8140 ,1150 ,190 ,2300 ,6210 ,10 ,6200 ,7520 ,7010 ,3810 ,2330 ,1140 
224,福岡県,福津市,22110 ,320 ,1770 ,3360 ,3080 ,4590 ,8530 ,2090 ,430 ,1660 ,11130 ,7600 ,1180 ,280 ,2080 ,7130 ,30 ,7100 ,7820 ,7210 ,3610 ,2180 ,830 
225,福岡県,うきは市,9540 ,50 ,600 ,1040 ,1270 ,2660 ,3920 ,2230 ,1170 ,1060 ,4320 ,2920 ,410 ,80 ,910 ,2720 ,0 ,2720 ,4020 ,2770 ,1450 ,800 ,450 
226,福岡県,宮若市,10670 ,30 ,760 ,1210 ,1240 ,2970 ,4310 ,1390 ,530 ,860 ,4910 ,3380 ,400 ,100 ,1040 ,3460 ,0 ,3460 ,4800 ,2790 ,1640 ,1010 ,300 
227,福岡県,嘉麻市,16010 ,60 ,840 ,1680 ,2130 ,3870 ,7250 ,2020 ,570 ,1450 ,6410 ,3990 ,570 ,210 ,1640 ,6660 ,0 ,6660 ,9520 ,3730 ,1380 ,850 ,350 
228,福岡県,朝倉市,19390 ,130 ,1070 ,1730 ,2740 ,5260 ,7520 ,4290 ,2060 ,2230 ,8180 ,5230 ,750 ,340 ,1860 ,5010 ,0 ,5010 ,7900 ,5340 ,2860 ,1730 ,730 
229,福岡県,みやま市,12800 ,30 ,460 ,1260 ,1800 ,3420 ,5680 ,3060 ,1640 ,1420 ,5530 ,3800 ,540 ,170 ,1020 ,3810 ,0 ,3810 ,5770 ,3550 ,1740 ,1100 ,500 
230,福岡県,糸島市,34400 ,390 ,2180 ,4930 ,6280 ,8340 ,11740 ,5490 ,1710 ,3770 ,16670 ,11300 ,1460 ,670 ,3240 ,9110 ,170 ,8940 ,13780 ,9860 ,5260 ,3560 ,1320 
