ID,県,市区町村,普通世帯総数,25歳未満,25〜34歳,35〜44,45〜54,55〜64,65歳以上,自営業主,農林・漁業業主,商工・その他の業主,雇用者,会社・団体・公社又は個人に雇われている者,官公庁,労働者派遣事業所の派遣社員,パート・アルバイト・その他,無職,学生,その他,300万円未満,300〜500,500〜700,700〜1000,1000万円以上
201,福島県,福島市,115380 ,4130 ,9600 ,16430 ,20530 ,24060 ,36190 ,12120 ,3200 ,8920 ,57700 ,39240 ,7060 ,2520 ,8880 ,31120 ,2000 ,29120 ,45860 ,32500 ,16710 ,10770 ,6020 
202,福島県,会津若松市,47260 ,980 ,3660 ,6100 ,7680 ,11530 ,16100 ,6790 ,1870 ,4920 ,21760 ,15060 ,2210 ,610 ,3880 ,12920 ,200 ,12710 ,20570 ,12620 ,6500 ,4010 ,2120 
203,福島県,郡山市,133530 ,5650 ,12130 ,19850 ,21780 ,27010 ,34720 ,14370 ,2680 ,11690 ,61680 ,43990 ,4690 ,2620 ,10390 ,30980 ,3220 ,27760 ,49890 ,35270 ,18430 ,11750 ,6120 
204,福島県,いわき市,123800 ,2020 ,8900 ,15570 ,23200 ,25910 ,40840 ,13550 ,2280 ,11270 ,61000 ,44770 ,4150 ,2330 ,9760 ,34940 ,480 ,34460 ,46970 ,34910 ,18510 ,10660 ,5290 
205,福島県,白河市,22310 ,290 ,1700 ,3300 ,4040 ,5890 ,6590 ,3030 ,830 ,2200 ,11620 ,8310 ,930 ,520 ,1870 ,5140 ,20 ,5120 ,9180 ,5850 ,3410 ,2370 ,1020 
207,福島県,須賀川市,25340 ,440 ,1960 ,3820 ,4630 ,7020 ,7230 ,4050 ,1370 ,2670 ,13450 ,9700 ,1410 ,370 ,1970 ,5760 ,10 ,5750 ,8660 ,7570 ,4570 ,2860 ,1380 
208,福島県,喜多方市,17020 ,80 ,1130 ,1800 ,2900 ,4320 ,6460 ,3570 ,1770 ,1790 ,8040 ,5770 ,880 ,240 ,1150 ,4430 ,30 ,4400 ,7040 ,4740 ,2500 ,1620 ,800 
209,福島県,相馬市,12980 ,220 ,1050 ,1520 ,2250 ,3440 ,4330 ,2040 ,700 ,1340 ,6940 ,4810 ,590 ,330 ,1210 ,2970 ,10 ,2950 ,4690 ,4170 ,2180 ,1180 ,590 
210,福島県,二本松市,18000 ,150 ,930 ,2020 ,3500 ,5130 ,6200 ,3140 ,1290 ,1850 ,9900 ,7060 ,890 ,550 ,1410 ,4640 ,0 ,4640 ,7140 ,4960 ,2810 ,1960 ,1050 
211,福島県,田村市,11530 ,60 ,480 ,960 ,2300 ,3500 ,4090 ,2550 ,1050 ,1500 ,5960 ,4030 ,620 ,310 ,1000 ,2850 ,0 ,2850 ,4720 ,3190 ,1810 ,1130 ,540 
