ID,県,市区町村,普通世帯総数,25歳未満,25〜34歳,35〜44歳,45〜54歳,55〜64歳,65歳以上,自営業主,農林・漁業業主,商工・その他の業主,雇用者,会社・団体・公社又は個人に雇われている者,官公庁,労働者派遣事業所の派遣社員,パート・アルバイト・その他,無職,学生,その他,300万円未満,300〜500万円,500〜700万円,700〜1000万円,1000万円以上
201,秋田県,秋田市,138620 ,8460 ,10720 ,18040 ,21200 ,27020 ,43520 ,11800 ,1770 ,10030 ,66220 ,45000 ,9370 ,1450 ,10400 ,41890 ,5310 ,36580 ,56980 ,35060 ,20850 ,11920 ,4990 
202,秋田県,能代市,22410 ,120 ,1070 ,2270 ,3400 ,5470 ,9880 ,3230 ,930 ,2310 ,9620 ,6240 ,990 ,240 ,2150 ,7970 ,40 ,7930 ,11660 ,6190 ,2350 ,1340 ,710 
203,秋田県,横手市,32090 ,370 ,1790 ,3360 ,5130 ,8900 ,11970 ,7020 ,3950 ,3070 ,16030 ,10850 ,1850 ,530 ,2800 ,8250 ,30 ,8220 ,13980 ,9030 ,4500 ,2790 ,1220 
204,秋田県,大館市,27880 ,310 ,1180 ,2970 ,4040 ,7040 ,11630 ,3360 ,1180 ,2180 ,13390 ,9310 ,1040 ,470 ,2580 ,10090 ,80 ,10020 ,12950 ,7250 ,3750 ,2260 ,940 
206,秋田県,男鹿市,11370 ,20 ,400 ,880 ,1420 ,2950 ,5550 ,1990 ,880 ,1100 ,4560 ,2760 ,530 ,210 ,1070 ,4110 ,0 ,4110 ,6340 ,2920 ,1170 ,500 ,290 
207,秋田県,湯沢市,16450 ,170 ,670 ,1550 ,3420 ,4920 ,5610 ,3710 ,1700 ,2020 ,7760 ,5390 ,540 ,350 ,1480 ,4210 ,10 ,4200 ,7850 ,4830 ,2000 ,1150 ,490 
209,秋田県,鹿角市,11710 ,130 ,690 ,1190 ,1530 ,2970 ,5160 ,1900 ,1000 ,890 ,5590 ,4040 ,470 ,190 ,910 ,4020 ,0 ,4020 ,5770 ,3380 ,1360 ,790 ,360 
210,秋田県,由利本荘市,26860 ,290 ,1450 ,3330 ,4570 ,6890 ,9730 ,5110 ,2250 ,2860 ,13000 ,9260 ,1250 ,410 ,2090 ,7540 ,130 ,7400 ,11680 ,7280 ,3920 ,2330 ,1090 
211,秋田県,潟上市,12210 ,320 ,660 ,1530 ,2000 ,3000 ,4490 ,1600 ,580 ,1030 ,6100 ,4210 ,570 ,300 ,1030 ,3780 ,180 ,3600 ,5800 ,3470 ,1500 ,810 ,400 
212,秋田県,大仙市,27120 ,110 ,1330 ,3200 ,4970 ,7300 ,9990 ,6160 ,3390 ,2770 ,13500 ,8850 ,1520 ,490 ,2640 ,6600 ,0 ,6600 ,11110 ,8070 ,4150 ,2450 ,1120 
213,秋田県,北秋田市,12170 ,100 ,530 ,990 ,1470 ,2980 ,5870 ,1810 ,770 ,1030 ,5480 ,3550 ,650 ,220 ,1060 ,4430 ,0 ,4430 ,6000 ,3240 ,1450 ,900 ,400 
214,秋田県,にかほ市,8760 ,100 ,520 ,920 ,1590 ,2180 ,3420 ,1510 ,750 ,760 ,4460 ,3490 ,280 ,90 ,600 ,2700 ,0 ,2700 ,3100 ,2830 ,1430 ,960 ,410 
215,秋田県,仙北市,9270 ,40 ,260 ,810 ,1360 ,2600 ,4200 ,2110 ,1130 ,980 ,4190 ,2720 ,510 ,180 ,780 ,2920 ,0 ,2920 ,4390 ,2850 ,1090 ,490 ,450 
348,秋田県,三種町,6290 ,10 ,90 ,390 ,1150 ,1870 ,2770 ,1560 ,820 ,740 ,2730 ,1860 ,210 ,110 ,550 ,1620 ,0 ,1620 ,3070 ,1680 ,830 ,410 ,270 
434,秋田県,美郷町,6360 ,0 ,210 ,580 ,1150 ,1980 ,2440 ,1570 ,1090 ,480 ,3230 ,2160 ,320 ,130 ,620 ,1560 ,0 ,1560 ,2720 ,1940 ,870 ,550 ,280 
463,秋田県,羽後町,4680 ,20 ,210 ,420 ,880 ,1640 ,1520 ,1230 ,760 ,470 ,2310 ,1640 ,350 ,50 ,270 ,1070 ,0 ,1070 ,1780 ,1480 ,750 ,490 ,180 
