ID,県,市町村区,普通世帯総数,25歳未満,25〜34歳,35〜44歳,45〜54歳,55〜64歳,65歳以上,自営業主,農林・漁業業主,商工・その他の業主,雇用者,会社・団体・公社又は個人に雇われている者,官公庁,労働者派遣事業所の派遣社員,パート・アルバイト・その他,無職,学生,その他,300万円未満,300〜500万円,500〜700万円,700〜1000万円,1000万円以上
201,群馬県,前橋市,131960 ,5160 ,11360 ,19440 ,21160 ,27500 ,43210 ,17440 ,2950 ,14490 ,62690 ,43180 ,6510 ,1990 ,11020 ,33930 ,1990 ,31940 ,49230 ,35210 ,19450 ,13420 ,7880 
202,群馬県,高崎市,151480 ,6500 ,15510 ,25660 ,22460 ,27540 ,49180 ,17160 ,2410 ,14750 ,70420 ,50960 ,4520 ,2070 ,12870 ,37660 ,2250 ,35410 ,55280 ,42830 ,24570 ,14560 ,8000 
203,群馬県,桐生市,45580 ,1500 ,2620 ,5860 ,6340 ,9020 ,19710 ,7160 ,540 ,6620 ,19920 ,13350 ,1510 ,730 ,4330 ,14310 ,550 ,13750 ,20950 ,12280 ,5470 ,3620 ,2240 
204,群馬県,伊勢崎市,77370 ,1790 ,9580 ,15080 ,12940 ,14190 ,22380 ,9930 ,2070 ,7860 ,39800 ,28590 ,2490 ,1980 ,6740 ,18030 ,590 ,17440 ,26540 ,23630 ,12710 ,7650 ,3710 
205,群馬県,太田市,80400 ,1980 ,8400 ,15380 ,13660 ,14800 ,23850 ,9740 ,2050 ,7700 ,43410 ,31840 ,2280 ,2380 ,6910 ,18980 ,490 ,18480 ,28520 ,23080 ,13390 ,8290 ,3960 
206,群馬県,沼田市,18990 ,340 ,1540 ,2430 ,3070 ,4360 ,7130 ,3350 ,1100 ,2250 ,9550 ,6510 ,860 ,300 ,1880 ,5110 ,20 ,5090 ,8230 ,5650 ,2710 ,1590 ,670 
207,群馬県,館林市,29390 ,560 ,2630 ,5030 ,4870 ,6070 ,9200 ,4130 ,980 ,3150 ,15620 ,11240 ,1040 ,580 ,2760 ,7180 ,130 ,7040 ,10290 ,8310 ,4960 ,2910 ,1500 
208,群馬県,渋川市,28330 ,340 ,1600 ,3040 ,4460 ,6680 ,11530 ,4660 ,1430 ,3220 ,13190 ,8640 ,1360 ,500 ,2690 ,8320 ,10 ,8310 ,11840 ,7450 ,4170 ,2770 ,1200 
209,群馬県,藤岡市,24080 ,380 ,1250 ,3470 ,4220 ,5970 ,8520 ,3230 ,720 ,2510 ,12620 ,8820 ,900 ,430 ,2480 ,6650 ,40 ,6610 ,8830 ,6950 ,4170 ,2650 ,960 
210,群馬県,富岡市,16650 ,100 ,1000 ,2500 ,2880 ,4130 ,5540 ,3000 ,860 ,2140 ,8800 ,6200 ,800 ,310 ,1490 ,4300 ,0 ,4300 ,6240 ,4810 ,2560 ,1580 ,950 
211,群馬県,安中市,22100 ,170 ,990 ,2860 ,3340 ,5040 ,8880 ,2720 ,660 ,2070 ,11000 ,7730 ,730 ,390 ,2150 ,6780 ,0 ,6780 ,8820 ,5920 ,3530 ,2020 ,1030 
212,群馬県,みどり市,18890 ,230 ,1930 ,3060 ,3020 ,3980 ,6270 ,3030 ,290 ,2740 ,10260 ,7220 ,630 ,370 ,2040 ,4470 ,130 ,4340 ,7000 ,5610 ,3360 ,1890 ,720 
345,群馬県,吉岡町,7130 ,100 ,620 ,1090 ,1290 ,1650 ,2040 ,800 ,320 ,470 ,4270 ,3150 ,510 ,50 ,570 ,1560 ,0 ,1560 ,2000 ,2330 ,1140 ,900 ,410 
421,群馬県,中之条町,6510 ,0 ,350 ,610 ,810 ,1760 ,2790 ,910 ,310 ,600 ,3110 ,1790 ,390 ,100 ,830 ,1850 ,0 ,1850 ,2510 ,1830 ,1130 ,700 ,180 
429,群馬県,東吾妻町,5190 ,80 ,330 ,400 ,890 ,1330 ,2160 ,1160 ,520 ,640 ,2630 ,1760 ,370 ,60 ,440 ,1360 ,0 ,1360 ,1920 ,1520 ,780 ,610 ,350 
449,群馬県,みなかみ町,7510 ,30 ,210 ,600 ,1210 ,2150 ,3270 ,1610 ,580 ,1020 ,3430 ,2020 ,340 ,150 ,920 ,2430 ,10 ,2420 ,3750 ,1920 ,850 ,650 ,310 
