ID,県,市区町村,普通世帯総数,25歳未満,25〜34歳,35〜44,45〜54,55〜64,65歳以上,自営業主,農林・漁業業主,商工・その他の業主,雇用者,会社・団体・公社又は個人に雇われている者,官公庁,労働者派遣事業所の派遣社員,パート・アルバイト・その他,無職,学生,その他,300万円未満,300〜500,500〜700,700〜1000,1000万円以上
201,茨城県,水戸市,115130 ,5450 ,10960 ,18550 ,17470 ,19100 ,34670 ,11910 ,2020 ,9890 ,53700 ,37850 ,5100 ,1660 ,9080 ,29530 ,2660 ,26860 ,41140 ,30650 ,17230 ,11460 ,6400 
202,茨城県,日立市,76520 ,3060 ,7080 ,10520 ,12160 ,14870 ,28650 ,6250 ,610 ,5650 ,35160 ,26200 ,1780 ,1490 ,5690 ,23200 ,1040 ,22170 ,29020 ,19780 ,11550 ,8720 ,4480 
203,茨城県,土浦市,56320 ,920 ,4420 ,8960 ,9110 ,11950 ,18950 ,5760 ,1030 ,4720 ,27260 ,18740 ,2060 ,1020 ,5440 ,14030 ,210 ,13820 ,20710 ,15720 ,8700 ,6080 ,3190 
204,茨城県,古河市,50480 ,910 ,3740 ,7610 ,8770 ,11640 ,15020 ,6170 ,800 ,5370 ,27560 ,19440 ,1930 ,990 ,5200 ,11000 ,60 ,10950 ,16150 ,14850 ,8330 ,5520 ,2670 
205,茨城県,石岡市,26540 ,300 ,1860 ,3730 ,4490 ,6710 ,8570 ,4330 ,1610 ,2710 ,13070 ,8820 ,1210 ,520 ,2520 ,5940 ,10 ,5930 ,9700 ,7600 ,4380 ,2620 ,1350 
207,茨城県,結城市,17180 ,200 ,1230 ,2490 ,2740 ,4450 ,5780 ,2680 ,730 ,1950 ,9330 ,6560 ,610 ,480 ,1680 ,4390 ,0 ,4390 ,5850 ,4910 ,2950 ,2110 ,1050 
208,茨城県,龍ケ崎市,30810 ,850 ,2390 ,4610 ,5000 ,6510 ,9790 ,3200 ,640 ,2570 ,15330 ,11000 ,1090 ,550 ,2690 ,7970 ,300 ,7670 ,10150 ,8360 ,4860 ,4050 ,1820 
210,茨城県,下妻市,14540 ,110 ,1000 ,2280 ,2710 ,3860 ,4420 ,2730 ,770 ,1960 ,8130 ,5680 ,570 ,300 ,1580 ,2840 ,0 ,2840 ,5230 ,4310 ,2340 ,1600 ,900 
211,茨城県,常総市,19470 ,150 ,1470 ,2820 ,3560 ,5150 ,6280 ,3510 ,870 ,2640 ,10790 ,7280 ,880 ,590 ,2040 ,4080 ,20 ,4060 ,6190 ,5770 ,3550 ,2280 ,1440 
212,茨城県,常陸太田市,18990 ,60 ,420 ,1870 ,2840 ,5140 ,8550 ,3090 ,1350 ,1740 ,9090 ,6490 ,1000 ,210 ,1380 ,6180 ,0 ,6170 ,7230 ,5260 ,3090 ,2320 ,1010 
214,茨城県,高萩市,11240 ,100 ,670 ,1170 ,1420 ,2890 ,4700 ,1370 ,280 ,1090 ,5070 ,3500 ,310 ,250 ,1010 ,3830 ,0 ,3830 ,4580 ,3280 ,1710 ,980 ,430 
215,茨城県,北茨城市,16510 ,180 ,900 ,1830 ,2920 ,4250 ,6330 ,2170 ,590 ,1580 ,8310 ,5870 ,510 ,380 ,1550 ,5250 ,0 ,5250 ,6870 ,4650 ,2470 ,1610 ,750 
216,茨城県,笠間市,27150 ,250 ,1700 ,3450 ,4490 ,6820 ,9520 ,4730 ,1350 ,3380 ,14420 ,9940 ,1470 ,460 ,2550 ,6740 ,0 ,6740 ,9860 ,7910 ,3810 ,3420 ,1260 
217,茨城県,取手市,42010 ,270 ,2440 ,6040 ,5840 ,8430 ,17080 ,3990 ,460 ,3520 ,20170 ,13880 ,1620 ,720 ,3940 ,13870 ,60 ,13810 ,13770 ,12010 ,6820 ,4960 ,2540 
219,茨城県,牛久市,32320 ,610 ,2710 ,5100 ,4710 ,6500 ,10360 ,2190 ,210 ,1980 ,15040 ,11340 ,1220 ,400 ,2080 ,7440 ,40 ,7400 ,8540 ,8800 ,5840 ,4770 ,2200 
220,茨城県,つくば市,90150 ,9560 ,11720 ,17520 ,15890 ,14390 ,15250 ,6640 ,1240 ,5400 ,40380 ,28590 ,4950 ,920 ,5920 ,14780 ,4400 ,10380 ,26210 ,22070 ,14980 ,14650 ,6410 
221,茨城県,ひたちなか市,60360 ,650 ,5210 ,11230 ,11280 ,10520 ,19170 ,5450 ,950 ,4500 ,33140 ,24590 ,2440 ,1210 ,4900 ,16980 ,50 ,16920 ,18970 ,17740 ,10010 ,7590 ,3760 
222,茨城県,鹿嶋市,24120 ,280 ,1850 ,3120 ,3580 ,5330 ,7810 ,2610 ,340 ,2260 ,12090 ,9090 ,830 ,500 ,1670 ,7050 ,0 ,7050 ,8150 ,6250 ,3630 ,2500 ,1400 
223,茨城県,潮来市,10020 ,100 ,510 ,1470 ,1780 ,2730 ,3220 ,1740 ,340 ,1400 ,5310 ,3710 ,450 ,160 ,1000 ,1910 ,10 ,1900 ,3610 ,3080 ,1700 ,1090 ,410 
224,茨城県,守谷市,23420 ,270 ,3170 ,4600 ,3710 ,5370 ,6110 ,1700 ,160 ,1540 ,13890 ,10720 ,1150 ,340 ,1680 ,4910 ,20 ,4890 ,4230 ,6830 ,4830 ,4220 ,2670 
225,茨城県,常陸大宮市,15410 ,160 ,890 ,1620 ,2330 ,4150 ,6160 ,2990 ,1260 ,1730 ,7490 ,5130 ,710 ,210 ,1440 ,4550 ,10 ,4540 ,6690 ,4200 ,2370 ,1310 ,740 
226,茨城県,那珂市,18690 ,90 ,1060 ,2690 ,2850 ,4820 ,7130 ,2970 ,1040 ,1940 ,10010 ,6910 ,1130 ,330 ,1640 ,5670 ,10 ,5650 ,6550 ,5270 ,3110 ,2490 ,1260 
227,茨城県,筑西市,35470 ,730 ,2750 ,4350 ,5700 ,8920 ,11170 ,5550 ,1850 ,3700 ,18110 ,13180 ,1020 ,720 ,3190 ,7940 ,0 ,7940 ,11770 ,10590 ,5880 ,3570 ,1820 
228,茨城県,坂東市,17000 ,30 ,1040 ,2380 ,2950 ,5080 ,5190 ,3690 ,1130 ,2560 ,8870 ,6280 ,520 ,390 ,1680 ,3330 ,20 ,3310 ,5160 ,5190 ,3060 ,1910 ,1170 
229,茨城県,稲敷市,14640 ,90 ,610 ,1510 ,2740 ,4410 ,5290 ,2960 ,1330 ,1640 ,7510 ,5000 ,580 ,350 ,1570 ,3500 ,0 ,3500 ,5500 ,4090 ,2400 ,1690 ,940 
230,茨城県,かすみがうら市,14380 ,200 ,1070 ,2360 ,2730 ,3450 ,4560 ,2400 ,1010 ,1390 ,8040 ,5430 ,550 ,450 ,1620 ,3120 ,30 ,3100 ,4730 ,4490 ,2480 ,1640 ,980 
231,茨城県,桜川市,13180 ,40 ,490 ,1330 ,2440 ,4050 ,4630 ,3030 ,840 ,2200 ,6510 ,4540 ,700 ,160 ,1110 ,2970 ,0 ,2970 ,4400 ,3630 ,2430 ,1640 ,880 
232,茨城県,神栖市,33000 ,310 ,3190 ,5240 ,5240 ,8180 ,8320 ,4530 ,1070 ,3460 ,18900 ,14000 ,860 ,970 ,3070 ,5880 ,10 ,5870 ,9480 ,9470 ,5560 ,4110 ,1980 
233,茨城県,行方市,10370 ,70 ,440 ,1080 ,1870 ,3380 ,3510 ,3640 ,2110 ,1520 ,4700 ,3120 ,500 ,210 ,860 ,1760 ,0 ,1760 ,3530 ,2920 ,1730 ,1330 ,830 
234,茨城県,鉾田市,15320 ,40 ,570 ,1600 ,2760 ,4780 ,5300 ,4840 ,3010 ,1830 ,6460 ,3960 ,680 ,300 ,1530 ,3240 ,10 ,3230 ,6130 ,3970 ,2200 ,1550 ,1180 
235,茨城県,つくばみらい市,16820 ,110 ,1250 ,2820 ,2880 ,3480 ,5650 ,2230 ,620 ,1610 ,8400 ,5820 ,760 ,210 ,1600 ,3250 ,10 ,3240 ,4590 ,4970 ,3430 ,2310 ,1050 
236,茨城県,小美玉市,16410 ,80 ,930 ,2190 ,2880 ,4100 ,5580 ,3160 ,1240 ,1920 ,8510 ,5450 ,920 ,210 ,1920 ,3920 ,0 ,3920 ,5400 ,4770 ,3130 ,1680 ,800 
302,茨城県,茨城町,10690 ,110 ,550 ,1250 ,1960 ,2740 ,4040 ,2590 ,1470 ,1120 ,5220 ,3230 ,500 ,230 ,1260 ,2350 ,0 ,2350 ,4180 ,3140 ,2050 ,880 ,400 
309,茨城県,大洗町,6230 ,20 ,170 ,540 ,1160 ,1600 ,2670 ,1460 ,400 ,1060 ,2580 ,1730 ,170 ,90 ,590 ,1970 ,0 ,1970 ,2780 ,1510 ,880 ,680 ,320 
