ID,県,市区町村,普通世帯総数,25歳未満,25〜34歳,35〜44,45〜54,55〜64,65歳以上,自営業主,農林・漁業業主,商工・その他の業主,雇用者,会社・団体・公社又は個人に雇われている者,官公庁,労働者派遣事業所の派遣社員,パート・アルバイト・その他,無職,学生,その他,300万円未満,300〜500,500〜700,700〜1000,1000万円以上
201,長崎県,長崎市,196380 ,5320 ,10060 ,20810 ,25470 ,36910 ,64950 ,17180 ,1240 ,15940 ,79280 ,54820 ,8190 ,1510 ,14750 ,61990 ,3470 ,58520 ,79530 ,42600 ,21990 ,13100 ,6640 
202,長崎県,佐世保市,101330 ,3370 ,6940 ,11400 ,13360 ,20720 ,35280 ,10760 ,2140 ,8620 ,45730 ,29820 ,6430 ,980 ,8500 ,34070 ,2730 ,31340 ,44970 ,25630 ,12050 ,6110 ,2670 
203,長崎県,島原市,16870 ,230 ,820 ,2280 ,2880 ,3840 ,6750 ,3280 ,1170 ,2110 ,7730 ,5080 ,1090 ,200 ,1360 ,5520 ,20 ,5500 ,9200 ,4410 ,1830 ,830 ,530 
204,長崎県,諫早市,51190 ,520 ,3700 ,6380 ,9220 ,12960 ,18270 ,7620 ,2360 ,5260 ,26990 ,18130 ,2920 ,800 ,5140 ,16020 ,30 ,15990 ,22720 ,14750 ,7580 ,4110 ,1890 
205,長崎県,大村市,34450 ,510 ,3140 ,6160 ,5130 ,6430 ,10150 ,3170 ,590 ,2580 ,18780 ,11540 ,3500 ,400 ,3340 ,9590 ,240 ,9350 ,13430 ,9670 ,5070 ,2380 ,1030 
207,長崎県,平戸市,12120 ,80 ,570 ,940 ,2010 ,3010 ,5410 ,2930 ,1530 ,1410 ,4910 ,3330 ,680 ,120 ,780 ,4060 ,0 ,4060 ,6670 ,2840 ,1360 ,880 ,250 
208,長崎県,松浦市,8500 ,90 ,340 ,780 ,1550 ,2350 ,3370 ,1630 ,780 ,850 ,4160 ,2830 ,490 ,100 ,740 ,2640 ,10 ,2630 ,4360 ,2040 ,1100 ,720 ,250 
209,長崎県,対馬市,13380 ,80 ,900 ,1550 ,2010 ,3290 ,5500 ,3110 ,1860 ,1250 ,6030 ,3210 ,1350 ,130 ,1340 ,4170 ,0 ,4170 ,7510 ,3170 ,1440 ,830 ,390 
210,長崎県,壱岐市,9510 ,70 ,320 ,1060 ,1580 ,2480 ,3890 ,2710 ,1560 ,1150 ,4030 ,2630 ,650 ,50 ,690 ,2610 ,10 ,2590 ,4750 ,2560 ,980 ,770 ,350 
211,長崎県,五島市,17600 ,110 ,850 ,1550 ,2510 ,4100 ,8070 ,3260 ,1370 ,1890 ,6390 ,3880 ,1050 ,230 ,1230 ,7520 ,30 ,7490 ,11350 ,3500 ,1450 ,660 ,240 
212,長崎県,西海市,10740 ,60 ,600 ,1140 ,1850 ,2480 ,4530 ,2000 ,1040 ,950 ,5000 ,3470 ,470 ,150 ,920 ,3620 ,10 ,3610 ,5480 ,3160 ,1230 ,630 ,150 
213,長崎県,雲仙市,15150 ,90 ,760 ,1610 ,2950 ,4010 ,5470 ,4150 ,2230 ,1920 ,6700 ,4390 ,670 ,200 ,1440 ,3970 ,0 ,3970 ,7900 ,4090 ,1630 ,860 ,400 
214,長崎県,南島原市,16010 ,50 ,610 ,1420 ,2430 ,3970 ,7480 ,4270 ,2270 ,2000 ,5870 ,3690 ,710 ,150 ,1330 ,5660 ,0 ,5660 ,8870 ,4020 ,1690 ,910 ,450 
307,長崎県,長与町,14620 ,150 ,1360 ,2760 ,3240 ,2630 ,4240 ,1680 ,260 ,1420 ,8690 ,6530 ,1000 ,140 ,1020 ,3650 ,20 ,3640 ,4300 ,4620 ,2450 ,1980 ,1040 
308,長崎県,時津町,10900 ,160 ,1280 ,1990 ,1750 ,2300 ,3370 ,1240 ,250 ,990 ,6260 ,4420 ,590 ,230 ,1010 ,2880 ,0 ,2880 ,3780 ,3610 ,2060 ,960 ,430 
323,長崎県,波佐見町,4830 ,60 ,130 ,610 ,730 ,1200 ,1790 ,1040 ,280 ,760 ,2190 ,1530 ,390 ,20 ,250 ,1210 ,0 ,1210 ,1750 ,1490 ,790 ,330 ,160 
411,長崎県,新上五島町,9170 ,70 ,360 ,870 ,1540 ,2310 ,4020 ,880 ,240 ,650 ,4060 ,2660 ,650 ,10 ,740 ,4230 ,0 ,4230 ,5320 ,2350 ,1010 ,360 ,120 
