ID,県,市区町村,普通世帯総数,25歳未満,25〜34歳,35〜44,45〜54,55〜64,65歳以上,自営業主,農林・漁業業主,商工・その他の業主,雇用者,会社・団体・公社又は個人に雇われている者,官公庁,労働者派遣事業所の派遣社員,パート・アルバイト・その他,無職,学生,その他,300万円未満,300〜500,500〜700,700〜1000,1000万円以上
201,長野県,長野市,146700 ,4440 ,11210 ,24230 ,23260 ,27940 ,48210 ,17960 ,4730 ,13240 ,78100 ,55820 ,8050 ,1610 ,12620 ,35800 ,1410 ,34390 ,46480 ,42100 ,25400 ,17160 ,8150 
202,長野県,松本市,95860 ,4450 ,10160 ,15740 ,15370 ,15230 ,31790 ,12930 ,3600 ,9320 ,46210 ,33580 ,3440 ,1190 ,8000 ,23030 ,2110 ,20920 ,33100 ,28660 ,15720 ,10310 ,5000 
203,長野県,上田市,60670 ,1520 ,4450 ,8800 ,9650 ,11470 ,19640 ,8850 ,2360 ,6480 ,30820 ,22470 ,2160 ,840 ,5360 ,14610 ,730 ,13880 ,21350 ,17700 ,8510 ,5210 ,2850 
204,長野県,岡谷市,18920 ,150 ,1260 ,3030 ,3140 ,3150 ,7460 ,2330 ,250 ,2070 ,9960 ,7620 ,690 ,150 ,1510 ,5800 ,10 ,5790 ,5880 ,5730 ,3370 ,2090 ,1110 
205,長野県,飯田市,37080 ,510 ,2760 ,5080 ,6410 ,7840 ,13240 ,6470 ,2100 ,4370 ,19220 ,13810 ,1940 ,350 ,3120 ,7940 ,110 ,7830 ,12580 ,11430 ,5860 ,3600 ,2410 
206,長野県,諏訪市,19810 ,410 ,1730 ,3410 ,3030 ,3560 ,7080 ,3260 ,500 ,2760 ,10310 ,7550 ,730 ,220 ,1820 ,5280 ,50 ,5230 ,6540 ,6300 ,3220 ,1960 ,1190 
207,長野県,須坂市,18750 ,120 ,920 ,2540 ,3170 ,4180 ,7190 ,3770 ,1370 ,2400 ,8730 ,6210 ,590 ,240 ,1690 ,4960 ,10 ,4950 ,6550 ,5500 ,3280 ,1960 ,880 
208,長野県,小諸市,17020 ,270 ,1150 ,3000 ,2900 ,3620 ,5790 ,2800 ,870 ,1930 ,9040 ,6550 ,450 ,300 ,1740 ,4170 ,60 ,4110 ,7230 ,5450 ,1930 ,1570 ,580 
209,長野県,伊那市,25450 ,360 ,2110 ,3740 ,4250 ,5550 ,8750 ,4280 ,1330 ,2950 ,13190 ,9280 ,1170 ,370 ,2360 ,5800 ,70 ,5730 ,8070 ,8840 ,3980 ,2750 ,1140 
210,長野県,駒ケ根市,12400 ,450 ,1090 ,1770 ,2000 ,2620 ,4120 ,1970 ,690 ,1280 ,6690 ,4760 ,630 ,220 ,1070 ,2810 ,180 ,2630 ,4200 ,3750 ,2050 ,1380 ,670 
211,長野県,中野市,15040 ,100 ,990 ,2380 ,2610 ,3650 ,4740 ,3330 ,1780 ,1550 ,7950 ,5520 ,790 ,160 ,1480 ,2770 ,0 ,2770 ,5210 ,4580 ,2470 ,1480 ,750 
212,長野県,大町市,10960 ,110 ,640 ,1410 ,1810 ,2380 ,4290 ,1870 ,610 ,1260 ,5570 ,3470 ,610 ,220 ,1270 ,3180 ,110 ,3070 ,4480 ,3130 ,1540 ,1020 ,460 
213,長野県,飯山市,7460 ,50 ,250 ,730 ,1260 ,1870 ,3210 ,2100 ,1050 ,1050 ,3260 ,2190 ,330 ,40 ,700 ,1780 ,0 ,1780 ,3260 ,2020 ,1120 ,590 ,370 
214,長野県,茅野市,21070 ,710 ,1620 ,3250 ,3410 ,4420 ,7410 ,3360 ,1100 ,2270 ,10600 ,8110 ,720 ,220 ,1550 ,6160 ,510 ,5660 ,7320 ,6980 ,3590 ,2120 ,820 
215,長野県,塩尻市,25430 ,580 ,2800 ,4340 ,4400 ,4730 ,7900 ,3920 ,1280 ,2640 ,13640 ,9900 ,1240 ,480 ,2020 ,5420 ,180 ,5240 ,8110 ,7300 ,4940 ,3000 ,1390 
217,長野県,佐久市,37750 ,850 ,3370 ,5110 ,6390 ,7660 ,13790 ,6970 ,2840 ,4140 ,18370 ,12800 ,1830 ,550 ,3190 ,9150 ,210 ,8940 ,14800 ,11180 ,6530 ,3110 ,1530 
218,長野県,千曲市,21130 ,230 ,1470 ,3030 ,3840 ,4350 ,8180 ,3470 ,980 ,2490 ,12010 ,8540 ,960 ,360 ,2160 ,5620 ,0 ,5620 ,7400 ,6230 ,4050 ,2390 ,1040 
219,長野県,東御市,10540 ,90 ,730 ,1320 ,1540 ,2500 ,4030 ,2360 ,1140 ,1220 ,5470 ,3780 ,420 ,100 ,1160 ,2320 ,10 ,2310 ,3740 ,3320 ,1750 ,980 ,410 
220,長野県,安曇野市,33940 ,320 ,1860 ,5050 ,5850 ,7280 ,12100 ,6120 ,2540 ,3580 ,17480 ,11810 ,1700 ,550 ,3430 ,7680 ,10 ,7670 ,10220 ,10260 ,5930 ,3930 ,2130 
321,長野県,軽井沢町,9300 ,230 ,950 ,1460 ,1240 ,1820 ,3300 ,1980 ,140 ,1850 ,4960 ,3150 ,460 ,360 ,990 ,2070 ,0 ,2070 ,3800 ,2870 ,960 ,670 ,690 
361,長野県,下諏訪町,8070 ,50 ,370 ,1000 ,1190 ,1700 ,3720 ,1130 ,50 ,1090 ,3750 ,2770 ,190 ,90 ,700 ,3070 ,20 ,3050 ,3060 ,2150 ,1410 ,830 ,580 
362,長野県,富士見町,5290 ,0 ,350 ,720 ,1050 ,1030 ,2100 ,1170 ,470 ,700 ,2710 ,1890 ,160 ,60 ,590 ,1380 ,0 ,1380 ,1990 ,1280 ,1130 ,550 ,290 
382,長野県,辰野町,7260 ,80 ,350 ,760 ,1030 ,1600 ,3340 ,1080 ,360 ,730 ,3550 ,2510 ,210 ,60 ,760 ,2300 ,40 ,2260 ,2310 ,2330 ,1270 ,750 ,520 
383,長野県,箕輪町,9370 ,180 ,730 ,1410 ,1990 ,1690 ,3180 ,1340 ,630 ,710 ,5560 ,3860 ,470 ,290 ,930 ,2140 ,40 ,2090 ,2800 ,3270 ,1660 ,900 ,520 
521,長野県,坂城町,5150 ,30 ,150 ,580 ,770 ,1070 ,2490 ,990 ,370 ,620 ,2280 ,1640 ,200 ,100 ,340 ,1750 ,10 ,1740 ,1810 ,1750 ,810 ,440 ,290 
