ID,県,市区町村,普通世帯総数,25歳未満,25〜34歳,35〜44歳,45〜54歳,55〜64歳,65歳以上,自営業主,農林・漁業業主,商工・その他の業主,雇用者,会社・団体・公社又は個人に雇われている者,官公庁,労働者派遣事業所の派遣社員,パート・アルバイト・その他,無職,学生,その他,300万円未満,300〜500万円,500〜700万円,700〜1000万円,1000万円以上
201,青森県,青森市,115170 ,2460 ,8570 ,16700 ,20550 ,24550 ,35320 ,11010 ,2230 ,8780 ,57380 ,36980 ,8130 ,1690 ,10570 ,30700 ,770 ,29930 ,49990 ,30230 ,15490 ,8880 ,3140 
202,青森県,弘前市,70700 ,5540 ,5310 ,7870 ,11480 ,14490 ,22600 ,10210 ,5040 ,5160 ,28550 ,18690 ,3210 ,1060 ,5590 ,19620 ,3240 ,16380 ,37370 ,16010 ,7860 ,4520 ,2210 
203,青森県,八戸市,90740 ,1270 ,6590 ,13360 ,15310 ,20060 ,29430 ,8500 ,1540 ,6960 ,49200 ,33890 ,4660 ,1720 ,8940 ,27390 ,180 ,27210 ,40730 ,23780 ,12500 ,6260 ,2840 
204,青森県,黒石市,11280 ,90 ,450 ,1300 ,2270 ,3000 ,4170 ,2220 ,1150 ,1070 ,5800 ,3800 ,500 ,280 ,1230 ,3230 ,20 ,3200 ,5460 ,3090 ,1480 ,880 ,370 
205,青森県,五所川原市,21030 ,260 ,1070 ,2610 ,3790 ,5260 ,7920 ,4200 ,1750 ,2450 ,9430 ,5820 ,1110 ,570 ,1920 ,6440 ,0 ,6440 ,11710 ,5370 ,2110 ,1180 ,580 
206,青森県,十和田市,25540 ,1370 ,1750 ,3260 ,4260 ,5290 ,8390 ,4290 ,1880 ,2410 ,12050 ,7890 ,1470 ,490 ,2200 ,7180 ,960 ,6220 ,12840 ,6040 ,3070 ,1650 ,730 
207,青森県,三沢市,15190 ,260 ,1520 ,2630 ,2690 ,3070 ,4500 ,1650 ,440 ,1210 ,8430 ,4560 ,2100 ,360 ,1420 ,3580 ,0 ,3580 ,6650 ,4120 ,2190 ,1200 ,520 
208,青森県,むつ市,23790 ,300 ,1940 ,3390 ,4200 ,5520 ,8370 ,2470 ,830 ,1640 ,12550 ,6780 ,2610 ,560 ,2600 ,7460 ,0 ,7460 ,12140 ,6150 ,3200 ,1390 ,560 
209,青森県,つがる市,11540 ,20 ,360 ,1020 ,1920 ,3100 ,4900 ,3160 ,2330 ,830 ,4520 ,2590 ,620 ,310 ,1000 ,2840 ,0 ,2840 ,6190 ,2780 ,1170 ,750 ,440 
210,青森県,平川市,10240 ,20 ,400 ,1190 ,2070 ,2830 ,3720 ,2540 ,1610 ,940 ,5100 ,3370 ,570 ,230 ,930 ,2530 ,10 ,2520 ,4940 ,2890 ,1370 ,670 ,340 
361,青森県,藤崎町,5040 ,0 ,270 ,570 ,800 ,1580 ,1750 ,1580 ,960 ,620 ,2270 ,1520 ,350 ,100 ,300 ,1010 ,0 ,1010 ,2480 ,1290 ,710 ,330 ,160 
381,青森県,板柳町,4680 ,0 ,180 ,460 ,800 ,1180 ,2010 ,1810 ,1360 ,450 ,1540 ,940 ,150 ,80 ,370 ,1190 ,0 ,1190 ,2960 ,1010 ,430 ,170 ,50 
402,青森県,七戸町,5560 ,20 ,230 ,480 ,920 ,1460 ,2440 ,1020 ,420 ,600 ,2720 ,1640 ,460 ,100 ,520 ,1720 ,0 ,1720 ,2880 ,1140 ,910 ,410 ,210 
408,青森県,東北町,5990 ,40 ,270 ,750 ,1110 ,1450 ,2330 ,1460 ,1000 ,470 ,2870 ,1910 ,270 ,220 ,470 ,1520 ,0 ,1520 ,2660 ,1780 ,730 ,460 ,320 
412,青森県,おいらせ町,8870 ,110 ,650 ,1330 ,1570 ,2290 ,2930 ,1220 ,500 ,730 ,5180 ,3130 ,730 ,270 ,1040 ,2290 ,0 ,2290 ,3890 ,2670 ,1280 ,790 ,210 
442,青森県,五戸町,6140 ,50 ,250 ,470 ,1110 ,1670 ,2570 ,1400 ,800 ,600 ,2670 ,1820 ,250 ,70 ,530 ,1930 ,50 ,1870 ,3000 ,1660 ,770 ,400 ,290 
445,青森県,南部町,6200 ,0 ,190 ,440 ,1200 ,1860 ,2470 ,1500 ,980 ,520 ,2730 ,1900 ,320 ,50 ,460 ,1590 ,0 ,1590 ,3040 ,1730 ,800 ,450 ,120 
