ID,県,市区町村,普通世帯総数,25歳未満,25〜34歳,35〜44,45〜54,55〜64,65歳以上,自営業主,農林・漁業業主,商工・その他の業主,雇用者,会社・団体・公社又は個人に雇われている者,官公庁,労働者派遣事業所の派遣社員,パート・アルバイト・その他,無職,学生,その他,300万円未満,300〜500,500〜700,700〜1000,1000万円以上
100,静岡県,静岡市,275170 ,7800 ,21270 ,38720 ,41950 ,52030 ,94830 ,32200 ,4780 ,27430 ,125530 ,90630 ,10540 ,3380 ,20980 ,68290 ,2780 ,65520 ,87830 ,73140 ,45910 ,31030 ,17120 
101,静岡県,葵区,100180 ,2040 ,7690 ,14360 ,14940 ,19850 ,35980 ,13020 ,1620 ,11400 ,45700 ,32430 ,4360 ,1070 ,7850 ,25180 ,430 ,24750 ,33080 ,27540 ,15890 ,11160 ,6540 
102,静岡県,駿河区,82660 ,3360 ,8290 ,12460 ,12360 ,14810 ,24640 ,8680 ,1180 ,7500 ,37840 ,27330 ,3500 ,950 ,6060 ,17940 ,1210 ,16730 ,24940 ,21160 ,13830 ,9270 ,5950 
103,静岡県,清水区,92320 ,2400 ,5280 ,11890 ,14650 ,17370 ,34210 ,10500 ,1980 ,8530 ,41990 ,30870 ,2680 ,1370 ,7070 ,25170 ,1130 ,24040 ,29820 ,24440 ,16180 ,10600 ,4630 
130,静岡県,浜松市,304040 ,8880 ,34000 ,47740 ,49350 ,58280 ,90620 ,34130 ,6730 ,27400 ,153950 ,115790 ,9030 ,4930 ,24200 ,64490 ,1850 ,62630 ,88940 ,88910 ,52480 ,37970 ,21140 
131,静岡県,中区,107970 ,5710 ,13690 ,15580 ,16800 ,18330 ,29930 ,9800 ,400 ,9400 ,47600 ,36010 ,2480 ,1720 ,7380 ,20670 ,1120 ,19560 ,34600 ,30550 ,16840 ,11150 ,7470 
132,静岡県,東区,48350 ,920 ,6380 ,8480 ,8250 ,9360 ,13760 ,5010 ,440 ,4560 ,26640 ,19900 ,1700 ,710 ,4320 ,9860 ,250 ,9610 ,13450 ,14580 ,8910 ,6750 ,3480 
133,静岡県,西区,38350 ,490 ,3830 ,6720 ,6490 ,7870 ,10770 ,4810 ,1720 ,3090 ,21710 ,16550 ,1450 ,510 ,3190 ,7930 ,70 ,7870 ,9660 ,10970 ,7490 ,5460 ,2800 
134,静岡県,南区,35790 ,480 ,4160 ,6150 ,5530 ,6600 ,11000 ,3490 ,570 ,2920 ,19060 ,13990 ,820 ,880 ,3370 ,8260 ,50 ,8220 ,9710 ,10850 ,6500 ,4550 ,2220 
135,静岡県,北区,31750 ,870 ,2560 ,4870 ,5460 ,6790 ,10150 ,5570 ,2430 ,3140 ,16640 ,12820 ,1020 ,360 ,2430 ,6370 ,360 ,6010 ,8770 ,9180 ,5600 ,4370 ,2640 
