ID,県,市区町村,普通世帯総数,25歳未満,25〜34歳,35〜44,45〜54,55〜64,65歳以上,自営業主,農林・漁業業主,商工・その他の業主,雇用者,会社・団体・公社又は個人に雇われている者,官公庁,労働者派遣事業所の派遣社員,パート・アルバイト・その他,無職,学生,その他,300万円未満,300〜500,500〜700,700〜1000,1000万円以上
201,香川県,高松市,177950 ,7070 ,15410 ,27700 ,27600 ,32350 ,57090 ,19750 ,3590 ,16160 ,79590 ,53460 ,8700 ,2750 ,14680 ,46610 ,2710 ,43900 ,69900 ,47520 ,25560 ,16900 ,7830 
202,香川県,丸亀市,41180 ,430 ,3360 ,7920 ,5900 ,8510 ,13960 ,4430 ,1130 ,3300 ,19960 ,14480 ,1560 ,560 ,3360 ,11120 ,20 ,11090 ,15120 ,13780 ,5940 ,3310 ,1930 
203,香川県,坂出市,20660 ,140 ,780 ,2230 ,2650 ,4600 ,8730 ,2640 ,850 ,1790 ,9340 ,6410 ,1050 ,290 ,1600 ,6920 ,20 ,6910 ,7870 ,5700 ,3070 ,1700 ,910 
204,香川県,善通寺市,12650 ,560 ,1100 ,1930 ,2040 ,2400 ,4600 ,1840 ,550 ,1290 ,6410 ,4180 ,970 ,170 ,1080 ,3890 ,340 ,3560 ,5260 ,3560 ,2080 ,1250 ,380 
205,香川県,観音寺市,22600 ,180 ,1660 ,2610 ,3520 ,4730 ,9050 ,4240 ,1870 ,2370 ,10740 ,7730 ,980 ,300 ,1740 ,5850 ,0 ,5850 ,8890 ,6830 ,3290 ,1770 ,1170 
206,香川県,さぬき市,19260 ,400 ,1300 ,2340 ,2740 ,4190 ,7910 ,3290 ,1360 ,1930 ,8260 ,5470 ,900 ,180 ,1700 ,5840 ,250 ,5590 ,8480 ,5260 ,2830 ,1470 ,890 
207,香川県,東かがわ市,12490 ,50 ,460 ,1270 ,1630 ,2570 ,6280 ,2170 ,690 ,1470 ,5250 ,3690 ,410 ,130 ,1020 ,4260 ,10 ,4250 ,6060 ,3130 ,1640 ,930 ,530 
208,香川県,三豊市,22740 ,100 ,1010 ,2130 ,3420 ,5290 ,10520 ,4350 ,2130 ,2220 ,10840 ,7640 ,810 ,280 ,2120 ,6660 ,0 ,6660 ,8840 ,6350 ,3910 ,2280 ,1150 
322,香川県,土庄町,6340 ,60 ,400 ,510 ,930 ,1460 ,2950 ,1350 ,380 ,970 ,2460 ,1590 ,270 ,50 ,560 ,2450 ,0 ,2450 ,3130 ,1820 ,720 ,370 ,250 
324,香川県,小豆島町,6350 ,30 ,180 ,730 ,830 ,1460 ,3130 ,990 ,290 ,710 ,2600 ,1920 ,170 ,110 ,420 ,2660 ,0 ,2660 ,3190 ,1630 ,710 ,570 ,250 
341,香川県,三木町,10520 ,620 ,510 ,1370 ,1550 ,2490 ,3760 ,1770 ,770 ,990 ,4940 ,3240 ,520 ,140 ,1050 ,2740 ,210 ,2520 ,4440 ,2850 ,1450 ,1040 ,520 
386,香川県,宇多津町,7430 ,200 ,420 ,910 ,1240 ,1420 ,2130 ,710 ,90 ,620 ,3550 ,2640 ,280 ,90 ,540 ,1870 ,40 ,1830 ,2640 ,1460 ,920 ,840 ,450 
387,香川県,綾川町,8200 ,40 ,310 ,1310 ,1100 ,1830 ,3490 ,1670 ,630 ,1050 ,3780 ,2680 ,440 ,90 ,580 ,2510 ,20 ,2490 ,2810 ,2600 ,1190 ,930 ,550 
404,香川県,多度津町,8480 ,130 ,310 ,990 ,830 ,1920 ,4260 ,1470 ,530 ,940 ,3450 ,2450 ,290 ,100 ,610 ,3540 ,80 ,3460 ,3360 ,2180 ,1410 ,810 ,700 
406,香川県,まんのう町,6560 ,0 ,320 ,530 ,730 ,1720 ,3160 ,1530 ,860 ,670 ,2800 ,1800 ,290 ,100 ,600 ,1890 ,0 ,1890 ,2850 ,1750 ,810 ,670 ,370 
