ID,県,市区町村,普通世帯総数,25歳未満,25〜34歳,35〜44,45〜54,55〜64,65歳以上,自営業主,農林・漁業業主,商工・その他の業主,雇用者,会社・団体・公社又は個人に雇われている者,官公庁,労働者派遣事業所の派遣社員,パート・アルバイト・その他,無職,学生,その他,300万円未満,300〜500,500〜700,700〜1000,1000万円以上
201,高知県,高知市,154680 ,5310 ,10670 ,19450 ,21140 ,24910 ,45700 ,14110 ,2410 ,11700 ,65490 ,43320 ,7170 ,1760 ,13240 ,41350 ,2660 ,38690 ,63640 ,30900 ,16490 ,10580 ,5190 
202,高知県,室戸市,6640 ,50 ,230 ,380 ,800 ,1490 ,3650 ,1190 ,570 ,620 ,1970 ,1110 ,200 ,30 ,620 ,3190 ,0 ,3190 ,4660 ,1210 ,420 ,240 ,70 
203,高知県,安芸市,8220 ,70 ,480 ,640 ,1010 ,1900 ,4060 ,1830 ,1210 ,620 ,2800 ,1530 ,340 ,50 ,870 ,3140 ,0 ,3140 ,4780 ,1900 ,790 ,510 ,170 
204,高知県,南国市,18820 ,790 ,1230 ,2580 ,2500 ,3500 ,6730 ,2740 ,1320 ,1420 ,8080 ,5240 ,1030 ,230 ,1580 ,6120 ,600 ,5520 ,8160 ,4720 ,2480 ,1250 ,720 
205,高知県,土佐市,10190 ,40 ,440 ,1100 ,1280 ,2460 ,4860 ,2190 ,1220 ,970 ,3300 ,2150 ,450 ,40 ,660 ,3460 ,0 ,3460 ,5040 ,2670 ,1150 ,800 ,330 
206,高知県,須崎市,9360 ,60 ,490 ,1030 ,1340 ,2110 ,4140 ,1870 ,980 ,880 ,3640 ,2590 ,380 ,130 ,540 ,3520 ,0 ,3520 ,5140 ,2150 ,1110 ,510 ,270 
208,高知県,宿毛市,9430 ,70 ,650 ,1250 ,1250 ,2150 ,4020 ,1850 ,720 ,1140 ,3890 ,2360 ,520 ,70 ,940 ,3590 ,60 ,3530 ,5660 ,2230 ,870 ,440 ,190 
209,高知県,土佐清水市,6870 ,40 ,250 ,610 ,730 ,1370 ,3870 ,1320 ,530 ,790 ,2240 ,1280 ,400 ,60 ,500 ,3300 ,0 ,3300 ,4470 ,1450 ,520 ,250 ,190 
210,高知県,四万十市,15000 ,190 ,1210 ,2460 ,2050 ,3000 ,5690 ,2390 ,910 ,1470 ,6520 ,4210 ,1170 ,150 ,1000 ,4850 ,20 ,4830 ,7850 ,3720 ,1710 ,790 ,370 
211,高知県,香南市,12490 ,280 ,870 ,1710 ,1850 ,2590 ,4990 ,2070 ,1070 ,1010 ,5060 ,3440 ,600 ,110 ,900 ,3540 ,100 ,3440 ,5940 ,3300 ,1560 ,900 ,420 
212,高知県,香美市,12080 ,870 ,420 ,1060 ,1230 ,2270 ,5140 ,2200 ,1180 ,1010 ,3870 ,2450 ,460 ,70 ,890 ,5110 ,1100 ,4010 ,6520 ,2500 ,1100 ,530 ,390 
386,高知県,いの町,9450 ,40 ,420 ,1140 ,1430 ,2220 ,4210 ,1110 ,310 ,790 ,4320 ,2920 ,580 ,60 ,760 ,3700 ,0 ,3700 ,4450 ,2250 ,1420 ,900 ,400 
412,高知県,四万十町,7670 ,50 ,310 ,680 ,920 ,1860 ,3770 ,2100 ,1240 ,870 ,2810 ,1620 ,330 ,80 ,790 ,2720 ,10 ,2710 ,5150 ,1330 ,610 ,320 ,210 
