ID,県,市区町村,普通世帯総数,25歳未満,25〜34歳,35〜44,45〜54,55〜64,65歳以上,自営業主,農林・漁業業主,商工・その他の業主,雇用者,会社・団体・公社又は個人に雇われている者,官公庁,労働者派遣事業所の派遣社員,パート・アルバイト・その他,無職,学生,その他,300万円未満,300〜500,500〜700,700〜1000,1000万円以上
201,鹿児島県,鹿児島市,267790 ,14990 ,35370 ,43410 ,41290 ,49430 ,78660 ,25360 ,1540 ,23820 ,119810 ,82890 ,13320 ,2300 ,21280 ,67150 ,4960 ,62190 ,124250 ,74180 ,34760 ,17510 ,7510 
203,鹿児島県,鹿屋市,42650 ,930 ,4580 ,6090 ,6790 ,8380 ,15520 ,6510 ,2640 ,3870 ,22180 ,15110 ,2590 ,660 ,3830 ,12520 ,240 ,12280 ,24280 ,10750 ,4270 ,1990 ,920 
204,鹿児島県,枕崎市,9840 ,110 ,480 ,810 ,1390 ,2220 ,4790 ,1420 ,630 ,790 ,4000 ,2690 ,330 ,70 ,900 ,4220 ,10 ,4210 ,5840 ,2370 ,980 ,450 ,150 
206,鹿児島県,阿久根市,9740 ,80 ,580 ,730 ,1350 ,1930 ,5070 ,2070 ,990 ,1080 ,3770 ,2760 ,280 ,60 ,670 ,3860 ,0 ,3860 ,6070 ,2270 ,770 ,400 ,220 
208,鹿児島県,出水市,22850 ,230 ,1990 ,2570 ,3450 ,5090 ,9510 ,3660 ,1730 ,1940 ,10580 ,7260 ,840 ,270 ,2210 ,8100 ,0 ,8100 ,13370 ,5730 ,2200 ,980 ,470 
210,鹿児島県,指宿市,17790 ,230 ,1150 ,2010 ,2330 ,3830 ,8160 ,3750 ,2210 ,1540 ,7300 ,4820 ,680 ,120 ,1680 ,6460 ,0 ,6460 ,10740 ,4350 ,1610 ,730 ,290 
213,鹿児島県,西之表市,7390 ,70 ,540 ,890 ,1090 ,1690 ,3090 ,1980 ,1120 ,860 ,3130 ,2040 ,490 ,70 ,530 ,2230 ,0 ,2230 ,4630 ,1560 ,760 ,330 ,110 
214,鹿児島県,垂水市,7050 ,100 ,500 ,700 ,780 ,1760 ,3220 ,930 ,450 ,480 ,3190 ,2150 ,410 ,40 ,600 ,2930 ,0 ,2930 ,4340 ,1750 ,520 ,310 ,120 
215,鹿児島県,薩摩川内市,39420 ,670 ,3200 ,4930 ,5910 ,8300 ,16200 ,4520 ,1370 ,3150 ,18900 ,13550 ,1660 ,290 ,3400 ,13720 ,60 ,13660 ,20800 ,10340 ,4470 ,2530 ,830 
216,鹿児島県,日置市,20290 ,200 ,1490 ,2120 ,2870 ,4910 ,8590 ,2740 ,810 ,1930 ,9380 ,6390 ,1030 ,120 ,1840 ,7400 ,50 ,7350 ,10900 ,5210 ,2570 ,1000 ,380 
217,鹿児島県,曽於市,16380 ,80 ,860 ,1340 ,2060 ,3670 ,8370 ,3280 ,2100 ,1190 ,5950 ,4210 ,540 ,90 ,1100 ,6660 ,20 ,6640 ,10010 ,4050 ,1310 ,680 ,290 
218,鹿児島県,霧島市,53460 ,2240 ,5790 ,7770 ,8040 ,11280 ,17620 ,6010 ,2260 ,3750 ,25110 ,17280 ,2020 ,640 ,5180 ,15330 ,450 ,14880 ,29020 ,13250 ,6210 ,2760 ,1060 
219,鹿児島県,いちき串木野市,12400 ,70 ,650 ,1110 ,1730 ,2860 ,5900 ,1530 ,460 ,1080 ,5540 ,3870 ,350 ,60 ,1260 ,5060 ,30 ,5030 ,6780 ,3330 ,1360 ,650 ,190 
220,鹿児島県,南さつま市,15010 ,270 ,790 ,1300 ,2050 ,3250 ,7340 ,1970 ,810 ,1160 ,6310 ,4010 ,790 ,180 ,1330 ,6610 ,30 ,6590 ,9380 ,3510 ,1270 ,620 ,240 
221,鹿児島県,志布志市,13750 ,350 ,990 ,1330 ,2000 ,3120 ,5960 ,2670 ,1460 ,1210 ,5600 ,3940 ,490 ,100 ,1070 ,4970 ,10 ,4970 ,8600 ,2970 ,1240 ,580 ,290 
222,鹿児島県,奄美市,19780 ,240 ,1530 ,2630 ,3470 ,4540 ,7340 ,2450 ,370 ,2080 ,10120 ,5790 ,1970 ,110 ,2250 ,7180 ,20 ,7170 ,12840 ,3750 ,1700 ,1010 ,450 
223,鹿児島県,南九州市,15110 ,130 ,680 ,1410 ,2090 ,3640 ,7160 ,3560 ,2160 ,1400 ,5810 ,3890 ,590 ,160 ,1180 ,5620 ,10 ,5610 ,8890 ,3670 ,1480 ,750 ,300 
224,鹿児島県,伊佐市,10890 ,130 ,720 ,1150 ,1270 ,2430 ,5190 ,1850 ,1080 ,770 ,4760 ,3250 ,520 ,150 ,840 ,4220 ,10 ,4210 ,6240 ,2750 ,1200 ,470 ,230 
225,鹿児島県,姶良市,29700 ,400 ,2550 ,3890 ,4580 ,6160 ,12100 ,3190 ,650 ,2540 ,14300 ,9720 ,1730 ,200 ,2640 ,10900 ,20 ,10880 ,14890 ,8740 ,3680 ,1760 ,530 
392,鹿児島県,さつま町,9640 ,40 ,620 ,810 ,1240 ,2150 ,4780 ,2170 ,1350 ,820 ,4100 ,2580 ,660 ,60 ,800 ,3270 ,0 ,3270 ,5230 ,2540 ,900 ,790 ,100 
492,鹿児島県,肝付町,6830 ,0 ,150 ,670 ,910 ,1510 ,3600 ,920 ,360 ,560 ,2770 ,1900 ,300 ,90 ,490 ,3130 ,0 ,3130 ,4600 ,1370 ,460 ,250 ,150 
